Date/Time,Unit,Value,
2019-03-20, 1:27:00 AM,C,17.5
2019-03-20, 2:27:00 AM,C,17
2019-03-20, 3:27:00 AM,C,16
2019-03-20, 4:27:00 AM,C,16
2019-03-20, 5:27:00 AM,C,16
2019-03-20, 6:27:00 AM,C,16
2019-03-20, 7:27:00 AM,C,15.5
2019-03-20, 8:27:00 AM,C,15.5
2019-03-20, 9:27:00 AM,C,15.5
2019-03-20, 10:27:00 AM,C,15.5
2019-03-21, 11:27:00 AM,C,15
2019-03-21, 12:27:00 PM,C,15
2019-03-21, 1:27:00 PM,C,15
2019-03-21, 2:27:00 PM,C,15
2019-03-21, 3:27:00 PM,C,15
2019-03-21, 4:27:00 PM,C,14.5
2019-03-21, 5:27:00 PM,C,14.5
2019-03-21, 6:27:00 PM,C,15
2019-03-21, 7:27:00 PM,C,15
2019-03-21, 8:27:00 PM,C,15
2019-03-21, 9:27:00 PM,C,13.5
2019-03-21, 10:27:00 PM,C,14
2019-03-21, 11:27:00 PM,C,11.5
2019-03-21, 12:27:00 AM,C,11
2019-03-21, 1:27:00 AM,C,11.5
2019-03-21, 2:27:00 AM,C,11.5
2019-03-21, 3:27:00 AM,C,11.5
2019-03-21, 4:27:00 AM,C,11.5
2019-03-21, 5:27:00 AM,C,11.5
2019-03-21, 6:27:00 AM,C,11.5
2019-03-21, 7:27:00 AM,C,11.5
2019-03-21, 8:27:00 AM,C,11.5
2019-03-21, 9:27:00 AM,C,11
2019-03-21, 10:27:00 AM,C,11
2019-03-22, 11:27:00 AM,C,11
2019-03-22, 12:27:00 PM,C,10.5
2019-03-22, 1:27:00 PM,C,10.5
2019-03-22, 2:27:00 PM,C,11
2019-03-22, 3:27:00 PM,C,11
2019-03-22, 4:27:00 PM,C,11
2019-03-22, 5:27:00 PM,C,11.5
2019-03-22, 6:27:00 PM,C,14.5
2019-03-22, 7:27:00 PM,C,19.5
2019-03-22, 8:27:00 PM,C,19
2019-03-22, 9:27:00 PM,C,21
2019-03-22, 10:27:00 PM,C,26
2019-03-22, 11:27:00 PM,C,13.5
2019-03-22, 12:27:00 AM,C,12
2019-03-22, 1:27:00 AM,C,12
2019-03-22, 2:27:00 AM,C,12
2019-03-22, 3:27:00 AM,C,12
2019-03-22, 4:27:00 AM,C,11.5
2019-03-22, 5:27:00 AM,C,11.5
2019-03-22, 6:27:00 AM,C,11.5
2019-03-22, 7:27:00 AM,C,11.5
2019-03-22, 8:27:00 AM,C,12
2019-03-22, 9:27:00 AM,C,12
2019-03-22, 10:27:00 AM,C,12
2019-03-23, 11:27:00 AM,C,12
2019-03-23, 12:27:00 PM,C,12
2019-03-23, 1:27:00 PM,C,11.5
2019-03-23, 2:27:00 PM,C,11.5
2019-03-23, 3:27:00 PM,C,11.5
2019-03-23, 4:27:00 PM,C,11.5
2019-03-23, 5:27:00 PM,C,12
2019-03-23, 6:27:00 PM,C,12
2019-03-23, 7:27:00 PM,C,16
2019-03-23, 8:27:00 PM,C,19
2019-03-23, 9:27:00 PM,C,18.5
2019-03-23, 10:27:00 PM,C,17.5
2019-03-23, 11:27:00 PM,C,17
2019-03-23, 12:27:00 AM,C,13.5
2019-03-23, 1:27:00 AM,C,13.5
2019-03-23, 2:27:00 AM,C,13
2019-03-23, 3:27:00 AM,C,12.5
2019-03-23, 4:27:00 AM,C,12.5
2019-03-23, 5:27:00 AM,C,12.5
2019-03-23, 6:27:00 AM,C,12.5
2019-03-23, 7:27:00 AM,C,12.5
2019-03-23, 8:27:00 AM,C,13
2019-03-23, 9:27:00 AM,C,13
2019-03-23, 10:27:00 AM,C,13
2019-03-24, 11:27:00 AM,C,12.5
2019-03-24, 12:27:00 PM,C,12.5
2019-03-24, 1:27:00 PM,C,12.5
2019-03-24, 2:27:00 PM,C,12
2019-03-24, 3:27:00 PM,C,12
2019-03-24, 4:27:00 PM,C,12.5
2019-03-24, 5:27:00 PM,C,12.5
2019-03-24, 6:27:00 PM,C,12.5
2019-03-24, 7:27:00 PM,C,12.5
