Date/Time,Unit,Value
2004-04-19 15:32,C,25.5
2004-04-19 16:32,C,23.5
2004-04-19 17:32,C,23
2004-04-19 18:32,C,22.5
2004-04-19 19:32,C,24
2004-04-19 20:32,C,22.5
2004-04-19 21:32,C,22.5
2004-04-19 22:32,C,22.5
2004-04-19 23:32,C,22.5
2005-04-19 0:32,C,22.5
2005-04-19 1:32,C,22.5
2005-04-19 2:32,C,22.5
2005-04-19 3:32,C,22.5
2005-04-19 4:32,C,22.5
2005-04-19 5:32,C,22.5
2005-04-19 6:32,C,22.5
2005-04-19 7:32,C,22.5
2005-04-19 8:32,C,22.5
2005-04-19 9:32,C,22.5
2005-04-19 10:32,C,22.5
2005-04-19 11:32,C,23
2005-04-19 12:32,C,23
2005-04-19 13:32,C,23
2005-04-19 14:32,C,23
2005-04-19 15:32,C,23.5
2005-04-19 16:32,C,23.5
2005-04-19 17:32,C,23
2005-04-19 18:32,C,23
2005-04-19 19:32,C,22.5
2005-04-19 20:32,C,22.5
2005-04-19 21:32,C,22.5
2005-04-19 22:32,C,22.5
2005-04-19 23:32,C,22.5
2006-04-19 0:32,C,22.5
2006-04-19 1:32,C,22.5
2006-04-19 2:32,C,22.5
2006-04-19 3:32,C,22
2006-04-19 4:32,C,22
2006-04-19 5:32,C,22
2006-04-19 6:32,C,22
2006-04-19 7:32,C,22
2006-04-19 8:32,C,22
2006-04-19 9:32,C,22
2006-04-19 10:32,C,22
2006-04-19 11:32,C,22
2006-04-19 12:32,C,22
2006-04-19 13:32,C,22.5
2006-04-19 14:32,C,22.5
2006-04-19 15:32,C,22.5
2006-04-19 16:32,C,22.5
2006-04-19 17:32,C,22.5
2006-04-19 18:32,C,22.5
2006-04-19 19:32,C,22.5
2006-04-19 20:32,C,22
2006-04-19 21:32,C,22
2006-04-19 22:32,C,22
2006-04-19 23:32,C,22
2007-04-19 0:32,C,22
2007-04-19 1:32,C,22
2007-04-19 2:32,C,22
2007-04-19 3:32,C,22
2007-04-19 4:32,C,22
2007-04-19 5:32,C,22
2007-04-19 6:32,C,22
2007-04-19 7:32,C,22
2007-04-19 8:32,C,22
2007-04-19 9:32,C,22
2007-04-19 10:32,C,22.5
2007-04-19 11:32,C,22.5
2007-04-19 12:32,C,22.5
2007-04-19 13:32,C,22.5
2007-04-19 14:32,C,22.5
2007-04-19 15:32,C,22.5
2007-04-19 16:32,C,22.5
2007-04-19 17:32,C,22.5
2007-04-19 18:32,C,22.5
2007-04-19 19:32,C,22.5
2007-04-19 20:32,C,22.5
2007-04-19 21:32,C,22.5
2007-04-19 22:32,C,22.5
2007-04-19 23:32,C,22
2008-04-19 0:32,C,22
2008-04-19 1:32,C,22
2008-04-19 2:32,C,22
2008-04-19 3:32,C,22
2008-04-19 4:32,C,22
2008-04-19 5:32,C,22
2008-04-19 6:32,C,22
2008-04-19 7:32,C,22
2008-04-19 8:32,C,22
2008-04-19 9:32,C,22.5
2008-04-19 10:32,C,22.5
2008-04-19 11:32,C,22.5
2008-04-19 12:32,C,23
2008-04-19 13:32,C,23
2008-04-19 14:32,C,23.5
2008-04-19 15:32,C,23.5
2008-04-19 16:32,C,23.5
2008-04-19 17:32,C,23.5
2008-04-19 18:32,C,23
2008-04-19 19:32,C,23
2008-04-19 20:32,C,23
2008-04-19 21:32,C,23
2008-04-19 22:32,C,22.5
2008-04-19 23:32,C,22.5
2009-04-19 0:32,C,22.5
2009-04-19 1:32,C,22.5
2009-04-19 2:32,C,22.5
2009-04-19 3:32,C,22
2009-04-19 4:32,C,22
2009-04-19 5:32,C,22
2009-04-19 6:32,C,22
2009-04-19 7:32,C,22
2009-04-19 8:32,C,22.5
2009-04-19 9:32,C,20
2009-04-19 10:32,C,18.5
2009-04-19 11:32,C,18
2009-04-19 12:32,C,17
2009-04-19 13:32,C,18.5
2009-04-19 14:32,C,22
2009-04-19 15:32,C,19
2009-04-19 16:32,C,17.5
2009-04-19 17:32,C,17.5
2009-04-19 18:32,C,17.5
2009-04-19 19:32,C,16.5
2009-04-19 20:32,C,15.5
2009-04-19 21:32,C,14
2009-04-19 22:32,C,13
2009-04-19 23:32,C,12
2010-04-19 0:32,C,11
2010-04-19 1:32,C,10
2010-04-19 2:32,C,10
2010-04-19 3:32,C,9.5
2010-04-19 4:32,C,9.5
2010-04-19 5:32,C,9
2010-04-19 6:32,C,9
2010-04-19 7:32,C,8.5
2010-04-19 8:32,C,9
2010-04-19 9:32,C,9
2010-04-19 10:32,C,9
2010-04-19 11:32,C,9
2010-04-19 12:32,C,9.5
2010-04-19 13:32,C,12
2010-04-19 14:32,C,22.5
2010-04-19 15:32,C,13.5
2010-04-19 16:32,C,11.5
2010-04-19 17:32,C,11
2010-04-19 18:32,C,10.5
2010-04-19 19:32,C,10
2010-04-19 20:32,C,10
2010-04-19 21:32,C,10
2010-04-19 22:32,C,10
2010-04-19 23:32,C,10
2011-04-19 0:32,C,10
2011-04-19 1:32,C,9.5
