Date/Time,Unit,Value
2004-04-19 15:38,C,24.5
2004-04-19 16:38,C,23.5
2004-04-19 17:38,C,23
2004-04-19 18:38,C,22.5
2004-04-19 19:38,C,23.5
2004-04-19 20:38,C,22.5
2004-04-19 21:38,C,22.5
2004-04-19 22:38,C,22.5
2004-04-19 23:38,C,22.5
2005-04-19 0:38,C,22.5
2005-04-19 1:38,C,22.5
2005-04-19 2:38,C,22.5
2005-04-19 3:38,C,22.5
2005-04-19 4:38,C,22.5
2005-04-19 5:38,C,22.5
2005-04-19 6:38,C,22.5
2005-04-19 7:38,C,22.5
2005-04-19 8:38,C,22.5
2005-04-19 9:38,C,22.5
2005-04-19 10:38,C,23
2005-04-19 11:38,C,23
2005-04-19 12:38,C,23
2005-04-19 13:38,C,23.5
2005-04-19 14:38,C,23.5
2005-04-19 15:38,C,23.5
2005-04-19 16:38,C,23.5
2005-04-19 17:38,C,23
2005-04-19 18:38,C,23
2005-04-19 19:38,C,22.5
2005-04-19 20:38,C,22.5
2005-04-19 21:38,C,22.5
2005-04-19 22:38,C,22.5
2005-04-19 23:38,C,22.5
2006-04-19 0:38,C,22.5
2006-04-19 1:38,C,22.5
2006-04-19 2:38,C,22.5
2006-04-19 3:38,C,22
2006-04-19 4:38,C,22
2006-04-19 5:38,C,22
2006-04-19 6:38,C,22
2006-04-19 7:38,C,22
2006-04-19 8:38,C,22
2006-04-19 9:38,C,22
2006-04-19 10:38,C,22
2006-04-19 11:38,C,22
2006-04-19 12:38,C,22.5
2006-04-19 13:38,C,22.5
2006-04-19 14:38,C,22.5
2006-04-19 15:38,C,22.5
2006-04-19 16:38,C,22.5
2006-04-19 17:38,C,22.5
2006-04-19 18:38,C,22.5
2006-04-19 19:38,C,22.5
2006-04-19 20:38,C,22
2006-04-19 21:38,C,22
2006-04-19 22:38,C,22
2006-04-19 23:38,C,22
2007-04-19 0:38,C,22
2007-04-19 1:38,C,22
2007-04-19 2:38,C,22
2007-04-19 3:38,C,22
2007-04-19 4:38,C,22
2007-04-19 5:38,C,22
2007-04-19 6:38,C,22
2007-04-19 7:38,C,22
2007-04-19 8:38,C,22
2007-04-19 9:38,C,22
2007-04-19 10:38,C,22.5
2007-04-19 11:38,C,22.5
2007-04-19 12:38,C,22.5
2007-04-19 13:38,C,22.5
2007-04-19 14:38,C,22.5
2007-04-19 15:38,C,22.5
2007-04-19 16:38,C,22.5
2007-04-19 17:38,C,22.5
2007-04-19 18:38,C,22.5
2007-04-19 19:38,C,22.5
2007-04-19 20:38,C,22.5
2007-04-19 21:38,C,22.5
2007-04-19 22:38,C,22.5
2007-04-19 23:38,C,22.5
2008-04-19 0:38,C,22
2008-04-19 1:38,C,22
2008-04-19 2:38,C,22
2008-04-19 3:38,C,22
2008-04-19 4:38,C,22
2008-04-19 5:38,C,22
2008-04-19 6:38,C,22
2008-04-19 7:38,C,22
2008-04-19 8:38,C,22
2008-04-19 9:38,C,22.5
2008-04-19 10:38,C,22.5
2008-04-19 11:38,C,22.5
2008-04-19 12:38,C,23
2008-04-19 13:38,C,23
2008-04-19 14:38,C,23.5
2008-04-19 15:38,C,23.5
2008-04-19 16:38,C,23.5
2008-04-19 17:38,C,23
2008-04-19 18:38,C,23
2008-04-19 19:38,C,23
2008-04-19 20:38,C,23
2008-04-19 21:38,C,23
2008-04-19 22:38,C,22.5
2008-04-19 23:38,C,22.5
2009-04-19 0:38,C,22.5
2009-04-19 1:38,C,22.5
2009-04-19 2:38,C,22
2009-04-19 3:38,C,22
2009-04-19 4:38,C,22
2009-04-19 5:38,C,22
2009-04-19 6:38,C,22
2009-04-19 7:38,C,22
2009-04-19 8:38,C,22
2009-04-19 9:38,C,20.5
2009-04-19 10:38,C,18.5
2009-04-19 11:38,C,18
2009-04-19 12:38,C,17
2009-04-19 13:38,C,19.5
2009-04-19 14:38,C,22
2009-04-19 15:38,C,19.5
2009-04-19 16:38,C,18
2009-04-19 17:38,C,18
2009-04-19 18:38,C,17.5
2009-04-19 19:38,C,16.5
2009-04-19 20:38,C,15.5
2009-04-19 21:38,C,14.5
2009-04-19 22:38,C,13
2009-04-19 23:38,C,12
2010-04-19 0:38,C,11
2010-04-19 1:38,C,10.5
2010-04-19 2:38,C,10
2010-04-19 3:38,C,9.5
2010-04-19 4:38,C,9.5
2010-04-19 5:38,C,9
2010-04-19 6:38,C,9
2010-04-19 7:38,C,9
2010-04-19 8:38,C,9
2010-04-19 9:38,C,9
2010-04-19 10:38,C,9
2010-04-19 11:38,C,9
2010-04-19 12:38,C,9.5
2010-04-19 13:38,C,11.5
2010-04-19 14:38,C,19.5
2010-04-19 15:38,C,15
2010-04-19 16:38,C,11.5
2010-04-19 17:38,C,11
2010-04-19 18:38,C,10.5
2010-04-19 19:38,C,10
2010-04-19 20:38,C,10
2010-04-19 21:38,C,10
2010-04-19 22:38,C,10
2010-04-19 23:38,C,10
2011-04-19 0:38,C,10
2011-04-19 1:38,C,9.5
2011-04-19 2:38,C,9.5
2011-04-19 3:38,C,9.5
2011-04-19 4:38,C,9
2011-04-19 5:38,C,9.5
2011-04-19 6:38,C,9.5
2011-04-19 7:38,C,9.5
2011-04-19 8:38,C,9.5
2011-04-19 9:38,C,9.5
2011-04-19 10:38,C,9.5
2011-04-19 11:38,C,9.5
2011-04-19 12:38,C,9.5
2011-04-19 13:38,C,9.5
2011-04-19 14:38,C,10
2011-04-19 15:38,C,10
2011-04-19 16:38,C,10
2011-04-19 17:38,C,9.5
2011-04-19 18:38,C,9.5
2011-04-19 19:38,C,9.5
2011-04-19 20:38,C,9.5
2011-04-19 21:38,C,9.5
2011-04-19 22:38,C,9.5
2011-04-19 23:38,C,9.5
2012-04-19 0:38,C,9.5
2012-04-19 1:38,C,9.5
2012-04-19 2:38,C,9.5
2012-04-19 3:38,C,9.5
2012-04-19 4:38,C,9.5
2012-04-19 5:38,C,9.5
2012-04-19 6:38,C,9.5
2012-04-19 7:38,C,9.5
2012-04-19 8:38,C,9.5
2012-04-19 9:38,C,9.5
2012-04-19 10:38,C,9.5
2012-04-19 11:38,C,10
2012-04-19 12:38,C,10.5
2012-04-19 13:38,C,10.5
2012-04-19 14:38,C,11
2012-04-19 15:38,C,11.5
2012-04-19 16:38,C,17
2012-04-19 17:38,C,14
2012-04-19 18:38,C,11.5
2012-04-19 19:38,C,11
2012-04-19 20:38,C,10.5
2012-04-19 21:38,C,10.5
2012-04-19 22:38,C,10
2012-04-19 23:38,C,9.5
2013-04-19 0:38,C,9.5
2013-04-19 1:38,C,9.5
2013-04-19 2:38,C,9.5
2013-04-19 3:38,C,9.5
2013-04-19 4:38,C,9.5
2013-04-19 5:38,C,9.5
2013-04-19 6:38,C,9.5
2013-04-19 7:38,C,9.5
2013-04-19 8:38,C,9.5
2013-04-19 9:38,C,9.5
2013-04-19 10:38,C,9.5
2013-04-19 11:38,C,9.5
2013-04-19 12:38,C,9.5
2013-04-19 13:38,C,9.5
2013-04-19 14:38,C,9.5
2013-04-19 15:38,C,10
2013-04-19 16:38,C,10
2013-04-19 17:38,C,10.5
2013-04-19 18:38,C,10
2013-04-19 19:38,C,10
2013-04-19 20:38,C,9.5
2013-04-19 21:38,C,9.5
2013-04-19 22:38,C,9.5
2013-04-19 23:38,C,9.5
2014-04-19 0:38,C,9.5
2014-04-19 1:38,C,9.5
2014-04-19 2:38,C,9
2014-04-19 3:38,C,9
2014-04-19 4:38,C,9
2014-04-19 5:38,C,9
2014-04-19 6:38,C,9
2014-04-19 7:38,C,9
2014-04-19 8:38,C,9
2014-04-19 9:38,C,9
2014-04-19 10:38,C,9.5
2014-04-19 11:38,C,9.5
2014-04-19 12:38,C,9.5
2014-04-19 13:38,C,9.5
2014-04-19 14:38,C,10
2014-04-19 15:38,C,10
2014-04-19 16:38,C,10
2014-04-19 17:38,C,10.5
2014-04-19 18:38,C,10.5
2014-04-19 19:38,C,9.5
2014-04-19 20:38,C,10
2014-04-19 21:38,C,10
2014-04-19 22:38,C,10
2014-04-19 23:38,C,10
2015-04-19 0:38,C,9.5
2015-04-19 1:38,C,9.5
2015-04-19 2:38,C,9.5
2015-04-19 3:38,C,9.5
2015-04-19 4:38,C,9.5
2015-04-19 5:38,C,9.5
2015-04-19 6:38,C,9.5
2015-04-19 7:38,C,9.5
2015-04-19 8:38,C,9.5
2015-04-19 9:38,C,9.5
2015-04-19 10:38,C,9.5
2015-04-19 11:38,C,10
2015-04-19 12:38,C,9.5
2015-04-19 13:38,C,10
2015-04-19 14:38,C,10
2015-04-19 15:38,C,10
2015-04-19 16:38,C,10
2015-04-19 17:38,C,10
2015-04-19 18:38,C,10.5
2015-04-19 19:38,C,11
2015-04-19 20:38,C,10.5
2015-04-19 21:38,C,10.5
2015-04-19 22:38,C,10
2015-04-19 23:38,C,10
2016-04-19 0:38,C,10
2016-04-19 1:38,C,9.5
2016-04-19 2:38,C,9.5
2016-04-19 3:38,C,9.5
2016-04-19 4:38,C,9.5
2016-04-19 5:38,C,9.5
2016-04-19 6:38,C,9.5
2016-04-19 7:38,C,9.5
2016-04-19 8:38,C,9.5
2016-04-19 9:38,C,9.5
2016-04-19 10:38,C,9.5
2016-04-19 11:38,C,10
2016-04-19 12:38,C,10
2016-04-19 13:38,C,10
2016-04-19 14:38,C,9.5
2016-04-19 15:38,C,10
2016-04-19 16:38,C,9.5
2016-04-19 17:38,C,9.5
2016-04-19 18:38,C,9.5
2016-04-19 19:38,C,10
2016-04-19 20:38,C,10
2016-04-19 21:38,C,10
2016-04-19 22:38,C,9.5
2016-04-19 23:38,C,9.5
2017-04-19 0:38,C,9.5
2017-04-19 1:38,C,9
2017-04-19 2:38,C,9
2017-04-19 3:38,C,9
2017-04-19 4:38,C,9
2017-04-19 5:38,C,9
2017-04-19 6:38,C,9
2017-04-19 7:38,C,9
2017-04-19 8:38,C,9
