Date/Time,Unit,Value,
2019-03-21, 10:45:00 AM,C,18.5
2019-03-21, 11:45:00 AM,C,15
2019-03-21, 12:45:00 PM,C,15
2019-03-21, 1:45:00 PM,C,15.5
2019-03-21, 2:45:00 PM,C,15.5
2019-03-21, 3:45:00 PM,C,16
2019-03-21, 4:45:00 PM,C,16.5
2019-03-21, 5:45:00 PM,C,17
2019-03-21, 6:45:00 PM,C,17
2019-03-21, 7:45:00 PM,C,8.5
2019-03-21, 8:45:00 PM,C,9
2019-03-21, 9:45:00 PM,C,7.5
2019-03-21, 10:45:00 PM,C,8
2019-03-21, 11:45:00 PM,C,8
2019-03-22, 12:45:00 AM,C,7.5
2019-03-22, 1:45:00 AM,C,7.5
2019-03-22, 2:45:00 AM,C,7.5
2019-03-22, 3:45:00 AM,C,7.5
2019-03-22, 4:45:00 AM,C,7.5
2019-03-22, 5:45:00 AM,C,8
2019-03-22, 6:45:00 AM,C,7.5
2019-03-22, 7:45:00 AM,C,7.5
2019-03-22, 8:45:00 AM,C,7.5
2019-03-22, 9:45:00 AM,C,8
2019-03-22, 10:45:00 AM,C,8
2019-03-22, 11:45:00 AM,C,7.5
2019-03-22, 12:45:00 PM,C,7.5
2019-03-22, 1:45:00 PM,C,8
2019-03-22, 2:45:00 PM,C,7.5
2019-03-22, 3:45:00 PM,C,7.5
2019-03-22, 4:45:00 PM,C,7.5
2019-03-22, 5:45:00 PM,C,8
2019-03-22, 6:45:00 PM,C,8
2019-03-22, 7:45:00 PM,C,8
2019-03-22, 8:45:00 PM,C,8
2019-03-22, 9:45:00 PM,C,7
2019-03-22, 10:45:00 PM,C,7
2019-03-22, 11:45:00 PM,C,7.5
2019-03-23, 12:45:00 AM,C,7.5
2019-03-23, 1:45:00 AM,C,7.5
2019-03-23, 2:45:00 AM,C,7.5
2019-03-23, 3:45:00 AM,C,7.5
2019-03-23, 4:45:00 AM,C,7.5
2019-03-23, 5:45:00 AM,C,7.5
2019-03-23, 6:45:00 AM,C,7.5
2019-03-23, 7:45:00 AM,C,7
2019-03-23, 8:45:00 AM,C,6.5
2019-03-23, 9:45:00 AM,C,7
2019-03-23, 10:45:00 AM,C,8
2019-03-23, 11:45:00 AM,C,8.5
2019-03-23, 12:45:00 PM,C,8
2019-03-23, 1:45:00 PM,C,8
2019-03-23, 2:45:00 PM,C,8
2019-03-23, 3:45:00 PM,C,8
2019-03-23, 4:45:00 PM,C,8
2019-03-23, 5:45:00 PM,C,8
2019-03-23, 6:45:00 PM,C,8
2019-03-23, 7:45:00 PM,C,8.5
2019-03-23, 8:45:00 PM,C,7
2019-03-23, 9:45:00 PM,C,6
2019-03-23, 10:45:00 PM,C,5.5
2019-03-23, 11:45:00 PM,C,7.5
2019-03-24, 12:45:00 AM,C,7.5
2019-03-24, 1:45:00 AM,C,7.5
2019-03-24, 2:45:00 AM,C,7.5
2019-03-24, 3:45:00 AM,C,7.5
2019-03-24, 4:45:00 AM,C,7.5
2019-03-24, 5:45:00 AM,C,7.5
2019-03-24, 6:45:00 AM,C,7.5
2019-03-24, 7:45:00 AM,C,7.5
2019-03-24, 8:45:00 AM,C,6.5
2019-03-24, 9:45:00 AM,C,6
2019-03-24, 10:45:00 AM,C,6.5
2019-03-24, 11:45:00 AM,C,7
2019-03-24, 12:45:00 PM,C,8
2019-03-24, 1:45:00 PM,C,8
2019-03-24, 2:45:00 PM,C,8
2019-03-24, 3:45:00 PM,C,8
2019-03-24, 4:45:00 PM,C,8
2019-03-24, 5:45:00 PM,C,8
2019-03-24, 6:45:00 PM,C,8
2019-03-24, 7:45:00 PM,C,8
2019-03-24, 8:45:00 PM,C,8.5
2019-03-24, 9:45:00 PM,C,6.5
2019-03-24, 10:45:00 PM,C,5.5
2019-03-24, 11:45:00 PM,C,7
2019-03-25, 12:45:00 AM,C,7.5
2019-03-25, 1:45:00 AM,C,7.5
2019-03-25, 2:45:00 AM,C,7.5
2019-03-25, 3:45:00 AM,C,7.5
2019-03-25, 4:45:00 AM,C,7.5
2019-03-25, 5:45:00 AM,C,7.5
2019-03-25, 6:45:00 AM,C,7.5
2019-03-25, 7:45:00 AM,C,7.5
2019-03-25, 8:45:00 AM,C,7.5
2019-03-25, 9:45:00 AM,C,7
2019-03-25, 10:45:00 AM,C,7
2019-03-25, 11:45:00 AM,C,8.5
2019-03-25, 12:45:00 PM,C,10
2019-03-25, 1:45:00 PM,C,8.5
2019-03-25, 2:45:00 PM,C,8.5
2019-03-25, 3:45:00 PM,C,8.5
2019-03-25, 4:45:00 PM,C,8.5
2019-03-25, 5:45:00 PM,C,8
2019-03-25, 6:45:00 PM,C,8
2019-03-25, 7:45:00 PM,C,8
2019-03-25, 8:45:00 PM,C,8
2019-03-25, 9:45:00 PM,C,8.5
2019-03-25, 10:45:00 PM,C,8.5
2019-03-25, 11:45:00 PM,C,8.5
2019-03-26, 12:45:00 AM,C,8
2019-03-26, 1:45:00 AM,C,8
2019-03-26, 2:45:00 AM,C,8
2019-03-26, 3:45:00 AM,C,7.5
2019-03-26, 4:45:00 AM,C,7.5
2019-03-26, 5:45:00 AM,C,8
2019-03-26, 6:45:00 AM,C,8
2019-03-26, 7:45:00 AM,C,8
2019-03-26, 8:45:00 AM,C,8
2019-03-26, 9:45:00 AM,C,8
2019-03-26, 10:45:00 AM,C,8
2019-03-26, 11:45:00 AM,C,8.5
2019-03-26, 12:45:00 PM,C,9.5
2019-03-26, 1:45:00 PM,C,10.5
2019-03-26, 2:45:00 PM,C,9
2019-03-26, 3:45:00 PM,C,8.5
2019-03-26, 4:45:00 PM,C,8.5
2019-03-26, 5:45:00 PM,C,8.5
2019-03-26, 6:45:00 PM,C,8.5
2019-03-26, 7:45:00 PM,C,8.5
2019-03-26, 8:45:00 PM,C,8
2019-03-26, 9:45:00 PM,C,8
2019-03-26, 10:45:00 PM,C,8.5
2019-03-26, 11:45:00 PM,C,8.5
2019-03-27, 12:45:00 AM,C,8.5
2019-03-27, 1:45:00 AM,C,8
2019-03-27, 2:45:00 AM,C,8
2019-03-27, 3:45:00 AM,C,8
2019-03-27, 4:45:00 AM,C,8
2019-03-27, 5:45:00 AM,C,8
2019-03-27, 6:45:00 AM,C,8
2019-03-27, 7:45:00 AM,C,8
2019-03-27, 8:45:00 AM,C,8
2019-03-27, 9:45:00 AM,C,8
2019-03-27, 10:45:00 AM,C,8
2019-03-27, 11:45:00 AM,C,8
2019-03-27, 12:45:00 PM,C,8.5
2019-03-27, 1:45:00 PM,C,8.5
2019-03-27, 2:45:00 PM,C,10
2019-03-27, 3:45:00 PM,C,9.5
2019-03-27, 4:45:00 PM,C,9.5
2019-03-27, 5:45:00 PM,C,9
2019-03-27, 6:45:00 PM,C,8.5
2019-03-27, 7:45:00 PM,C,9
2019-03-27, 8:45:00 PM,C,9
2019-03-27, 9:45:00 PM,C,9
2019-03-27, 10:45:00 PM,C,9
2019-03-27, 11:45:00 PM,C,9
2019-03-28, 12:45:00 AM,C,9
2019-03-28, 1:45:00 AM,C,9
2019-03-28, 2:45:00 AM,C,8.5
2019-03-28, 3:45:00 AM,C,8.5
2019-03-28, 4:45:00 AM,C,8.5
2019-03-28, 5:45:00 AM,C,8.5
2019-03-28, 6:45:00 AM,C,8.5
2019-03-28, 7:45:00 AM,C,8.5
2019-03-28, 8:45:00 AM,C,8.5
2019-03-28, 9:45:00 AM,C,8.5
2019-03-28, 10:45:00 AM,C,8.5
2019-03-28, 11:45:00 AM,C,8.5
2019-03-28, 12:45:00 PM,C,9
2019-03-28, 1:45:00 PM,C,9
2019-03-28, 2:45:00 PM,C,20
2019-03-28, 3:45:00 PM,C,11
2019-03-28, 4:45:00 PM,C,10
2019-03-28, 5:45:00 PM,C,9.5
2019-03-28, 6:45:00 PM,C,9
2019-03-28, 7:45:00 PM,C,9
2019-03-28, 8:45:00 PM,C,8.5
2019-03-28, 9:45:00 PM,C,8.5
2019-03-28, 10:45:00 PM,C,8.5
2019-03-28, 11:45:00 PM,C,8.5
2019-03-29, 12:45:00 AM,C,8.5
2019-03-29, 1:45:00 AM,C,8.5
2019-03-29, 2:45:00 AM,C,8.5
2019-03-29, 3:45:00 AM,C,8.5
2019-03-29, 4:45:00 AM,C,8.5
2019-03-29, 5:45:00 AM,C,8
2019-03-29, 6:45:00 AM,C,8.5
2019-03-29, 7:45:00 AM,C,8
2019-03-29, 8:45:00 AM,C,8
2019-03-29, 9:45:00 AM,C,8.5
2019-03-29, 10:45:00 AM,C,8.5
2019-03-29, 11:45:00 AM,C,8.5
2019-03-29, 12:45:00 PM,C,8.5
2019-03-29, 1:45:00 PM,C,9
2019-03-29, 2:45:00 PM,C,17.5
2019-03-29, 3:45:00 PM,C,25
2019-03-29, 4:45:00 PM,C,13.5
2019-03-29, 5:45:00 PM,C,9.5
2019-03-29, 6:45:00 PM,C,8.5
2019-03-29, 7:45:00 PM,C,9
2019-03-29, 8:45:00 PM,C,9
2019-03-29, 9:45:00 PM,C,9
2019-03-29, 10:45:00 PM,C,9
2019-03-29, 11:45:00 PM,C,8.5
2019-03-30, 12:45:00 AM,C,8.5
2019-03-30, 1:45:00 AM,C,8.5
2019-03-30, 2:45:00 AM,C,8.5
2019-03-30, 3:45:00 AM,C,8.5
2019-03-30, 4:45:00 AM,C,8.5
2019-03-30, 5:45:00 AM,C,8.5
2019-03-30, 6:45:00 AM,C,8.5
2019-03-30, 7:45:00 AM,C,8.5
2019-03-30, 8:45:00 AM,C,8.5
2019-03-30, 9:45:00 AM,C,8.5
2019-03-30, 10:45:00 AM,C,8.5
2019-03-30, 11:45:00 AM,C,8.5
2019-03-30, 12:45:00 PM,C,9
2019-03-30, 1:45:00 PM,C,9.5
2019-03-30, 2:45:00 PM,C,11
2019-03-30, 3:45:00 PM,C,15
2019-03-30, 4:45:00 PM,C,13
2019-03-30, 5:45:00 PM,C,11
2019-03-30, 6:45:00 PM,C,9
2019-03-30, 7:45:00 PM,C,8.5
2019-03-30, 8:45:00 PM,C,9
2019-03-30, 9:45:00 PM,C,9
2019-03-30, 10:45:00 PM,C,9
2019-03-30, 11:45:00 PM,C,9
2019-03-31, 12:45:00 AM,C,9
2019-03-31, 1:45:00 AM,C,9
2019-03-31, 2:45:00 AM,C,9
2019-03-31, 3:45:00 AM,C,8.5
2019-03-31, 4:45:00 AM,C,8.5
2019-03-31, 5:45:00 AM,C,8.5
2019-03-31, 6:45:00 AM,C,8.5
2019-03-31, 7:45:00 AM,C,8.5
2019-03-31, 8:45:00 AM,C,8.5
2019-03-31, 9:45:00 AM,C,8.5
2019-03-31, 10:45:00 AM,C,8.5
2019-03-31, 11:45:00 AM,C,8.5
2019-03-31, 12:45:00 PM,C,8.5
2019-03-31, 1:45:00 PM,C,9
2019-03-31, 2:45:00 PM,C,10
2019-03-31, 3:45:00 PM,C,11
2019-03-31, 4:45:00 PM,C,21
2019-03-31, 5:45:00 PM,C,23.5
2019-03-31, 6:45:00 PM,C,15
2019-03-31, 7:45:00 PM,C,10
2019-03-31, 8:45:00 PM,C,9.5
2019-03-31, 9:45:00 PM,C,9
2019-03-31, 10:45:00 PM,C,9
2019-03-31, 11:45:00 PM,C,9
2019-04-01, 12:45:00 AM,C,9
2019-04-01, 1:45:00 AM,C,9
2019-04-01, 2:45:00 AM,C,9
2019-04-01, 3:45:00 AM,C,9
2019-04-01, 4:45:00 AM,C,9
2019-04-01, 5:45:00 AM,C,8.5
2019-04-01, 6:45:00 AM,C,8.5
2019-04-01, 7:45:00 AM,C,9
2019-04-01, 8:45:00 AM,C,9
2019-04-01, 9:45:00 AM,C,8.5
2019-04-01, 10:45:00 AM,C,8.5
2019-04-01, 11:45:00 AM,C,9
2019-04-01, 12:45:00 PM,C,9
2019-04-01, 1:45:00 PM,C,9.5
2019-04-01, 2:45:00 PM,C,10.5
2019-04-01, 3:45:00 PM,C,11
2019-04-01, 4:45:00 PM,C,11.5
2019-04-01, 5:45:00 PM,C,22.5
2019-04-01, 6:45:00 PM,C,16
2019-04-01, 7:45:00 PM,C,11
2019-04-01, 8:45:00 PM,C,10
2019-04-01, 9:45:00 PM,C,9.5
2019-04-01, 10:45:00 PM,C,9.5
2019-04-01, 11:45:00 PM,C,9.5
2019-04-02, 12:45:00 AM,C,9.5
2019-04-02, 1:45:00 AM,C,9.5
2019-04-02, 2:45:00 AM,C,9.5
2019-04-02, 3:45:00 AM,C,9.5
2019-04-02, 4:45:00 AM,C,9.5
2019-04-02, 5:45:00 AM,C,9.5
2019-04-02, 6:45:00 AM,C,9
2019-04-02, 7:45:00 AM,C,9
2019-04-02, 8:45:00 AM,C,9
2019-04-02, 9:45:00 AM,C,9
2019-04-02, 10:45:00 AM,C,9
2019-04-02, 11:45:00 AM,C,9
2019-04-02, 12:45:00 PM,C,9.5
2019-04-02, 1:45:00 PM,C,9.5
2019-04-02, 2:45:00 PM,C,10
2019-04-02, 3:45:00 PM,C,10
2019-04-02, 4:45:00 PM,C,11
2019-04-02, 5:45:00 PM,C,12
2019-04-02, 6:45:00 PM,C,12.5
2019-04-02, 7:45:00 PM,C,11
2019-04-02, 8:45:00 PM,C,10
2019-04-02, 9:45:00 PM,C,9.5
2019-04-02, 10:45:00 PM,C,9.5
2019-04-02, 11:45:00 PM,C,9.5
2019-04-03, 12:45:00 AM,C,9.5
2019-04-03, 1:45:00 AM,C,9.5
2019-04-03, 2:45:00 AM,C,9.5
2019-04-03, 3:45:00 AM,C,9.5
2019-04-03, 4:45:00 AM,C,9.5
2019-04-03, 5:45:00 AM,C,9.5
2019-04-03, 6:45:00 AM,C,9
2019-04-03, 7:45:00 AM,C,9
2019-04-03, 8:45:00 AM,C,9.5
2019-04-03, 9:45:00 AM,C,9.5
2019-04-03, 10:45:00 AM,C,9.5
2019-04-03, 11:45:00 AM,C,9.5
2019-04-03, 12:45:00 PM,C,9.5
2019-04-03, 1:45:00 PM,C,9.5
2019-04-03, 2:45:00 PM,C,9.5
2019-04-03, 3:45:00 PM,C,9.5
2019-04-03, 4:45:00 PM,C,9.5
2019-04-03, 5:45:00 PM,C,11
2019-04-03, 6:45:00 PM,C,11
2019-04-03, 7:45:00 PM,C,10
2019-04-03, 8:45:00 PM,C,9.5
2019-04-03, 9:45:00 PM,C,9.5
2019-04-03, 10:45:00 PM,C,9.5
2019-04-03, 11:45:00 PM,C,9.5
2019-04-04, 12:45:00 AM,C,9.5
2019-04-04, 1:45:00 AM,C,9
2019-04-04, 2:45:00 AM,C,9.5
2019-04-04, 3:45:00 AM,C,9.5
2019-04-04, 4:45:00 AM,C,9.5
2019-04-04, 5:45:00 AM,C,9
2019-04-04, 6:45:00 AM,C,8.5
2019-04-04, 7:45:00 AM,C,8.5
2019-04-04, 8:45:00 AM,C,8.5
2019-04-04, 9:45:00 AM,C,9
2019-04-04, 10:45:00 AM,C,9
2019-04-04, 11:45:00 AM,C,9.5
2019-04-04, 12:45:00 PM,C,9.5
2019-04-04, 1:45:00 PM,C,9.5
2019-04-04, 2:45:00 PM,C,9.5
2019-04-04, 3:45:00 PM,C,9.5
2019-04-04, 4:45:00 PM,C,9.5
2019-04-04, 5:45:00 PM,C,10
2019-04-04, 6:45:00 PM,C,10.5
2019-04-04, 7:45:00 PM,C,9.5
2019-04-04, 8:45:00 PM,C,9
2019-04-04, 9:45:00 PM,C,9.5
2019-04-04, 10:45:00 PM,C,9.5
2019-04-04, 11:45:00 PM,C,9.5
2019-04-05, 12:45:00 AM,C,9.5
2019-04-05, 1:45:00 AM,C,9.5
2019-04-05, 2:45:00 AM,C,9.5
2019-04-05, 3:45:00 AM,C,9.5
2019-04-05, 4:45:00 AM,C,9.5
2019-04-05, 5:45:00 AM,C,9.5
2019-04-05, 6:45:00 AM,C,9
2019-04-05, 7:45:00 AM,C,9
2019-04-05, 8:45:00 AM,C,9
2019-04-05, 9:45:00 AM,C,9.5
2019-04-05, 10:45:00 AM,C,9.5
2019-04-05, 11:45:00 AM,C,9.5
2019-04-05, 12:45:00 PM,C,9.5
2019-04-05, 1:45:00 PM,C,9.5
2019-04-05, 2:45:00 PM,C,9.5
2019-04-05, 3:45:00 PM,C,9.5
2019-04-05, 4:45:00 PM,C,9.5
2019-04-05, 5:45:00 PM,C,9.5
2019-04-05, 6:45:00 PM,C,10
2019-04-05, 7:45:00 PM,C,9.5
2019-04-05, 8:45:00 PM,C,9
2019-04-05, 9:45:00 PM,C,9.5
2019-04-05, 10:45:00 PM,C,9.5
2019-04-05, 11:45:00 PM,C,9
2019-04-06, 12:45:00 AM,C,9
2019-04-06, 1:45:00 AM,C,9
2019-04-06, 2:45:00 AM,C,9
2019-04-06, 3:45:00 AM,C,9
2019-04-06, 4:45:00 AM,C,9
2019-04-06, 5:45:00 AM,C,9
2019-04-06, 6:45:00 AM,C,8.5
2019-04-06, 7:45:00 AM,C,8
2019-04-06, 8:45:00 AM,C,8
2019-04-06, 9:45:00 AM,C,8.5
2019-04-06, 10:45:00 AM,C,9
2019-04-06, 11:45:00 AM,C,9
2019-04-06, 12:45:00 PM,C,9
2019-04-06, 1:45:00 PM,C,9
2019-04-06, 2:45:00 PM,C,9
2019-04-06, 3:45:00 PM,C,9
2019-04-06, 4:45:00 PM,C,9
2019-04-06, 5:45:00 PM,C,9
2019-04-06, 6:45:00 PM,C,9
2019-04-06, 7:45:00 PM,C,9.5
2019-04-06, 8:45:00 PM,C,9
2019-04-06, 9:45:00 PM,C,9
2019-04-06, 10:45:00 PM,C,9
2019-04-06, 11:45:00 PM,C,9
2019-04-07, 12:45:00 AM,C,9
2019-04-07, 1:45:00 AM,C,9
2019-04-07, 2:45:00 AM,C,8.5
2019-04-07, 3:45:00 AM,C,8.5
2019-04-07, 4:45:00 AM,C,8.5
2019-04-07, 5:45:00 AM,C,8.5
2019-04-07, 6:45:00 AM,C,8.5
2019-04-07, 7:45:00 AM,C,8
2019-04-07, 8:45:00 AM,C,7.5
2019-04-07, 9:45:00 AM,C,7.5
2019-04-07, 10:45:00 AM,C,7.5
2019-04-07, 11:45:00 AM,C,8.5
2019-04-07, 12:45:00 PM,C,8.5
2019-04-07, 1:45:00 PM,C,8.5
2019-04-07, 2:45:00 PM,C,8.5
2019-04-07, 3:45:00 PM,C,9
2019-04-07, 4:45:00 PM,C,8.5
2019-04-07, 5:45:00 PM,C,8.5
2019-04-07, 6:45:00 PM,C,9
2019-04-07, 7:45:00 PM,C,9
2019-04-07, 8:45:00 PM,C,9
2019-04-07, 9:45:00 PM,C,8.5
2019-04-07, 10:45:00 PM,C,9
2019-04-07, 11:45:00 PM,C,8.5
2019-04-08, 12:45:00 AM,C,8.5
2019-04-08, 1:45:00 AM,C,8.5
2019-04-08, 2:45:00 AM,C,8.5
2019-04-08, 3:45:00 AM,C,8.5
2019-04-08, 4:45:00 AM,C,8.5
2019-04-08, 5:45:00 AM,C,8.5
2019-04-08, 6:45:00 AM,C,8.5
2019-04-08, 7:45:00 AM,C,8.5
2019-04-08, 8:45:00 AM,C,8.5
2019-04-08, 9:45:00 AM,C,8.5
2019-04-08, 10:45:00 AM,C,9
2019-04-08, 11:45:00 AM,C,9
2019-04-08, 12:45:00 PM,C,8.5
2019-04-08, 1:45:00 PM,C,8.5
2019-04-08, 2:45:00 PM,C,8.5
2019-04-08, 3:45:00 PM,C,9
2019-04-08, 4:45:00 PM,C,9
2019-04-08, 5:45:00 PM,C,9
2019-04-08, 6:45:00 PM,C,8.5
2019-04-08, 7:45:00 PM,C,8.5
2019-04-08, 8:45:00 PM,C,8.5
2019-04-08, 9:45:00 PM,C,9
2019-04-08, 10:45:00 PM,C,8.5
2019-04-08, 11:45:00 PM,C,8.5
2019-04-09, 12:45:00 AM,C,8.5
2019-04-09, 1:45:00 AM,C,8.5
2019-04-09, 2:45:00 AM,C,8.5
2019-04-09, 3:45:00 AM,C,8.5
2019-04-09, 4:45:00 AM,C,8.5
2019-04-09, 5:45:00 AM,C,8.5
2019-04-09, 6:45:00 AM,C,8.5
2019-04-09, 7:45:00 AM,C,8.5
2019-04-09, 8:45:00 AM,C,8.5
2019-04-09, 9:45:00 AM,C,9
2019-04-09, 10:45:00 AM,C,9.5
2019-04-09, 11:45:00 AM,C,10
2019-04-09, 12:45:00 PM,C,9
2019-04-09, 1:45:00 PM,C,9
2019-04-09, 2:45:00 PM,C,9
2019-04-09, 3:45:00 PM,C,9
2019-04-09, 4:45:00 PM,C,9
2019-04-09, 5:45:00 PM,C,9
2019-04-09, 6:45:00 PM,C,9
2019-04-09, 7:45:00 PM,C,9
2019-04-09, 8:45:00 PM,C,9
2019-04-09, 9:45:00 PM,C,9
2019-04-09, 10:45:00 PM,C,9
2019-04-09, 11:45:00 PM,C,9
2019-04-10, 12:45:00 AM,C,9
2019-04-10, 1:45:00 AM,C,8.5
2019-04-10, 2:45:00 AM,C,8.5
2019-04-10, 3:45:00 AM,C,8.5
2019-04-10, 4:45:00 AM,C,8.5
2019-04-10, 5:45:00 AM,C,8.5
2019-04-10, 6:45:00 AM,C,8.5
2019-04-10, 7:45:00 AM,C,8.5
2019-04-10, 8:45:00 AM,C,8.5
2019-04-10, 9:45:00 AM,C,8.5
2019-04-10, 10:45:00 AM,C,9
2019-04-10, 11:45:00 AM,C,9.5
2019-04-10, 12:45:00 PM,C,9.5
2019-04-10, 1:45:00 PM,C,10
2019-04-10, 2:45:00 PM,C,10
2019-04-10, 3:45:00 PM,C,9.5
2019-04-10, 4:45:00 PM,C,9.5
2019-04-10, 5:45:00 PM,C,9
2019-04-10, 6:45:00 PM,C,9
2019-04-10, 7:45:00 PM,C,9
2019-04-10, 8:45:00 PM,C,9
2019-04-10, 9:45:00 PM,C,9
2019-04-10, 10:45:00 PM,C,9
2019-04-10, 11:45:00 PM,C,9
2019-04-11, 12:45:00 AM,C,9
2019-04-11, 1:45:00 AM,C,9
2019-04-11, 2:45:00 AM,C,9
2019-04-11, 3:45:00 AM,C,9
2019-04-11, 4:45:00 AM,C,9
2019-04-11, 5:45:00 AM,C,9
2019-04-11, 6:45:00 AM,C,9
2019-04-11, 7:45:00 AM,C,9
2019-04-11, 8:45:00 AM,C,9
2019-04-11, 9:45:00 AM,C,9
2019-04-11, 10:45:00 AM,C,8.5
2019-04-11, 11:45:00 AM,C,9
2019-04-11, 12:45:00 PM,C,10
2019-04-11, 1:45:00 PM,C,13
2019-04-11, 2:45:00 PM,C,11
2019-04-11, 3:45:00 PM,C,10
2019-04-11, 4:45:00 PM,C,9.5
2019-04-11, 5:45:00 PM,C,9.5
2019-04-11, 6:45:00 PM,C,9.5
2019-04-11, 7:45:00 PM,C,9
2019-04-11, 8:45:00 PM,C,9
2019-04-11, 9:45:00 PM,C,9
2019-04-11, 10:45:00 PM,C,9
2019-04-11, 11:45:00 PM,C,9
2019-04-12, 12:45:00 AM,C,9
2019-04-12, 1:45:00 AM,C,9
2019-04-12, 2:45:00 AM,C,9
2019-04-12, 3:45:00 AM,C,9
2019-04-12, 4:45:00 AM,C,8.5
2019-04-12, 5:45:00 AM,C,8.5
2019-04-12, 6:45:00 AM,C,8.5
2019-04-12, 7:45:00 AM,C,8.5
2019-04-12, 8:45:00 AM,C,8.5
2019-04-12, 9:45:00 AM,C,8.5
2019-04-12, 10:45:00 AM,C,9
2019-04-12, 11:45:00 AM,C,9
2019-04-12, 12:45:00 PM,C,10
2019-04-12, 1:45:00 PM,C,13
2019-04-12, 2:45:00 PM,C,15.5
2019-04-12, 3:45:00 PM,C,10.5
2019-04-12, 4:45:00 PM,C,9.5
