Date/Time,Unit,Value,
2019-05-10, 9:52:00 AM,C,11
2019-05-10, 10:52:00 AM,C,25
2019-05-10, 11:52:00 AM,C,29
2019-05-10, 12:52:00 PM,C,31
2019-05-10, 1:52:00 PM,C,13
2019-05-10, 2:52:00 PM,C,11.5
2019-05-10, 3:52:00 PM,C,11.5
2019-05-10, 4:52:00 PM,C,11.5
2019-05-10, 5:52:00 PM,C,11
2019-05-10, 6:52:00 PM,C,11.5
2019-05-10, 7:52:00 PM,C,11.5
2019-05-10, 8:52:00 PM,C,11.5
2019-05-10, 9:52:00 PM,C,11
2019-05-10, 10:52:00 PM,C,11
2019-05-10, 11:52:00 PM,C,11
2019-05-11, 12:52:00 AM,C,10.5
2019-05-11, 1:52:00 AM,C,10.5
2019-05-11, 2:52:00 AM,C,11
2019-05-11, 3:52:00 AM,C,11
2019-05-11, 4:52:00 AM,C,11
2019-05-11, 5:52:00 AM,C,10.5
2019-05-11, 6:52:00 AM,C,10
2019-05-11, 7:52:00 AM,C,10.5
2019-05-11, 8:52:00 AM,C,10.5
2019-05-11, 9:52:00 AM,C,11
2019-05-11, 10:52:00 AM,C,11
2019-05-11, 11:52:00 AM,C,13.5
2019-05-11, 12:52:00 PM,C,25
2019-05-11, 1:52:00 PM,C,26
2019-05-11, 2:52:00 PM,C,11.5
2019-05-11, 3:52:00 PM,C,11
2019-05-11, 4:52:00 PM,C,10.5
2019-05-11, 5:52:00 PM,C,10.5
2019-05-11, 6:52:00 PM,C,10
2019-05-11, 7:52:00 PM,C,10
2019-05-11, 8:52:00 PM,C,10
2019-05-11, 9:52:00 PM,C,9.5
2019-05-11, 10:52:00 PM,C,10
2019-05-11, 11:52:00 PM,C,10.5
2019-05-12, 12:52:00 AM,C,10.5
2019-05-12, 1:52:00 AM,C,10.5
2019-05-12, 2:52:00 AM,C,10.5
2019-05-12, 3:52:00 AM,C,10.5
2019-05-12, 4:52:00 AM,C,10.5
2019-05-12, 5:52:00 AM,C,10.5
2019-05-12, 6:52:00 AM,C,10.5
2019-05-12, 7:52:00 AM,C,10.5
2019-05-12, 8:52:00 AM,C,10.5
2019-05-12, 9:52:00 AM,C,10.5
2019-05-12, 10:52:00 AM,C,11
2019-05-12, 11:52:00 AM,C,11.5
2019-05-12, 12:52:00 PM,C,12
2019-05-12, 1:52:00 PM,C,22
2019-05-12, 2:52:00 PM,C,23.5
2019-05-12, 3:52:00 PM,C,12
2019-05-12, 4:52:00 PM,C,12
2019-05-12, 5:52:00 PM,C,12
2019-05-12, 6:52:00 PM,C,11.5
2019-05-12, 7:52:00 PM,C,11.5
2019-05-12, 8:52:00 PM,C,11.5
2019-05-12, 9:52:00 PM,C,11.5
2019-05-12, 10:52:00 PM,C,11.5
2019-05-12, 11:52:00 PM,C,11
2019-05-13, 12:52:00 AM,C,11
2019-05-13, 1:52:00 AM,C,11
2019-05-13, 2:52:00 AM,C,11
2019-05-13, 3:52:00 AM,C,11
2019-05-13, 4:52:00 AM,C,10.5
2019-05-13, 5:52:00 AM,C,10.5
2019-05-13, 6:52:00 AM,C,10.5
2019-05-13, 7:52:00 AM,C,10.5
2019-05-13, 8:52:00 AM,C,11
2019-05-13, 9:52:00 AM,C,10
2019-05-13, 10:52:00 AM,C,10.5
2019-05-13, 11:52:00 AM,C,11
2019-05-13, 12:52:00 PM,C,11.5
2019-05-13, 1:52:00 PM,C,11.5
2019-05-13, 2:52:00 PM,C,14.5
2019-05-13, 3:52:00 PM,C,16
2019-05-13, 4:52:00 PM,C,11.5
2019-05-13, 5:52:00 PM,C,11
2019-05-13, 6:52:00 PM,C,11
2019-05-13, 7:52:00 PM,C,11
2019-05-13, 8:52:00 PM,C,10.5
2019-05-13, 9:52:00 PM,C,10.5
2019-05-13, 10:52:00 PM,C,10.5
2019-05-13, 11:52:00 PM,C,10.5
2019-05-14, 12:52:00 AM,C,10.5
2019-05-14, 1:52:00 AM,C,11
2019-05-14, 2:52:00 AM,C,10.5
2019-05-14, 3:52:00 AM,C,10.5
2019-05-14, 4:52:00 AM,C,10.5
2019-05-14, 5:52:00 AM,C,10.5
2019-05-14, 6:52:00 AM,C,10.5
2019-05-14, 7:52:00 AM,C,10.5
2019-05-14, 8:52:00 AM,C,10.5
2019-05-14, 9:52:00 AM,C,11
2019-05-14, 10:52:00 AM,C,10.5
2019-05-14, 11:52:00 AM,C,10.5
2019-05-14, 12:52:00 PM,C,11
2019-05-14, 1:52:00 PM,C,11
2019-05-14, 2:52:00 PM,C,11
2019-05-14, 3:52:00 PM,C,13
2019-05-14, 4:52:00 PM,C,12.5
2019-05-14, 5:52:00 PM,C,11
2019-05-14, 6:52:00 PM,C,11
