Date/Time,Unit,Value,
2019-05-08, 1:49:00 AM,C,10
2019-05-08, 2:49:00 AM,C,9.5
2019-05-08, 3:49:00 AM,C,10
2019-05-08, 4:49:00 AM,C,10
2019-05-08, 5:49:00 AM,C,10
2019-05-08, 6:49:00 AM,C,10
2019-05-08, 7:49:00 AM,C,10
2019-05-08, 8:49:00 AM,C,10
2019-05-08, 9:49:00 AM,C,10.5
2019-05-08, 10:49:00 AM,C,11.5
2019-05-08, 11:49:00 AM,C,11
2019-05-08, 12:49:00 PM,C,13
2019-05-08, 1:49:00 PM,C,11
2019-05-08, 2:49:00 PM,C,10
2019-05-08, 3:49:00 PM,C,10
2019-05-08, 4:49:00 PM,C,10.5
2019-05-08, 5:49:00 PM,C,11
2019-05-08, 6:49:00 PM,C,10.5
2019-05-08, 7:49:00 PM,C,10
2019-05-08, 8:49:00 PM,C,10.5
2019-05-08, 9:49:00 PM,C,10
2019-05-08, 10:49:00 PM,C,10
2019-05-08, 11:49:00 PM,C,10
2019-05-09, 12:49:00 AM,C,10.5
2019-05-09, 1:49:00 AM,C,10.5
2019-05-09, 2:49:00 AM,C,9.5
2019-05-09, 3:49:00 AM,C,9.5
2019-05-09, 4:49:00 AM,C,10
2019-05-09, 5:49:00 AM,C,10.5
2019-05-09, 6:49:00 AM,C,10.5
2019-05-09, 7:49:00 AM,C,10.5
2019-05-09, 8:49:00 AM,C,10.5
2019-05-09, 9:49:00 AM,C,10
2019-05-09, 10:49:00 AM,C,10.5
2019-05-09, 11:49:00 AM,C,11
2019-05-09, 12:49:00 PM,C,16.5
2019-05-09, 1:49:00 PM,C,13
2019-05-09, 2:49:00 PM,C,11
2019-05-09, 3:49:00 PM,C,10
2019-05-09, 4:49:00 PM,C,11
2019-05-09, 5:49:00 PM,C,11.5
2019-05-09, 6:49:00 PM,C,11
2019-05-09, 7:49:00 PM,C,10.5
2019-05-09, 8:49:00 PM,C,11
2019-05-09, 9:49:00 PM,C,11.5
2019-05-09, 10:49:00 PM,C,10.5
2019-05-09, 11:49:00 PM,C,11
2019-05-10, 12:49:00 AM,C,11
2019-05-10, 1:49:00 AM,C,11
2019-05-10, 2:49:00 AM,C,10.5
2019-05-10, 3:49:00 AM,C,10
2019-05-10, 4:49:00 AM,C,10
2019-05-10, 5:49:00 AM,C,10.5
2019-05-10, 6:49:00 AM,C,10.5
2019-05-10, 7:49:00 AM,C,10.5
2019-05-10, 8:49:00 AM,C,10.5
2019-05-10, 9:49:00 AM,C,10.5
2019-05-10, 10:49:00 AM,C,10.5
2019-05-10, 11:49:00 AM,C,11
2019-05-10, 12:49:00 PM,C,16.5
2019-05-10, 1:49:00 PM,C,22
2019-05-10, 2:49:00 PM,C,13
2019-05-10, 3:49:00 PM,C,12
2019-05-10, 4:49:00 PM,C,11.5
2019-05-10, 5:49:00 PM,C,11.5
2019-05-10, 6:49:00 PM,C,11.5
2019-05-10, 7:49:00 PM,C,11.5
2019-05-10, 8:49:00 PM,C,11.5
2019-05-10, 9:49:00 PM,C,10.5
