Date/Time,Unit,Value,
2019-05-08, 1:43:00 AM,C,10.5
2019-05-08, 2:43:00 AM,C,9.5
2019-05-08, 3:43:00 AM,C,10
2019-05-08, 4:43:00 AM,C,10.5
2019-05-08, 5:43:00 AM,C,10.5
2019-05-08, 6:43:00 AM,C,10.5
2019-05-08, 7:43:00 AM,C,11
2019-05-08, 8:43:00 AM,C,11
2019-05-08, 9:43:00 AM,C,14.5
2019-05-08, 10:43:00 AM,C,20
2019-05-08, 11:43:00 AM,C,24.5
2019-05-08, 12:43:00 PM,C,18
2019-05-08, 1:43:00 PM,C,12
2019-05-08, 2:43:00 PM,C,10.5
2019-05-08, 3:43:00 PM,C,10
2019-05-08, 4:43:00 PM,C,10.5
2019-05-08, 5:43:00 PM,C,11
2019-05-08, 6:43:00 PM,C,10.5
2019-05-08, 7:43:00 PM,C,10.5
2019-05-08, 8:43:00 PM,C,12
2019-05-08, 9:43:00 PM,C,10
2019-05-08, 10:43:00 PM,C,10.5
2019-05-08, 11:43:00 PM,C,10.5
2019-05-09, 12:43:00 AM,C,11
2019-05-09, 1:43:00 AM,C,11
2019-05-09, 2:43:00 AM,C,10
2019-05-09, 3:43:00 AM,C,9.5
2019-05-09, 4:43:00 AM,C,10.5
2019-05-09, 5:43:00 AM,C,10.5
2019-05-09, 6:43:00 AM,C,10.5
2019-05-09, 7:43:00 AM,C,10.5
2019-05-09, 8:43:00 AM,C,11
2019-05-09, 9:43:00 AM,C,17.5
2019-05-09, 10:43:00 AM,C,23.5
2019-05-09, 11:43:00 AM,C,27
2019-05-09, 12:43:00 PM,C,29.5
2019-05-09, 1:43:00 PM,C,15
2019-05-09, 2:43:00 PM,C,12
2019-05-09, 3:43:00 PM,C,10
2019-05-09, 4:43:00 PM,C,11
2019-05-09, 5:43:00 PM,C,11.5
2019-05-09, 6:43:00 PM,C,11.5
2019-05-09, 7:43:00 PM,C,11
2019-05-09, 8:43:00 PM,C,11
2019-05-09, 9:43:00 PM,C,12
2019-05-09, 10:43:00 PM,C,11
2019-05-09, 11:43:00 PM,C,11
2019-05-10, 12:43:00 AM,C,11.5
2019-05-10, 1:43:00 AM,C,11.5
2019-05-10, 2:43:00 AM,C,11
2019-05-10, 3:43:00 AM,C,10.5
2019-05-10, 4:43:00 AM,C,10
2019-05-10, 5:43:00 AM,C,11
2019-05-10, 6:43:00 AM,C,11
2019-05-10, 7:43:00 AM,C,11
2019-05-10, 8:43:00 AM,C,11
2019-05-10, 9:43:00 AM,C,12
2019-05-10, 10:43:00 AM,C,20
2019-05-10, 11:43:00 AM,C,26
2019-05-10, 12:43:00 PM,C,28
2019-05-10, 1:43:00 PM,C,23.5
2019-05-10, 2:43:00 PM,C,14
2019-05-10, 3:43:00 PM,C,12
2019-05-10, 4:43:00 PM,C,11.5
2019-05-10, 5:43:00 PM,C,11.5
2019-05-10, 6:43:00 PM,C,11.5
2019-05-10, 7:43:00 PM,C,11.5
2019-05-10, 8:43:00 PM,C,12
2019-05-10, 9:43:00 PM,C,11
2019-05-10, 10:43:00 PM,C,12
2019-05-10, 11:43:00 PM,C,10.5
2019-05-11, 12:43:00 AM,C,11.5
2019-05-11, 1:43:00 AM,C,12
2019-05-11, 2:43:00 AM,C,12
2019-05-11, 3:43:00 AM,C,12
2019-05-11, 4:43:00 AM,C,11
2019-05-11, 5:43:00 AM,C,11
2019-05-11, 6:43:00 AM,C,12
2019-05-11, 7:43:00 AM,C,11.5
2019-05-11, 8:43:00 AM,C,11
2019-05-11, 9:43:00 AM,C,12
2019-05-11, 10:43:00 AM,C,12
2019-05-11, 11:43:00 AM,C,12.5
2019-05-11, 12:43:00 PM,C,17
2019-05-11, 1:43:00 PM,C,18.5
2019-05-11, 2:43:00 PM,C,18
2019-05-11, 3:43:00 PM,C,13
2019-05-11, 4:43:00 PM,C,10.5
2019-05-11, 5:43:00 PM,C,10
2019-05-11, 6:43:00 PM,C,10.5
2019-05-11, 7:43:00 PM,C,10.5
2019-05-11, 8:43:00 PM,C,10.5
2019-05-11, 9:43:00 PM,C,11
2019-05-11, 10:43:00 PM,C,11
2019-05-11, 11:43:00 PM,C,11
2019-05-12, 12:43:00 AM,C,11
2019-05-12, 1:43:00 AM,C,10.5
2019-05-12, 2:43:00 AM,C,10
2019-05-12, 3:43:00 AM,C,10
2019-05-12, 4:43:00 AM,C,10
2019-05-12, 5:43:00 AM,C,10
2019-05-12, 6:43:00 AM,C,9.5
2019-05-12, 7:43:00 AM,C,10
2019-05-12, 8:43:00 AM,C,10
2019-05-12, 9:43:00 AM,C,10.5
2019-05-12, 10:43:00 AM,C,11
2019-05-12, 11:43:00 AM,C,11.5
2019-05-12, 12:43:00 PM,C,13.5
2019-05-12, 1:43:00 PM,C,21.5
2019-05-12, 2:43:00 PM,C,23
2019-05-12, 3:43:00 PM,C,16.5
2019-05-12, 4:43:00 PM,C,12
2019-05-12, 5:43:00 PM,C,11
2019-05-12, 6:43:00 PM,C,11
2019-05-12, 7:43:00 PM,C,11
2019-05-12, 8:43:00 PM,C,11
2019-05-12, 9:43:00 PM,C,11
2019-05-12, 10:43:00 PM,C,11
2019-05-12, 11:43:00 PM,C,11
2019-05-13, 12:43:00 AM,C,11
2019-05-13, 1:43:00 AM,C,11.5
2019-05-13, 2:43:00 AM,C,11
2019-05-13, 3:43:00 AM,C,11
2019-05-13, 4:43:00 AM,C,11
2019-05-13, 5:43:00 AM,C,11
2019-05-13, 6:43:00 AM,C,11
2019-05-13, 7:43:00 AM,C,11
2019-05-13, 8:43:00 AM,C,11
2019-05-13, 9:43:00 AM,C,11
2019-05-13, 10:43:00 AM,C,11
2019-05-13, 11:43:00 AM,C,12
2019-05-13, 12:43:00 PM,C,11.5
2019-05-13, 1:43:00 PM,C,13
2019-05-13, 2:43:00 PM,C,15.5
2019-05-13, 3:43:00 PM,C,15.5
2019-05-13, 4:43:00 PM,C,15
2019-05-13, 5:43:00 PM,C,12
2019-05-13, 6:43:00 PM,C,11.5
2019-05-13, 7:43:00 PM,C,11
2019-05-13, 8:43:00 PM,C,11.5
2019-05-13, 9:43:00 PM,C,11.5
2019-05-13, 10:43:00 PM,C,11.5
2019-05-13, 11:43:00 PM,C,10.5
2019-05-14, 12:43:00 AM,C,11
2019-05-14, 1:43:00 AM,C,11.5
2019-05-14, 2:43:00 AM,C,11.5
2019-05-14, 3:43:00 AM,C,11.5
2019-05-14, 4:43:00 AM,C,11
2019-05-14, 5:43:00 AM,C,11
2019-05-14, 6:43:00 AM,C,11.5
2019-05-14, 7:43:00 AM,C,11.5
2019-05-14, 8:43:00 AM,C,11.5
2019-05-14, 9:43:00 AM,C,11.5
2019-05-14, 10:43:00 AM,C,11.5
2019-05-14, 11:43:00 AM,C,11.5
2019-05-14, 12:43:00 PM,C,11.5
2019-05-14, 1:43:00 PM,C,11.5
2019-05-14, 2:43:00 PM,C,12
2019-05-14, 3:43:00 PM,C,13
2019-05-14, 4:43:00 PM,C,15.5
2019-05-14, 5:43:00 PM,C,14
2019-05-14, 6:43:00 PM,C,12.5
2019-05-14, 7:43:00 PM,C,12
2019-05-14, 8:43:00 PM,C,12
2019-05-14, 9:43:00 PM,C,11.5
2019-05-14, 10:43:00 PM,C,11.5
2019-05-14, 11:43:00 PM,C,11.5
2019-05-15, 12:43:00 AM,C,11.5
2019-05-15, 1:43:00 AM,C,11.5
2019-05-15, 2:43:00 AM,C,12
2019-05-15, 3:43:00 AM,C,12
2019-05-15, 4:43:00 AM,C,11.5
2019-05-15, 5:43:00 AM,C,11.5
2019-05-15, 6:43:00 AM,C,11.5
2019-05-15, 7:43:00 AM,C,11.5
2019-05-15, 8:43:00 AM,C,11.5
2019-05-15, 9:43:00 AM,C,11.5
2019-05-15, 10:43:00 AM,C,12
2019-05-15, 11:43:00 AM,C,12
