1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5C0000002B6EA721
Is Mission Active?  true
Mission Start:  Thu Jun 14 21:07:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  6689
Total Samples:  43580
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-06-14, 9:07:00 PM,C,22
2018-06-14, 10:07:00 PM,C,19.5
2018-06-14, 11:07:00 PM,C,20
2018-06-15, 12:07:00 AM,C,20
2018-06-15, 1:07:00 AM,C,20
2018-06-15, 2:07:00 AM,C,20
2018-06-15, 3:07:00 AM,C,20
2018-06-15, 4:07:00 AM,C,20
2018-06-15, 5:07:00 AM,C,20
2018-06-15, 6:07:00 AM,C,20.5
2018-06-15, 7:07:00 AM,C,16
2018-06-15, 8:07:00 AM,C,15.5
2018-06-15, 9:07:00 AM,C,18
2018-06-15, 10:07:00 AM,C,22
2018-06-15, 11:07:00 AM,C,22
2018-06-15, 12:07:00 PM,C,13.5
2018-06-15, 1:07:00 PM,C,13
2018-06-15, 2:07:00 PM,C,13
2018-06-15, 3:07:00 PM,C,13
2018-06-15, 4:07:00 PM,C,13.5
2018-06-15, 5:07:00 PM,C,14
2018-06-15, 6:07:00 PM,C,14
2018-06-15, 7:07:00 PM,C,14
2018-06-15, 8:07:00 PM,C,14
2018-06-15, 9:07:00 PM,C,14
2018-06-15, 10:07:00 PM,C,14
2018-06-15, 11:07:00 PM,C,14
2018-06-16, 12:07:00 AM,C,13.5
2018-06-16, 1:07:00 AM,C,12.5
2018-06-16, 2:07:00 AM,C,13
2018-06-16, 3:07:00 AM,C,13
2018-06-16, 4:07:00 AM,C,13
2018-06-16, 5:07:00 AM,C,13
2018-06-16, 6:07:00 AM,C,13
2018-06-16, 7:07:00 AM,C,13
2018-06-16, 8:07:00 AM,C,16.5
2018-06-16, 9:07:00 AM,C,20.5
2018-06-16, 10:07:00 AM,C,24
2018-06-16, 11:07:00 AM,C,29
2018-06-16, 12:07:00 PM,C,31.5
2018-06-16, 1:07:00 PM,C,14.5
2018-06-16, 2:07:00 PM,C,15
2018-06-16, 3:07:00 PM,C,15
2018-06-16, 4:07:00 PM,C,15
2018-06-16, 5:07:00 PM,C,14.5
2018-06-16, 6:07:00 PM,C,14.5
2018-06-16, 7:07:00 PM,C,14.5
2018-06-16, 8:07:00 PM,C,15
2018-06-16, 9:07:00 PM,C,15
2018-06-16, 10:07:00 PM,C,14.5
2018-06-16, 11:07:00 PM,C,14.5
2018-06-17, 12:07:00 AM,C,14.5
2018-06-17, 1:07:00 AM,C,14.5
2018-06-17, 2:07:00 AM,C,12.5
2018-06-17, 3:07:00 AM,C,13
2018-06-17, 4:07:00 AM,C,13.5
2018-06-17, 5:07:00 AM,C,14
2018-06-17, 6:07:00 AM,C,14
2018-06-17, 7:07:00 AM,C,13.5
2018-06-17, 8:07:00 AM,C,14
2018-06-17, 9:07:00 AM,C,17.5
2018-06-17, 10:07:00 AM,C,23
2018-06-17, 11:07:00 AM,C,28.5
2018-06-17, 12:07:00 PM,C,32
2018-06-17, 1:07:00 PM,C,19
2018-06-17, 2:07:00 PM,C,14.5
2018-06-17, 3:07:00 PM,C,14
2018-06-17, 4:07:00 PM,C,13.5
2018-06-17, 5:07:00 PM,C,13.5
2018-06-17, 6:07:00 PM,C,13
2018-06-17, 7:07:00 PM,C,13
2018-06-17, 8:07:00 PM,C,13.5
2018-06-17, 9:07:00 PM,C,13.5
2018-06-17, 10:07:00 PM,C,13.5
2018-06-17, 11:07:00 PM,C,13.5
2018-06-18, 12:07:00 AM,C,13.5
2018-06-18, 1:07:00 AM,C,13.5
2018-06-18, 2:07:00 AM,C,13
2018-06-18, 3:07:00 AM,C,13.5
2018-06-18, 4:07:00 AM,C,12.5
2018-06-18, 5:07:00 AM,C,13
2018-06-18, 6:07:00 AM,C,13
2018-06-18, 7:07:00 AM,C,13
2018-06-18, 8:07:00 AM,C,13.5
2018-06-18, 9:07:00 AM,C,13.5
2018-06-18, 10:07:00 AM,C,22.5
2018-06-18, 11:07:00 AM,C,27
2018-06-18, 12:07:00 PM,C,29.5
2018-06-18, 1:07:00 PM,C,33
2018-06-18, 2:07:00 PM,C,15
2018-06-18, 3:07:00 PM,C,14.5
2018-06-18, 4:07:00 PM,C,14
2018-06-18, 5:07:00 PM,C,13.5
2018-06-18, 6:07:00 PM,C,13.5
2018-06-18, 7:07:00 PM,C,13.5
2018-06-18, 8:07:00 PM,C,14
2018-06-18, 9:07:00 PM,C,14
2018-06-18, 10:07:00 PM,C,15
2018-06-18, 11:07:00 PM,C,15
2018-06-19, 12:07:00 AM,C,15
2018-06-19, 1:07:00 AM,C,15
2018-06-19, 2:07:00 AM,C,14.5
2018-06-19, 3:07:00 AM,C,13.5
2018-06-19, 4:07:00 AM,C,14
2018-06-19, 5:07:00 AM,C,14
2018-06-19, 6:07:00 AM,C,13.5
2018-06-19, 7:07:00 AM,C,14
2018-06-19, 8:07:00 AM,C,14.5
2018-06-19, 9:07:00 AM,C,14.5
2018-06-19, 10:07:00 AM,C,15
2018-06-19, 11:07:00 AM,C,24.5
