1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 970000001AC24621
Is Mission Active?  true
Mission Start:  Thu Jun 14 21:15:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  4004
Total Samples:  142986
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Dec 02 00:00:00 PST 2018
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-09-04, 9:15:00 AM,C,11.5
2018-09-04, 10:15:00 AM,C,11.5
2018-09-04, 11:15:00 AM,C,12
2018-09-04, 12:15:00 PM,C,12.5
2018-09-04, 1:15:00 PM,C,13
2018-09-04, 2:15:00 PM,C,13
2018-09-04, 3:15:00 PM,C,13
2018-09-04, 4:15:00 PM,C,13
2018-09-04, 5:15:00 PM,C,13
2018-09-04, 6:15:00 PM,C,13
2018-09-04, 7:15:00 PM,C,12
2018-09-04, 8:15:00 PM,C,13
2018-09-04, 9:15:00 PM,C,12.5
2018-09-04, 10:15:00 PM,C,12.5
2018-09-04, 11:15:00 PM,C,12.5
2018-09-05, 12:15:00 AM,C,12.5
2018-09-05, 1:15:00 AM,C,12.5
2018-09-05, 2:15:00 AM,C,12.5
2018-09-05, 3:15:00 AM,C,12.5
2018-09-05, 4:15:00 AM,C,11
2018-09-05, 5:15:00 AM,C,12.5
2018-09-05, 6:15:00 AM,C,12.5
2018-09-05, 7:15:00 AM,C,12.5
2018-09-05, 8:15:00 AM,C,13
2018-09-05, 9:15:00 AM,C,13
2018-09-05, 10:15:00 AM,C,13
2018-09-05, 11:15:00 AM,C,13.5
2018-09-05, 12:15:00 PM,C,13.5
2018-09-05, 1:15:00 PM,C,14
2018-09-05, 2:15:00 PM,C,13
2018-09-05, 3:15:00 PM,C,14
2018-09-05, 4:15:00 PM,C,13.5
2018-09-05, 5:15:00 PM,C,13.5
2018-09-05, 6:15:00 PM,C,13.5
2018-09-05, 7:15:00 PM,C,13.5
2018-09-05, 8:15:00 PM,C,13
2018-09-05, 9:15:00 PM,C,13
2018-09-05, 10:15:00 PM,C,13.5
2018-09-05, 11:15:00 PM,C,13
2018-09-06, 12:15:00 AM,C,12.5
2018-09-06, 1:15:00 AM,C,13
2018-09-06, 2:15:00 AM,C,13.5
2018-09-06, 3:15:00 AM,C,13.5
2018-09-06, 4:15:00 AM,C,11.5
2018-09-06, 5:15:00 AM,C,11
2018-09-06, 6:15:00 AM,C,12
2018-09-06, 7:15:00 AM,C,13.5
2018-09-06, 8:15:00 AM,C,13.5
2018-09-06, 9:15:00 AM,C,13.5
2018-09-06, 10:15:00 AM,C,13.5
2018-09-06, 11:15:00 AM,C,13.5
2018-09-06, 12:15:00 PM,C,13.5
2018-09-06, 1:15:00 PM,C,14
2018-09-06, 2:15:00 PM,C,14
2018-09-06, 3:15:00 PM,C,14
2018-09-06, 4:15:00 PM,C,14
2018-09-06, 5:15:00 PM,C,14
2018-09-06, 6:15:00 PM,C,14
2018-09-06, 7:15:00 PM,C,13.5
2018-09-06, 8:15:00 PM,C,13.5
2018-09-06, 9:15:00 PM,C,13.5
2018-09-06, 10:15:00 PM,C,13
2018-09-06, 11:15:00 PM,C,12.5
2018-09-07, 12:15:00 AM,C,13
2018-09-07, 1:15:00 AM,C,12.5
2018-09-07, 2:15:00 AM,C,13
2018-09-07, 3:15:00 AM,C,13.5
2018-09-07, 4:15:00 AM,C,13.5
2018-09-07, 5:15:00 AM,C,13
2018-09-07, 6:15:00 AM,C,13
2018-09-07, 7:15:00 AM,C,13
2018-09-07, 8:15:00 AM,C,12
2018-09-07, 9:15:00 AM,C,12.5
2018-09-07, 10:15:00 AM,C,12.5
2018-09-07, 11:15:00 AM,C,12.5
2018-09-07, 12:15:00 PM,C,12.5
2018-09-07, 1:15:00 PM,C,12.5
2018-09-07, 2:15:00 PM,C,12.5
2018-09-07, 3:15:00 PM,C,13
2018-09-07, 4:15:00 PM,C,13
2018-09-07, 5:15:00 PM,C,13
2018-09-07, 6:15:00 PM,C,13
2018-09-07, 7:15:00 PM,C,12.5
2018-09-07, 8:15:00 PM,C,12.5
2018-09-07, 9:15:00 PM,C,12
2018-09-07, 10:15:00 PM,C,12.5
2018-09-07, 11:15:00 PM,C,12.5
2018-09-08, 12:15:00 AM,C,12
2018-09-08, 1:15:00 AM,C,12
2018-09-08, 2:15:00 AM,C,12
2018-09-08, 3:15:00 AM,C,11.5
2018-09-08, 4:15:00 AM,C,12
2018-09-08, 5:15:00 AM,C,14
2018-09-08, 6:15:00 AM,C,13.5
2018-09-08, 7:15:00 AM,C,13.5
2018-09-08, 8:15:00 AM,C,13.5
2018-09-08, 9:15:00 AM,C,16
2018-09-08, 10:15:00 AM,C,17.5
2018-09-08, 11:15:00 AM,C,18
2018-09-08, 12:15:00 PM,C,18.5
2018-09-08, 1:15:00 PM,C,19
2018-09-08, 2:15:00 PM,C,20
2018-09-08, 3:15:00 PM,C,20
2018-09-08, 4:15:00 PM,C,20.5
2018-09-08, 5:15:00 PM,C,21
2018-09-08, 6:15:00 PM,C,20.5
2018-09-08, 7:15:00 PM,C,20.5
2018-09-08, 8:15:00 PM,C,20
2018-09-08, 9:15:00 PM,C,20
2018-09-08, 10:15:00 PM,C,19.5
2018-09-08, 11:15:00 PM,C,19.5
2018-09-09, 12:15:00 AM,C,19
2018-09-09, 1:15:00 AM,C,19
2018-09-09, 2:15:00 AM,C,19
2018-09-09, 3:15:00 AM,C,19
2018-09-09, 4:15:00 AM,C,18.5
2018-09-09, 5:15:00 AM,C,19
2018-09-09, 6:15:00 AM,C,18.5
2018-09-09, 7:15:00 AM,C,18.5
2018-09-09, 8:15:00 AM,C,18.5
2018-09-09, 9:15:00 AM,C,18.5
2018-09-09, 10:15:00 AM,C,18.5
2018-09-09, 11:15:00 AM,C,18.5
2018-09-09, 12:15:00 PM,C,18.5
2018-09-09, 1:15:00 PM,C,19
2018-09-09, 2:15:00 PM,C,20
2018-09-09, 3:15:00 PM,C,21
2018-09-09, 4:15:00 PM,C,21.5
2018-09-09, 5:15:00 PM,C,22
2018-09-09, 6:15:00 PM,C,21
2018-09-09, 7:15:00 PM,C,21
2018-09-09, 8:15:00 PM,C,20.5
2018-09-09, 9:15:00 PM,C,20.5
2018-09-09, 10:15:00 PM,C,20.5
2018-09-09, 11:15:00 PM,C,20
2018-09-10, 12:15:00 AM,C,20
2018-09-10, 1:15:00 AM,C,20
2018-09-10, 2:15:00 AM,C,19.5
2018-09-10, 3:15:00 AM,C,19.5
2018-09-10, 4:15:00 AM,C,19.5
2018-09-10, 5:15:00 AM,C,19.5
2018-09-10, 6:15:00 AM,C,19
2018-09-10, 7:15:00 AM,C,19
2018-09-10, 8:15:00 AM,C,19
2018-09-10, 9:15:00 AM,C,19
2018-09-10, 10:15:00 AM,C,19
2018-09-10, 11:15:00 AM,C,19
2018-09-10, 12:15:00 PM,C,19
2018-09-10, 1:15:00 PM,C,20
