1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1D00000022205221
Is Mission Active?  true
Mission Start:  Thu Jun 14 21:12:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  6689
Total Samples:  1455917
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-12-25, 5:12:00 AM,C,8
2018-12-25, 6:12:00 AM,C,8
2018-12-25, 7:12:00 AM,C,8
2018-12-25, 8:12:00 AM,C,8
2018-12-25, 9:12:00 AM,C,8
2018-12-25, 10:12:00 AM,C,8
2018-12-25, 11:12:00 AM,C,8
2018-12-25, 12:12:00 PM,C,8
2018-12-25, 1:12:00 PM,C,8
2018-12-25, 2:12:00 PM,C,8
2018-12-25, 3:12:00 PM,C,8
2018-12-25, 4:12:00 PM,C,8
2018-12-25, 5:12:00 PM,C,8
2018-12-25, 6:12:00 PM,C,8
2018-12-25, 7:12:00 PM,C,7
2018-12-25, 8:12:00 PM,C,5
2018-12-25, 9:12:00 PM,C,4
2018-12-25, 10:12:00 PM,C,3.5
2018-12-25, 11:12:00 PM,C,5.5
2018-12-26, 12:12:00 AM,C,8
2018-12-26, 1:12:00 AM,C,8
2018-12-26, 2:12:00 AM,C,8
2018-12-26, 3:12:00 AM,C,8
2018-12-26, 4:12:00 AM,C,8
2018-12-26, 5:12:00 AM,C,8
2018-12-26, 6:12:00 AM,C,8
2018-12-26, 7:12:00 AM,C,8
2018-12-26, 8:12:00 AM,C,8
2018-12-26, 9:12:00 AM,C,8
2018-12-26, 10:12:00 AM,C,8
2018-12-26, 11:12:00 AM,C,8
2018-12-26, 12:12:00 PM,C,8
2018-12-26, 1:12:00 PM,C,8
2018-12-26, 2:12:00 PM,C,8
2018-12-26, 3:12:00 PM,C,8
2018-12-26, 4:12:00 PM,C,8
2018-12-26, 5:12:00 PM,C,8
2018-12-26, 6:12:00 PM,C,8
2018-12-26, 7:12:00 PM,C,8
2018-12-26, 8:12:00 PM,C,6
2018-12-26, 9:12:00 PM,C,5
2018-12-26, 10:12:00 PM,C,3.5
2018-12-26, 11:12:00 PM,C,2.5
2018-12-27, 12:12:00 AM,C,5
2018-12-27, 1:12:00 AM,C,8
2018-12-27, 2:12:00 AM,C,8
2018-12-27, 3:12:00 AM,C,8
2018-12-27, 4:12:00 AM,C,8
2018-12-27, 5:12:00 AM,C,8
2018-12-27, 6:12:00 AM,C,8
2018-12-27, 7:12:00 AM,C,8
2018-12-27, 8:12:00 AM,C,8
2018-12-27, 9:12:00 AM,C,8
2018-12-27, 10:12:00 AM,C,8
2018-12-27, 11:12:00 AM,C,8
2018-12-27, 12:12:00 PM,C,8
2018-12-27, 1:12:00 PM,C,8
2018-12-27, 2:12:00 PM,C,8
2018-12-27, 3:12:00 PM,C,8
2018-12-27, 4:12:00 PM,C,8
