1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6C0000002B954D21
Is Mission Active?  true
Mission Start:  Fri Sep 07 19:04:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  4672
Total Samples:  40718
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-09-07, 7:04:00 PM,C,20
2018-09-07, 8:04:00 PM,C,20.5
2018-09-07, 9:04:00 PM,C,20
2018-09-07, 10:04:00 PM,C,20
2018-09-07, 11:04:00 PM,C,20
2018-09-08, 12:04:00 AM,C,20
2018-09-08, 1:04:00 AM,C,19.5
2018-09-08, 2:04:00 AM,C,19.5
2018-09-08, 3:04:00 AM,C,19.5
2018-09-08, 4:04:00 AM,C,19.5
2018-09-08, 5:04:00 AM,C,19.5
2018-09-08, 6:04:00 AM,C,19
2018-09-08, 7:04:00 AM,C,19
2018-09-08, 8:04:00 AM,C,19
2018-09-08, 9:04:00 AM,C,19
2018-09-08, 10:04:00 AM,C,19
2018-09-08, 11:04:00 AM,C,19.5
2018-09-08, 12:04:00 PM,C,20
2018-09-08, 1:04:00 PM,C,20
2018-09-08, 2:04:00 PM,C,20.5
2018-09-08, 3:04:00 PM,C,21
2018-09-08, 4:04:00 PM,C,21
2018-09-08, 5:04:00 PM,C,22
2018-09-08, 6:04:00 PM,C,21.5
2018-09-08, 7:04:00 PM,C,17.5
2018-09-08, 8:04:00 PM,C,15
2018-09-08, 9:04:00 PM,C,14.5
2018-09-08, 10:04:00 PM,C,14.5
2018-09-08, 11:04:00 PM,C,14.5
2018-09-09, 12:04:00 AM,C,14.5
2018-09-09, 1:04:00 AM,C,14.5
2018-09-09, 2:04:00 AM,C,14.5
2018-09-09, 3:04:00 AM,C,14.5
2018-09-09, 4:04:00 AM,C,14.5
2018-09-09, 5:04:00 AM,C,14
2018-09-09, 6:04:00 AM,C,13.5
2018-09-09, 7:04:00 AM,C,13.5
2018-09-09, 8:04:00 AM,C,13.5
2018-09-09, 9:04:00 AM,C,13.5
2018-09-09, 10:04:00 AM,C,13
2018-09-09, 11:04:00 AM,C,14
2018-09-09, 12:04:00 PM,C,14
2018-09-09, 1:04:00 PM,C,14
2018-09-09, 2:04:00 PM,C,14
2018-09-09, 3:04:00 PM,C,14
2018-09-09, 4:04:00 PM,C,14.5
2018-09-09, 5:04:00 PM,C,15.5
2018-09-09, 6:04:00 PM,C,14.5
2018-09-09, 7:04:00 PM,C,14
2018-09-09, 8:04:00 PM,C,13.5
2018-09-09, 9:04:00 PM,C,13.5
2018-09-09, 10:04:00 PM,C,14
2018-09-09, 11:04:00 PM,C,14
2018-09-10, 12:04:00 AM,C,14
2018-09-10, 1:04:00 AM,C,14
2018-09-10, 2:04:00 AM,C,13.5
2018-09-10, 3:04:00 AM,C,13.5
2018-09-10, 4:04:00 AM,C,14
2018-09-10, 5:04:00 AM,C,14
2018-09-10, 6:04:00 AM,C,13.5
2018-09-10, 7:04:00 AM,C,13.5
2018-09-10, 8:04:00 AM,C,13.5
2018-09-10, 9:04:00 AM,C,13.5
2018-09-10, 10:04:00 AM,C,13.5
2018-09-10, 11:04:00 AM,C,14
2018-09-10, 12:04:00 PM,C,13.5
2018-09-10, 1:04:00 PM,C,14
2018-09-10, 2:04:00 PM,C,14
2018-09-10, 3:04:00 PM,C,14
2018-09-10, 4:04:00 PM,C,14
2018-09-10, 5:04:00 PM,C,14
2018-09-10, 6:04:00 PM,C,15.5
2018-09-10, 7:04:00 PM,C,14.5
2018-09-10, 8:04:00 PM,C,13.5
2018-09-10, 9:04:00 PM,C,13.5
2018-09-10, 10:04:00 PM,C,13
2018-09-10, 11:04:00 PM,C,14
2018-09-11, 12:04:00 AM,C,13.5
2018-09-11, 1:04:00 AM,C,13.5
2018-09-11, 2:04:00 AM,C,13.5
2018-09-11, 3:04:00 AM,C,13.5
2018-09-11, 4:04:00 AM,C,13.5
2018-09-11, 5:04:00 AM,C,13.5
2018-09-11, 6:04:00 AM,C,13.5
2018-09-11, 7:04:00 AM,C,12.5
2018-09-11, 8:04:00 AM,C,12
2018-09-11, 9:04:00 AM,C,12.5
2018-09-11, 10:04:00 AM,C,12.5
2018-09-11, 11:04:00 AM,C,13
2018-09-11, 12:04:00 PM,C,14
2018-09-11, 1:04:00 PM,C,13.5
2018-09-11, 2:04:00 PM,C,13.5
2018-09-11, 3:04:00 PM,C,13.5
2018-09-11, 4:04:00 PM,C,13.5
2018-09-11, 5:04:00 PM,C,13.5
2018-09-11, 6:04:00 PM,C,14
2018-09-11, 7:04:00 PM,C,14
2018-09-11, 8:04:00 PM,C,13
2018-09-11, 9:04:00 PM,C,12.5
2018-09-11, 10:04:00 PM,C,12
2018-09-11, 11:04:00 PM,C,11.5
2018-09-12, 12:04:00 AM,C,13
2018-09-12, 1:04:00 AM,C,13
2018-09-12, 2:04:00 AM,C,12.5
2018-09-12, 3:04:00 AM,C,12.5
2018-09-12, 4:04:00 AM,C,12.5
2018-09-12, 5:04:00 AM,C,12.5
2018-09-12, 6:04:00 AM,C,13
2018-09-12, 7:04:00 AM,C,12
2018-09-12, 8:04:00 AM,C,12.5
2018-09-12, 9:04:00 AM,C,13
2018-09-12, 10:04:00 AM,C,14
2018-09-12, 11:04:00 AM,C,15
2018-09-12, 12:04:00 PM,C,15.5
2018-09-12, 1:04:00 PM,C,13.5
2018-09-12, 2:04:00 PM,C,13
2018-09-12, 3:04:00 PM,C,12.5
2018-09-12, 4:04:00 PM,C,12.5
2018-09-12, 5:04:00 PM,C,12.5
2018-09-12, 6:04:00 PM,C,12.5
2018-09-12, 7:04:00 PM,C,13
2018-09-12, 8:04:00 PM,C,13
2018-09-12, 9:04:00 PM,C,12.5
2018-09-12, 10:04:00 PM,C,12.5
2018-09-12, 11:04:00 PM,C,12.5
