1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000002B448621
Is Mission Active?  true
Mission Start:  Sat Jun 16 19:26:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  6664
Total Samples:  413166
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-06-16, 7:26:00 PM,C,25.5
2018-06-16, 8:26:00 PM,C,21
2018-06-16, 9:26:00 PM,C,14
2018-06-16, 10:26:00 PM,C,13
2018-06-16, 11:26:00 PM,C,12.5
2018-06-17, 12:26:00 AM,C,13.5
2018-06-17, 1:26:00 AM,C,14
2018-06-17, 2:26:00 AM,C,14
2018-06-17, 3:26:00 AM,C,14
2018-06-17, 4:26:00 AM,C,14
2018-06-17, 5:26:00 AM,C,14
2018-06-17, 6:26:00 AM,C,14
2018-06-17, 7:26:00 AM,C,14
2018-06-17, 8:26:00 AM,C,13
2018-06-17, 9:26:00 AM,C,13
2018-06-17, 10:26:00 AM,C,14
2018-06-17, 11:26:00 AM,C,15.5
2018-06-17, 12:26:00 PM,C,15.5
2018-06-17, 1:26:00 PM,C,16
2018-06-17, 2:26:00 PM,C,17
2018-06-17, 3:26:00 PM,C,15.5
2018-06-17, 4:26:00 PM,C,15
2018-06-17, 5:26:00 PM,C,15
2018-06-17, 6:26:00 PM,C,15
2018-06-17, 7:26:00 PM,C,15
2018-06-17, 8:26:00 PM,C,16
2018-06-17, 9:26:00 PM,C,14.5
2018-06-17, 10:26:00 PM,C,13.5
2018-06-17, 11:26:00 PM,C,13
2018-06-18, 12:26:00 AM,C,12.5
2018-06-18, 1:26:00 AM,C,14
2018-06-18, 2:26:00 AM,C,14
2018-06-18, 3:26:00 AM,C,13
2018-06-18, 4:26:00 AM,C,13
2018-06-18, 5:26:00 AM,C,13
2018-06-18, 6:26:00 AM,C,13
2018-06-18, 7:26:00 AM,C,13.5
2018-06-18, 8:26:00 AM,C,13.5
2018-06-18, 9:26:00 AM,C,13
2018-06-18, 10:26:00 AM,C,14.5
2018-06-18, 11:26:00 AM,C,15.5
2018-06-18, 12:26:00 PM,C,16
2018-06-18, 1:26:00 PM,C,16.5
2018-06-18, 2:26:00 PM,C,17
2018-06-18, 3:26:00 PM,C,17
2018-06-18, 4:26:00 PM,C,15.5
2018-06-18, 5:26:00 PM,C,16
2018-06-18, 6:26:00 PM,C,15.5
2018-06-18, 7:26:00 PM,C,15.5
2018-06-18, 8:26:00 PM,C,15.5
2018-06-18, 9:26:00 PM,C,16
2018-06-18, 10:26:00 PM,C,14.5
2018-06-18, 11:26:00 PM,C,14
2018-06-19, 12:26:00 AM,C,13.5
2018-06-19, 1:26:00 AM,C,13
2018-06-19, 2:26:00 AM,C,13.5
2018-06-19, 3:26:00 AM,C,13.5
2018-06-19, 4:26:00 AM,C,13.5
2018-06-19, 5:26:00 AM,C,14
2018-06-19, 6:26:00 AM,C,14
2018-06-19, 7:26:00 AM,C,14
2018-06-19, 8:26:00 AM,C,14
2018-06-19, 9:26:00 AM,C,14
2018-06-19, 10:26:00 AM,C,15.5
2018-06-19, 11:26:00 AM,C,17
2018-06-19, 12:26:00 PM,C,17.5
2018-06-19, 1:26:00 PM,C,18.5
2018-06-19, 2:26:00 PM,C,19
2018-06-19, 3:26:00 PM,C,19.5
2018-06-19, 4:26:00 PM,C,16
2018-06-19, 5:26:00 PM,C,15
2018-06-19, 6:26:00 PM,C,14.5
2018-06-19, 7:26:00 PM,C,14.5
2018-06-19, 8:26:00 PM,C,14
2018-06-19, 9:26:00 PM,C,14.5
2018-06-19, 10:26:00 PM,C,15
2018-06-19, 11:26:00 PM,C,14.5
2018-06-20, 12:26:00 AM,C,14
2018-06-20, 1:26:00 AM,C,14
