1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8C0000002B88AE21
Is Mission Active?  true
Mission Start:  Sat Jun 16 19:23:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  6664
Total Samples:  43734
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-12-26, 2:23:00 AM,C,7
2018-12-26, 3:23:00 AM,C,7
2018-12-26, 4:23:00 AM,C,7
2018-12-26, 5:23:00 AM,C,7
2018-12-26, 6:23:00 AM,C,7
2018-12-26, 7:23:00 AM,C,6.5
2018-12-26, 8:23:00 AM,C,5.5
2018-12-26, 9:23:00 AM,C,4.5
2018-12-26, 10:23:00 AM,C,4.5
2018-12-26, 11:23:00 AM,C,6.5
2018-12-26, 12:23:00 PM,C,7
2018-12-26, 1:23:00 PM,C,8
2018-12-26, 2:23:00 PM,C,8
2018-12-26, 3:23:00 PM,C,8
2018-12-26, 4:23:00 PM,C,8
2018-12-26, 5:23:00 PM,C,8
2018-12-26, 6:23:00 PM,C,7.5
2018-12-26, 7:23:00 PM,C,7
2018-12-26, 8:23:00 PM,C,6
2018-12-26, 9:23:00 PM,C,4.5
2018-12-26, 10:23:00 PM,C,3.5
2018-12-26, 11:23:00 PM,C,3
2018-12-27, 12:23:00 AM,C,3
2018-12-27, 1:23:00 AM,C,5
2018-12-27, 2:23:00 AM,C,7.5
2018-12-27, 3:23:00 AM,C,8
2018-12-27, 4:23:00 AM,C,8
2018-12-27, 5:23:00 AM,C,8
2018-12-27, 6:23:00 AM,C,8
2018-12-27, 7:23:00 AM,C,8
2018-12-27, 8:23:00 AM,C,7.5
2018-12-27, 9:23:00 AM,C,7
2018-12-27, 10:23:00 AM,C,7
2018-12-27, 11:23:00 AM,C,6.5
2018-12-27, 12:23:00 PM,C,7
2018-12-27, 1:23:00 PM,C,7.5
2018-12-27, 2:23:00 PM,C,7.5
2018-12-27, 3:23:00 PM,C,8
2018-12-27, 4:23:00 PM,C,8
2018-12-27, 5:23:00 PM,C,8
2018-12-27, 6:23:00 PM,C,8
2018-12-27, 7:23:00 PM,C,7.5
2018-12-27, 8:23:00 PM,C,7
2018-12-27, 9:23:00 PM,C,6.5
2018-12-27, 10:23:00 PM,C,6
2018-12-27, 11:23:00 PM,C,6
2018-12-28, 12:23:00 AM,C,6
2018-12-28, 1:23:00 AM,C,6
2018-12-28, 2:23:00 AM,C,7
2018-12-28, 3:23:00 AM,C,7.5
2018-12-28, 4:23:00 AM,C,7.5
2018-12-28, 5:23:00 AM,C,7.5
2018-12-28, 6:23:00 AM,C,7.5
2018-12-28, 7:23:00 AM,C,7.5
2018-12-28, 8:23:00 AM,C,7.5
2018-12-28, 9:23:00 AM,C,7.5
2018-12-28, 10:23:00 AM,C,7
2018-12-28, 11:23:00 AM,C,7.5
2018-12-28, 12:23:00 PM,C,7.5
2018-12-28, 1:23:00 PM,C,7.5
2018-12-28, 2:23:00 PM,C,7.5
2018-12-28, 3:23:00 PM,C,7.5
2018-12-28, 4:23:00 PM,C,7.5
2018-12-28, 5:23:00 PM,C,8
2018-12-28, 6:23:00 PM,C,7.5
2018-12-28, 7:23:00 PM,C,7.5
2018-12-28, 8:23:00 PM,C,7.5
2018-12-28, 9:23:00 PM,C,7.5
2018-12-28, 10:23:00 PM,C,7.5
2018-12-28, 11:23:00 PM,C,7.5
2018-12-29, 12:23:00 AM,C,7.5
2018-12-29, 1:23:00 AM,C,7.5
2018-12-29, 2:23:00 AM,C,7.5
2018-12-29, 3:23:00 AM,C,7.5
2018-12-29, 4:23:00 AM,C,8
2018-12-29, 5:23:00 AM,C,8
2018-12-29, 6:23:00 AM,C,8
2018-12-29, 7:23:00 AM,C,8
2018-12-29, 8:23:00 AM,C,8
2018-12-29, 9:23:00 AM,C,8
2018-12-29, 10:23:00 AM,C,8
2018-12-29, 11:23:00 AM,C,8
2018-12-29, 12:23:00 PM,C,8
2018-12-29, 1:23:00 PM,C,8.5
2018-12-29, 2:23:00 PM,C,8.5
2018-12-29, 3:23:00 PM,C,8.5
2018-12-29, 4:23:00 PM,C,8.5
2018-12-29, 5:23:00 PM,C,8.5
2018-12-29, 6:23:00 PM,C,8.5
2018-12-29, 7:23:00 PM,C,8.5
2018-12-29, 8:23:00 PM,C,8.5
2018-12-29, 9:23:00 PM,C,8.5
2018-12-29, 10:23:00 PM,C,8
2018-12-29, 11:23:00 PM,C,6.5
2018-12-30, 12:23:00 AM,C,5.5
2018-12-30, 1:23:00 AM,C,5.5
2018-12-30, 2:23:00 AM,C,5.5
2018-12-30, 3:23:00 AM,C,5
2018-12-30, 4:23:00 AM,C,8
2018-12-30, 5:23:00 AM,C,8
2018-12-30, 6:23:00 AM,C,8
2018-12-30, 7:23:00 AM,C,8.5
2018-12-30, 8:23:00 AM,C,8.5
2018-12-30, 9:23:00 AM,C,8.5
2018-12-30, 10:23:00 AM,C,8.5
2018-12-30, 11:23:00 AM,C,8
2018-12-30, 12:23:00 PM,C,11.5
2018-12-30, 1:23:00 PM,C,12
2018-12-30, 2:23:00 PM,C,8
2018-12-30, 3:23:00 PM,C,7
2018-12-30, 4:23:00 PM,C,5.5
2018-12-30, 5:23:00 PM,C,7.5
2018-12-30, 6:23:00 PM,C,8
2018-12-30, 7:23:00 PM,C,8
2018-12-30, 8:23:00 PM,C,8
2018-12-30, 9:23:00 PM,C,8
2018-12-30, 10:23:00 PM,C,7.5
2018-12-30, 11:23:00 PM,C,7
2018-12-31, 12:23:00 AM,C,5
2018-12-31, 1:23:00 AM,C,4.5
2018-12-31, 2:23:00 AM,C,4
2018-12-31, 3:23:00 AM,C,3.5
2018-12-31, 4:23:00 AM,C,3.5
2018-12-31, 5:23:00 AM,C,7
2018-12-31, 6:23:00 AM,C,7
2018-12-31, 7:23:00 AM,C,7
2018-12-31, 8:23:00 AM,C,7.5
2018-12-31, 9:23:00 AM,C,7.5
2018-12-31, 10:23:00 AM,C,7.5
2018-12-31, 11:23:00 AM,C,7.5
2018-12-31, 12:23:00 PM,C,7
2018-12-31, 1:23:00 PM,C,6.5
2018-12-31, 2:23:00 PM,C,6
2018-12-31, 3:23:00 PM,C,5.5
2018-12-31, 4:23:00 PM,C,5.5
2018-12-31, 5:23:00 PM,C,5
2018-12-31, 6:23:00 PM,C,6
