1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BA0000002B917221
Is Mission Active?  true
Mission Start:  Fri Sep 07 19:11:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  4672
Total Samples:  40829
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-09-07, 7:11:00 PM,C,20.5
2018-09-07, 8:11:00 PM,C,20
2018-09-07, 9:11:00 PM,C,19.5
2018-09-07, 10:11:00 PM,C,19.5
2018-09-07, 11:11:00 PM,C,19.5
2018-09-08, 12:11:00 AM,C,19.5
2018-09-08, 1:11:00 AM,C,19.5
2018-09-08, 2:11:00 AM,C,19
2018-09-08, 3:11:00 AM,C,19
2018-09-08, 4:11:00 AM,C,19
2018-09-08, 5:11:00 AM,C,19
2018-09-08, 6:11:00 AM,C,19
2018-09-08, 7:11:00 AM,C,18.5
2018-09-08, 8:11:00 AM,C,18.5
2018-09-08, 9:11:00 AM,C,18.5
2018-09-08, 10:11:00 AM,C,18.5
2018-09-08, 11:11:00 AM,C,19
2018-09-08, 12:11:00 PM,C,19.5
2018-09-08, 1:11:00 PM,C,20
2018-09-08, 2:11:00 PM,C,20
2018-09-08, 3:11:00 PM,C,20.5
2018-09-08, 4:11:00 PM,C,20.5
2018-09-08, 5:11:00 PM,C,21
2018-09-08, 6:11:00 PM,C,21
2018-09-08, 7:11:00 PM,C,16
2018-09-08, 8:11:00 PM,C,14
2018-09-08, 9:11:00 PM,C,14.5
2018-09-08, 10:11:00 PM,C,14
2018-09-08, 11:11:00 PM,C,14
2018-09-09, 12:11:00 AM,C,14
2018-09-09, 1:11:00 AM,C,14
2018-09-09, 2:11:00 AM,C,14
2018-09-09, 3:11:00 AM,C,14
2018-09-09, 4:11:00 AM,C,14
2018-09-09, 5:11:00 AM,C,13
2018-09-09, 6:11:00 AM,C,13
2018-09-09, 7:11:00 AM,C,12.5
2018-09-09, 8:11:00 AM,C,12.5
2018-09-09, 9:11:00 AM,C,12
2018-09-09, 10:11:00 AM,C,12.5
2018-09-09, 11:11:00 AM,C,13.5
2018-09-09, 12:11:00 PM,C,14
2018-09-09, 1:11:00 PM,C,14
2018-09-09, 2:11:00 PM,C,13.5
2018-09-09, 3:11:00 PM,C,14
2018-09-09, 4:11:00 PM,C,14
2018-09-09, 5:11:00 PM,C,16
2018-09-09, 6:11:00 PM,C,14
2018-09-09, 7:11:00 PM,C,13
2018-09-09, 8:11:00 PM,C,12.5
2018-09-09, 9:11:00 PM,C,12.5
2018-09-09, 10:11:00 PM,C,14
2018-09-09, 11:11:00 PM,C,14
2018-09-10, 12:11:00 AM,C,13.5
2018-09-10, 1:11:00 AM,C,13.5
2018-09-10, 2:11:00 AM,C,13
2018-09-10, 3:11:00 AM,C,13
2018-09-10, 4:11:00 AM,C,13.5
2018-09-10, 5:11:00 AM,C,13.5
2018-09-10, 6:11:00 AM,C,13
2018-09-10, 7:11:00 AM,C,12.5
2018-09-10, 8:11:00 AM,C,13
2018-09-10, 9:11:00 AM,C,13
2018-09-10, 10:11:00 AM,C,13
2018-09-10, 11:11:00 AM,C,13.5
2018-09-10, 12:11:00 PM,C,13.5
2018-09-10, 1:11:00 PM,C,13.5
2018-09-10, 2:11:00 PM,C,13.5
2018-09-10, 3:11:00 PM,C,13.5
2018-09-10, 4:11:00 PM,C,13.5
2018-09-10, 5:11:00 PM,C,13.5
2018-09-10, 6:11:00 PM,C,15.5
2018-09-10, 7:11:00 PM,C,14
2018-09-10, 8:11:00 PM,C,13
2018-09-10, 9:11:00 PM,C,13
2018-09-10, 10:11:00 PM,C,12.5
2018-09-10, 11:11:00 PM,C,13.5
2018-09-11, 12:11:00 AM,C,13
2018-09-11, 1:11:00 AM,C,13
2018-09-11, 2:11:00 AM,C,13
2018-09-11, 3:11:00 AM,C,13
2018-09-11, 4:11:00 AM,C,13
2018-09-11, 5:11:00 AM,C,13
2018-09-11, 6:11:00 AM,C,12
2018-09-11, 7:11:00 AM,C,11
2018-09-11, 8:11:00 AM,C,11
2018-09-11, 9:11:00 AM,C,11
2018-09-11, 10:11:00 AM,C,11.5
2018-09-11, 11:11:00 AM,C,14
2018-09-11, 12:11:00 PM,C,13.5
2018-09-11, 1:11:00 PM,C,13
2018-09-11, 2:11:00 PM,C,13
2018-09-11, 3:11:00 PM,C,13
2018-09-11, 4:11:00 PM,C,13
2018-09-11, 5:11:00 PM,C,13
2018-09-11, 6:11:00 PM,C,13.5
2018-09-11, 7:11:00 PM,C,13.5
2018-09-11, 8:11:00 PM,C,11.5
2018-09-11, 9:11:00 PM,C,11
2018-09-11, 10:11:00 PM,C,10
2018-09-11, 11:11:00 PM,C,9.5
2018-09-12, 12:11:00 AM,C,12.5
2018-09-12, 1:11:00 AM,C,12.5
2018-09-12, 2:11:00 AM,C,12
2018-09-12, 3:11:00 AM,C,12
2018-09-12, 4:11:00 AM,C,12
2018-09-12, 5:11:00 AM,C,12
2018-09-12, 6:11:00 AM,C,12.5
2018-09-12, 7:11:00 AM,C,11.5
2018-09-12, 8:11:00 AM,C,11.5
2018-09-12, 9:11:00 AM,C,13
2018-09-12, 10:11:00 AM,C,15
2018-09-12, 11:11:00 AM,C,16.5
2018-09-12, 12:11:00 PM,C,15.5
2018-09-12, 1:11:00 PM,C,13
2018-09-12, 2:11:00 PM,C,12.5
2018-09-12, 3:11:00 PM,C,12.5
2018-09-12, 4:11:00 PM,C,12.5
2018-09-12, 5:11:00 PM,C,12
2018-09-12, 6:11:00 PM,C,12.5
2018-09-12, 7:11:00 PM,C,13
2018-09-12, 8:11:00 PM,C,12
2018-09-12, 9:11:00 PM,C,12
2018-09-12, 10:11:00 PM,C,12
2018-09-12, 11:11:00 PM,C,11.5
2018-09-13, 12:11:00 AM,C,11.5
2018-09-13, 1:11:00 AM,C,12.5
2018-09-13, 2:11:00 AM,C,12.5
2018-09-13, 3:11:00 AM,C,12.5
2018-09-13, 4:11:00 AM,C,12.5
2018-09-13, 5:11:00 AM,C,12.5
2018-09-13, 6:11:00 AM,C,12.5
2018-09-13, 7:11:00 AM,C,12.5
2018-09-13, 8:11:00 AM,C,11
2018-09-13, 9:11:00 AM,C,12
2018-09-13, 10:11:00 AM,C,13.5
2018-09-13, 11:11:00 AM,C,12.5
2018-09-13, 12:11:00 PM,C,21
