1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6C000000297D0421
Is Mission Active?  true
Mission Start:  Sat Jun 16 19:21:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  6664
Total Samples:  69541
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-12-26, 2:21:00 AM,C,6.5
2018-12-26, 3:21:00 AM,C,6.5
2018-12-26, 4:21:00 AM,C,6.5
2018-12-26, 5:21:00 AM,C,6.5
2018-12-26, 6:21:00 AM,C,6
2018-12-26, 7:21:00 AM,C,6
2018-12-26, 8:21:00 AM,C,5
2018-12-26, 9:21:00 AM,C,4
2018-12-26, 10:21:00 AM,C,4.5
2018-12-26, 11:21:00 AM,C,6.5
2018-12-26, 12:21:00 PM,C,6.5
2018-12-26, 1:21:00 PM,C,7.5
2018-12-26, 2:21:00 PM,C,7.5
2018-12-26, 3:21:00 PM,C,7.5
2018-12-26, 4:21:00 PM,C,7.5
2018-12-26, 5:21:00 PM,C,7.5
2018-12-26, 6:21:00 PM,C,7
2018-12-26, 7:21:00 PM,C,6
2018-12-26, 8:21:00 PM,C,5.5
2018-12-26, 9:21:00 PM,C,4
2018-12-26, 10:21:00 PM,C,3
2018-12-26, 11:21:00 PM,C,2
2018-12-27, 12:21:00 AM,C,2.5
2018-12-27, 1:21:00 AM,C,5.5
2018-12-27, 2:21:00 AM,C,7
2018-12-27, 3:21:00 AM,C,7.5
2018-12-27, 4:21:00 AM,C,7.5
2018-12-27, 5:21:00 AM,C,7.5
2018-12-27, 6:21:00 AM,C,7.5
2018-12-27, 7:21:00 AM,C,7
2018-12-27, 8:21:00 AM,C,7
2018-12-27, 9:21:00 AM,C,6.5
2018-12-27, 10:21:00 AM,C,6
2018-12-27, 11:21:00 AM,C,6
2018-12-27, 12:21:00 PM,C,7
2018-12-27, 1:21:00 PM,C,7
2018-12-27, 2:21:00 PM,C,7
2018-12-27, 3:21:00 PM,C,7.5
2018-12-27, 4:21:00 PM,C,7.5
2018-12-27, 5:21:00 PM,C,7
2018-12-27, 6:21:00 PM,C,7
2018-12-27, 7:21:00 PM,C,7
2018-12-27, 8:21:00 PM,C,6
2018-12-27, 9:21:00 PM,C,5.5
2018-12-27, 10:21:00 PM,C,5.5
2018-12-27, 11:21:00 PM,C,5.5
2018-12-28, 12:21:00 AM,C,5.5
2018-12-28, 1:21:00 AM,C,5.5
2018-12-28, 2:21:00 AM,C,6.5
2018-12-28, 3:21:00 AM,C,6.5
2018-12-28, 4:21:00 AM,C,7
2018-12-28, 5:21:00 AM,C,7
2018-12-28, 6:21:00 AM,C,7
2018-12-28, 7:21:00 AM,C,7
2018-12-28, 8:21:00 AM,C,6.5
2018-12-28, 9:21:00 AM,C,6.5
2018-12-28, 10:21:00 AM,C,6.5
2018-12-28, 11:21:00 AM,C,6.5
2018-12-28, 12:21:00 PM,C,7
2018-12-28, 1:21:00 PM,C,7
2018-12-28, 2:21:00 PM,C,7
2018-12-28, 3:21:00 PM,C,7
2018-12-28, 4:21:00 PM,C,7
2018-12-28, 5:21:00 PM,C,7
2018-12-28, 6:21:00 PM,C,7
2018-12-28, 7:21:00 PM,C,7
2018-12-28, 8:21:00 PM,C,7
2018-12-28, 9:21:00 PM,C,7
2018-12-28, 10:21:00 PM,C,6.5
2018-12-28, 11:21:00 PM,C,6.5
2018-12-29, 12:21:00 AM,C,7
2018-12-29, 1:21:00 AM,C,7
2018-12-29, 2:21:00 AM,C,7
2018-12-29, 3:21:00 AM,C,7
2018-12-29, 4:21:00 AM,C,7.5
2018-12-29, 5:21:00 AM,C,7.5
2018-12-29, 6:21:00 AM,C,7.5
2018-12-29, 7:21:00 AM,C,7.5
2018-12-29, 8:21:00 AM,C,7.5
2018-12-29, 9:21:00 AM,C,7.5
2018-12-29, 10:21:00 AM,C,7.5
2018-12-29, 11:21:00 AM,C,7.5
2018-12-29, 12:21:00 PM,C,7.5
2018-12-29, 1:21:00 PM,C,7.5
2018-12-29, 2:21:00 PM,C,8
2018-12-29, 3:21:00 PM,C,8
2018-12-29, 4:21:00 PM,C,8
2018-12-29, 5:21:00 PM,C,8
2018-12-29, 6:21:00 PM,C,8
2018-12-29, 7:21:00 PM,C,8
2018-12-29, 8:21:00 PM,C,8
2018-12-29, 9:21:00 PM,C,8
2018-12-29, 10:21:00 PM,C,8
2018-12-29, 11:21:00 PM,C,6
2018-12-30, 12:21:00 AM,C,4.5
2018-12-30, 1:21:00 AM,C,5
2018-12-30, 2:21:00 AM,C,5
2018-12-30, 3:21:00 AM,C,7
2018-12-30, 4:21:00 AM,C,7.5
2018-12-30, 5:21:00 AM,C,7.5
2018-12-30, 6:21:00 AM,C,7.5
2018-12-30, 7:21:00 AM,C,7.5
2018-12-30, 8:21:00 AM,C,8
2018-12-30, 9:21:00 AM,C,7.5
2018-12-30, 10:21:00 AM,C,7.5
2018-12-30, 11:21:00 AM,C,7
2018-12-30, 12:21:00 PM,C,8
2018-12-30, 1:21:00 PM,C,8.5
2018-12-30, 2:21:00 PM,C,6.5
2018-12-30, 3:21:00 PM,C,5.5
2018-12-30, 4:21:00 PM,C,6.5
2018-12-30, 5:21:00 PM,C,7
2018-12-30, 6:21:00 PM,C,7.5
2018-12-30, 7:21:00 PM,C,7.5
2018-12-30, 8:21:00 PM,C,7
2018-12-30, 9:21:00 PM,C,7.5
2018-12-30, 10:21:00 PM,C,7
2018-12-30, 11:21:00 PM,C,7
2018-12-31, 12:21:00 AM,C,5
2018-12-31, 1:21:00 AM,C,4
2018-12-31, 2:21:00 AM,C,3.5
2018-12-31, 3:21:00 AM,C,3.5
2018-12-31, 4:21:00 AM,C,6
2018-12-31, 5:21:00 AM,C,6.5
2018-12-31, 6:21:00 AM,C,6.5
2018-12-31, 7:21:00 AM,C,6.5
2018-12-31, 8:21:00 AM,C,6.5
2018-12-31, 9:21:00 AM,C,6.5
2018-12-31, 10:21:00 AM,C,6.5
2018-12-31, 11:21:00 AM,C,6.5
2018-12-31, 12:21:00 PM,C,6.5
2018-12-31, 1:21:00 PM,C,6
2018-12-31, 2:21:00 PM,C,5.5
2018-12-31, 3:21:00 PM,C,5
2018-12-31, 4:21:00 PM,C,5
2018-12-31, 5:21:00 PM,C,5
2018-12-31, 6:21:00 PM,C,6
2018-12-31, 7:21:00 PM,C,6.5
2018-12-31, 8:21:00 PM,C,6.5
2018-12-31, 9:21:00 PM,C,6.5
2018-12-31, 10:21:00 PM,C,6
2018-12-31, 11:21:00 PM,C,6
2019-01-01, 12:21:00 AM,C,6
2019-01-01, 1:21:00 AM,C,5.5
2019-01-01, 2:21:00 AM,C,5
2019-01-01, 3:21:00 AM,C,5
2019-01-01, 4:21:00 AM,C,5.5
2019-01-01, 5:21:00 AM,C,6
2019-01-01, 6:21:00 AM,C,6
2019-01-01, 7:21:00 AM,C,6.5
2019-01-01, 8:21:00 AM,C,6.5
2019-01-01, 9:21:00 AM,C,6.5
2019-01-01, 10:21:00 AM,C,6.5
2019-01-01, 11:21:00 AM,C,6.5
2019-01-01, 12:21:00 PM,C,6
2019-01-01, 1:21:00 PM,C,6
2019-01-01, 2:21:00 PM,C,6.5
2019-01-01, 3:21:00 PM,C,6.5
2019-01-01, 4:21:00 PM,C,6
2019-01-01, 5:21:00 PM,C,6
2019-01-01, 6:21:00 PM,C,6.5
2019-01-01, 7:21:00 PM,C,6.5
2019-01-01, 8:21:00 PM,C,6.5
2019-01-01, 9:21:00 PM,C,6.5
2019-01-01, 10:21:00 PM,C,6.5
2019-01-01, 11:21:00 PM,C,6.5
2019-01-02, 12:21:00 AM,C,6.5
2019-01-02, 1:21:00 AM,C,6.5
2019-01-02, 2:21:00 AM,C,6.5
2019-01-02, 3:21:00 AM,C,6.5
2019-01-02, 4:21:00 AM,C,6
2019-01-02, 5:21:00 AM,C,6.5
2019-01-02, 6:21:00 AM,C,6.5
2019-01-02, 7:21:00 AM,C,6.5
2019-01-02, 8:21:00 AM,C,6.5
2019-01-02, 9:21:00 AM,C,6.5
2019-01-02, 10:21:00 AM,C,6.5
2019-01-02, 11:21:00 AM,C,6.5
2019-01-02, 12:21:00 PM,C,6.5
2019-01-02, 1:21:00 PM,C,6.5
2019-01-02, 2:21:00 PM,C,6.5
2019-01-02, 3:21:00 PM,C,6.5
2019-01-02, 4:21:00 PM,C,6.5
2019-01-02, 5:21:00 PM,C,6
2019-01-02, 6:21:00 PM,C,6
2019-01-02, 7:21:00 PM,C,6
2019-01-02, 8:21:00 PM,C,7
2019-01-02, 9:21:00 PM,C,7
2019-01-02, 10:21:00 PM,C,7
2019-01-02, 11:21:00 PM,C,7
2019-01-03, 12:21:00 AM,C,7
2019-01-03, 1:21:00 AM,C,7
2019-01-03, 2:21:00 AM,C,7
2019-01-03, 3:21:00 AM,C,7
2019-01-03, 4:21:00 AM,C,7
2019-01-03, 5:21:00 AM,C,7
2019-01-03, 6:21:00 AM,C,7
2019-01-03, 7:21:00 AM,C,7
2019-01-03, 8:21:00 AM,C,7
2019-01-03, 9:21:00 AM,C,7
2019-01-03, 10:21:00 AM,C,7
2019-01-03, 11:21:00 AM,C,7
2019-01-03, 12:21:00 PM,C,7
2019-01-03, 1:21:00 PM,C,7
2019-01-03, 2:21:00 PM,C,7
2019-01-03, 3:21:00 PM,C,7
2019-01-03, 4:21:00 PM,C,7
2019-01-03, 5:21:00 PM,C,7
2019-01-03, 6:21:00 PM,C,7
2019-01-03, 7:21:00 PM,C,6.5
2019-01-03, 8:21:00 PM,C,6.5
2019-01-03, 9:21:00 PM,C,7
2019-01-03, 10:21:00 PM,C,7
2019-01-03, 11:21:00 PM,C,7
2019-01-04, 12:21:00 AM,C,7
2019-01-04, 1:21:00 AM,C,7
2019-01-04, 2:21:00 AM,C,7
2019-01-04, 3:21:00 AM,C,7
2019-01-04, 4:21:00 AM,C,7
2019-01-04, 5:21:00 AM,C,7
2019-01-04, 6:21:00 AM,C,7
2019-01-04, 7:21:00 AM,C,7
2019-01-04, 8:21:00 AM,C,7
2019-01-04, 9:21:00 AM,C,7
2019-01-04, 10:21:00 AM,C,7
2019-01-04, 11:21:00 AM,C,7
2019-01-04, 12:21:00 PM,C,7.5
2019-01-04, 1:21:00 PM,C,7.5
2019-01-04, 2:21:00 PM,C,7
2019-01-04, 3:21:00 PM,C,7
2019-01-04, 4:21:00 PM,C,7
2019-01-04, 5:21:00 PM,C,7
2019-01-04, 6:21:00 PM,C,7
2019-01-04, 7:21:00 PM,C,6.5
2019-01-04, 8:21:00 PM,C,6.5
2019-01-04, 9:21:00 PM,C,7
2019-01-04, 10:21:00 PM,C,7
2019-01-04, 11:21:00 PM,C,7.5
2019-01-05, 12:21:00 AM,C,7.5
2019-01-05, 1:21:00 AM,C,7.5
2019-01-05, 2:21:00 AM,C,7.5
2019-01-05, 3:21:00 AM,C,7.5
2019-01-05, 4:21:00 AM,C,7
2019-01-05, 5:21:00 AM,C,7
2019-01-05, 6:21:00 AM,C,7
2019-01-05, 7:21:00 AM,C,7
2019-01-05, 8:21:00 AM,C,7.5
2019-01-05, 9:21:00 AM,C,7.5
2019-01-05, 10:21:00 AM,C,7.5
2019-01-05, 11:21:00 AM,C,7.5
2019-01-05, 12:21:00 PM,C,7.5
2019-01-05, 1:21:00 PM,C,7.5
2019-01-05, 2:21:00 PM,C,7.5
2019-01-05, 3:21:00 PM,C,7.5
2019-01-05, 4:21:00 PM,C,7.5
2019-01-05, 5:21:00 PM,C,6
2019-01-05, 6:21:00 PM,C,5.5
2019-01-05, 7:21:00 PM,C,5
2019-01-05, 8:21:00 PM,C,5
2019-01-05, 9:21:00 PM,C,4.5
2019-01-05, 10:21:00 PM,C,7
