1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EA0000002BC03E21
Is Mission Active?  true
Mission Start:  Mon Jun 17 07:45:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1593
Total Samples:  58571
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Aug 25 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
17/06/19 7:45:00 AM,C,18.5
17/06/19 8:45:00 AM,C,17.5
17/06/19 9:45:00 AM,C,18
17/06/19 10:45:00 AM,C,25
17/06/19 11:45:00 AM,C,30
17/06/19 12:45:00 PM,C,33
17/06/19 1:45:00 PM,C,28
17/06/19 2:45:00 PM,C,21
17/06/19 3:45:00 PM,C,19
17/06/19 4:45:00 PM,C,18
17/06/19 5:45:00 PM,C,16.5
17/06/19 6:45:00 PM,C,16
17/06/19 7:45:00 PM,C,15
17/06/19 8:45:00 PM,C,14.5
17/06/19 9:45:00 PM,C,14.5
17/06/19 10:45:00 PM,C,15
17/06/19 11:45:00 PM,C,15.5
18/06/19 12:45:00 AM,C,16
18/06/19 1:45:00 AM,C,16
18/06/19 2:45:00 AM,C,16
18/06/19 3:45:00 AM,C,16
18/06/19 4:45:00 AM,C,14.5
18/06/19 5:45:00 AM,C,16
18/06/19 6:45:00 AM,C,16
18/06/19 7:45:00 AM,C,16
18/06/19 8:45:00 AM,C,16
18/06/19 9:45:00 AM,C,16.5
18/06/19 10:45:00 AM,C,18.5
18/06/19 11:45:00 AM,C,22.5
18/06/19 12:45:00 PM,C,26
18/06/19 1:45:00 PM,C,30.5
18/06/19 2:45:00 PM,C,23
18/06/19 3:45:00 PM,C,19.5
18/06/19 4:45:00 PM,C,17.5
18/06/19 5:45:00 PM,C,17
18/06/19 6:45:00 PM,C,16.5
18/06/19 7:45:00 PM,C,16
18/06/19 8:45:00 PM,C,16
18/06/19 9:45:00 PM,C,15.5
18/06/19 10:45:00 PM,C,13.5
18/06/19 11:45:00 PM,C,14.5
19/06/19 12:45:00 AM,C,15
19/06/19 1:45:00 AM,C,15
19/06/19 2:45:00 AM,C,14.5
19/06/19 3:45:00 AM,C,14.5
19/06/19 4:45:00 AM,C,14.5
19/06/19 5:45:00 AM,C,14.5
19/06/19 6:45:00 AM,C,15
19/06/19 7:45:00 AM,C,15
19/06/19 8:45:00 AM,C,15
19/06/19 9:45:00 AM,C,15
19/06/19 10:45:00 AM,C,15.5
19/06/19 11:45:00 AM,C,21
19/06/19 12:45:00 PM,C,20
19/06/19 1:45:00 PM,C,22
19/06/19 2:45:00 PM,C,27.5
19/06/19 3:45:00 PM,C,18.5
19/06/19 4:45:00 PM,C,16
19/06/19 5:45:00 PM,C,15
19/06/19 6:45:00 PM,C,15
19/06/19 7:45:00 PM,C,15
19/06/19 8:45:00 PM,C,15
19/06/19 9:45:00 PM,C,14.5
19/06/19 10:45:00 PM,C,13.5
19/06/19 11:45:00 PM,C,14
20/06/19 12:45:00 AM,C,14
20/06/19 1:45:00 AM,C,14
20/06/19 2:45:00 AM,C,14
20/06/19 3:45:00 AM,C,14
20/06/19 4:45:00 AM,C,14
20/06/19 5:45:00 AM,C,14
20/06/19 6:45:00 AM,C,14
20/06/19 7:45:00 AM,C,14
20/06/19 8:45:00 AM,C,14
20/06/19 9:45:00 AM,C,14.5
20/06/19 10:45:00 AM,C,15
20/06/19 11:45:00 AM,C,16
20/06/19 12:45:00 PM,C,21.5
20/06/19 1:45:00 PM,C,25
20/06/19 2:45:00 PM,C,27.5
20/06/19 3:45:00 PM,C,20
20/06/19 4:45:00 PM,C,17
20/06/19 5:45:00 PM,C,16
20/06/19 6:45:00 PM,C,15
20/06/19 7:45:00 PM,C,14.5
20/06/19 8:45:00 PM,C,14.5
20/06/19 9:45:00 PM,C,14.5
20/06/19 10:45:00 PM,C,14.5
20/06/19 11:45:00 PM,C,14.5
21/06/19 12:45:00 AM,C,14.5
21/06/19 1:45:00 AM,C,14.5
21/06/19 2:45:00 AM,C,14.5
21/06/19 3:45:00 AM,C,14.5
21/06/19 4:45:00 AM,C,14.5
21/06/19 5:45:00 AM,C,14.5
21/06/19 6:45:00 AM,C,15
21/06/19 7:45:00 AM,C,15
21/06/19 8:45:00 AM,C,15
21/06/19 9:45:00 AM,C,15.5
21/06/19 10:45:00 AM,C,15.5
21/06/19 11:45:00 AM,C,16.5
21/06/19 12:45:00 PM,C,18
21/06/19 1:45:00 PM,C,26
21/06/19 2:45:00 PM,C,30
21/06/19 3:45:00 PM,C,23
21/06/19 4:45:00 PM,C,20
