1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1C00000043576821
Is Mission Active?  true
Mission Start:  Sat Jan 01 00:01:00 PST 2000
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1850
Total Samples:  1850
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2000-01-01, 12:01:00 AM,C,20
2000-01-01, 1:01:00 AM,C,18
2000-01-01, 2:01:00 AM,C,17.5
2000-01-01, 3:01:00 AM,C,18.5
2000-01-01, 4:01:00 AM,C,18.5
2000-01-01, 5:01:00 AM,C,12
2000-01-01, 6:01:00 AM,C,8
2000-01-01, 7:01:00 AM,C,5.5
2000-01-01, 8:01:00 AM,C,7.5
2000-01-01, 9:01:00 AM,C,7.5
2000-01-01, 10:01:00 AM,C,7.5
2000-01-01, 11:01:00 AM,C,7.5
2000-01-01, 12:01:00 PM,C,7.5
2000-01-01, 1:01:00 PM,C,7.5
2000-01-01, 2:01:00 PM,C,7.5
2000-01-01, 3:01:00 PM,C,7.5
2000-01-01, 4:01:00 PM,C,7.5
2000-01-01, 5:01:00 PM,C,5
2000-01-01, 6:01:00 PM,C,4.5
2000-01-01, 7:01:00 PM,C,5
2000-01-01, 8:01:00 PM,C,7.5
2000-01-01, 9:01:00 PM,C,7.5
2000-01-01, 10:01:00 PM,C,7
2000-01-01, 11:01:00 PM,C,7
2000-01-02, 12:01:00 AM,C,7.5
2000-01-02, 1:01:00 AM,C,7.5
2000-01-02, 2:01:00 AM,C,7.5
2000-01-02, 3:01:00 AM,C,7.5
2000-01-02, 4:01:00 AM,C,7.5
2000-01-02, 5:01:00 AM,C,6.5
2000-01-02, 6:01:00 AM,C,6
2000-01-02, 7:01:00 AM,C,5
2000-01-02, 8:01:00 AM,C,6
2000-01-02, 9:01:00 AM,C,7.5
2000-01-02, 10:01:00 AM,C,7.5
2000-01-02, 11:01:00 AM,C,7.5
2000-01-02, 12:01:00 PM,C,7.5
2000-01-02, 1:01:00 PM,C,7.5
2000-01-02, 2:01:00 PM,C,7.5
2000-01-02, 3:01:00 PM,C,7.5
2000-01-02, 4:01:00 PM,C,7.5
2000-01-02, 5:01:00 PM,C,7.5
2000-01-02, 6:01:00 PM,C,7
2000-01-02, 7:01:00 PM,C,8
