1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9700000040919221
Is Mission Active?  true
Mission Start:  Tue Jun 04 14:28:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1387
Total Samples:  8783
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2019-06-04, 2:28:00 PM,C,20
2019-06-04, 3:28:00 PM,C,16.5
2019-06-04, 4:28:00 PM,C,16.5
2019-06-04, 5:28:00 PM,C,16.5
2019-06-04, 6:28:00 PM,C,16.5
2019-06-04, 7:28:00 PM,C,16.5
2019-06-04, 8:28:00 PM,C,16.5
2019-06-04, 9:28:00 PM,C,16.5
2019-06-04, 10:28:00 PM,C,16.5
2019-06-04, 11:28:00 PM,C,16.5
2019-06-05, 12:28:00 AM,C,16.5
2019-06-05, 1:28:00 AM,C,16.5
2019-06-05, 2:28:00 AM,C,16.5
2019-06-05, 3:28:00 AM,C,16.5
2019-06-05, 4:28:00 AM,C,16.5
2019-06-05, 5:28:00 AM,C,16.5
2019-06-05, 6:28:00 AM,C,16
2019-06-05, 7:28:00 AM,C,16
2019-06-05, 8:28:00 AM,C,16
2019-06-05, 9:28:00 AM,C,15.5
2019-06-05, 10:28:00 AM,C,15.5
2019-06-05, 11:28:00 AM,C,15
2019-06-05, 12:28:00 PM,C,15
2019-06-05, 1:28:00 PM,C,15.5
2019-06-05, 2:28:00 PM,C,15.5
2019-06-05, 3:28:00 PM,C,16
2019-06-05, 4:28:00 PM,C,18
2019-06-05, 5:28:00 PM,C,17
2019-06-05, 6:28:00 PM,C,17.5
2019-06-05, 7:28:00 PM,C,17.5
2019-06-05, 8:28:00 PM,C,17
2019-06-05, 9:28:00 PM,C,17
2019-06-05, 10:28:00 PM,C,17
2019-06-05, 11:28:00 PM,C,16.5
2019-06-06, 12:28:00 AM,C,16.5
2019-06-06, 1:28:00 AM,C,16
2019-06-06, 2:28:00 AM,C,16
2019-06-06, 3:28:00 AM,C,16
2019-06-06, 4:28:00 AM,C,16
2019-06-06, 5:28:00 AM,C,16
2019-06-06, 6:28:00 AM,C,15.5
2019-06-06, 7:28:00 AM,C,15.5
2019-06-06, 8:28:00 AM,C,14.5
2019-06-06, 9:28:00 AM,C,12
2019-06-06, 10:28:00 AM,C,11.5
2019-06-06, 11:28:00 AM,C,12.5
2019-06-06, 12:28:00 PM,C,14.5
2019-06-06, 1:28:00 PM,C,12
2019-06-06, 2:28:00 PM,C,11.5
2019-06-06, 3:28:00 PM,C,11
2019-06-06, 4:28:00 PM,C,11
2019-06-06, 5:28:00 PM,C,11
2019-06-06, 6:28:00 PM,C,11
2019-06-06, 7:28:00 PM,C,11.5
2019-06-06, 8:28:00 PM,C,11.5
2019-06-06, 9:28:00 PM,C,11.5
2019-06-06, 10:28:00 PM,C,11.5
2019-06-06, 11:28:00 PM,C,11.5
2019-06-07, 12:28:00 AM,C,11.5
2019-06-07, 1:28:00 AM,C,12
2019-06-07, 2:28:00 AM,C,11.5
2019-06-07, 3:28:00 AM,C,11
2019-06-07, 4:28:00 AM,C,11
2019-06-07, 5:28:00 AM,C,11.5
2019-06-07, 6:28:00 AM,C,11.5
2019-06-07, 7:28:00 AM,C,11.5
2019-06-07, 8:28:00 AM,C,11.5
2019-06-07, 9:28:00 AM,C,10.5
2019-06-07, 10:28:00 AM,C,10.5
2019-06-07, 11:28:00 AM,C,11
2019-06-07, 12:28:00 PM,C,11.5
2019-06-07, 1:28:00 PM,C,15
2019-06-07, 2:28:00 PM,C,12.5
2019-06-07, 3:28:00 PM,C,11.5
2019-06-07, 4:28:00 PM,C,11
2019-06-07, 5:28:00 PM,C,11
2019-06-07, 6:28:00 PM,C,11
2019-06-07, 7:28:00 PM,C,12
2019-06-07, 8:28:00 PM,C,12.5
2019-06-07, 9:28:00 PM,C,12.5
2019-06-07, 10:28:00 PM,C,12.5
2019-06-07, 11:28:00 PM,C,12
2019-06-08, 12:28:00 AM,C,11.5
2019-06-08, 1:28:00 AM,C,11.5
2019-06-08, 2:28:00 AM,C,11.5
2019-06-08, 3:28:00 AM,C,11.5
2019-06-08, 4:28:00 AM,C,11.5
2019-06-08, 5:28:00 AM,C,11.5
2019-06-08, 6:28:00 AM,C,11.5
2019-06-08, 7:28:00 AM,C,11.5
2019-06-08, 8:28:00 AM,C,11.5
2019-06-08, 9:28:00 AM,C,12.5
2019-06-08, 10:28:00 AM,C,13.5
2019-06-08, 11:28:00 AM,C,15
2019-06-08, 12:28:00 PM,C,14.5
2019-06-08, 1:28:00 PM,C,18
2019-06-08, 2:28:00 PM,C,15
2019-06-08, 3:28:00 PM,C,13.5
2019-06-08, 4:28:00 PM,C,13
2019-06-08, 5:28:00 PM,C,12.5
2019-06-08, 6:28:00 PM,C,12.5
2019-06-08, 7:28:00 PM,C,12.5
2019-06-08, 8:28:00 PM,C,12.5
2019-06-08, 9:28:00 PM,C,13
2019-06-08, 10:28:00 PM,C,13.5
2019-06-08, 11:28:00 PM,C,13.5
2019-06-09, 12:28:00 AM,C,13
2019-06-09, 1:28:00 AM,C,13
2019-06-09, 2:28:00 AM,C,13
2019-06-09, 3:28:00 AM,C,12.5
2019-06-09, 4:28:00 AM,C,12.5
2019-06-09, 5:28:00 AM,C,12.5
2019-06-09, 6:28:00 AM,C,12.5
2019-06-09, 7:28:00 AM,C,12.5
2019-06-09, 8:28:00 AM,C,12.5
2019-06-09, 9:28:00 AM,C,12.5
2019-06-09, 10:28:00 AM,C,13
2019-06-09, 11:28:00 AM,C,15
2019-06-09, 12:28:00 PM,C,13.5
2019-06-09, 1:28:00 PM,C,15
2019-06-09, 2:28:00 PM,C,14
2019-06-09, 3:28:00 PM,C,13.5
2019-06-09, 4:28:00 PM,C,13
2019-06-09, 5:28:00 PM,C,13
2019-06-09, 6:28:00 PM,C,13
2019-06-09, 7:28:00 PM,C,13
2019-06-09, 8:28:00 PM,C,13
2019-06-09, 9:28:00 PM,C,13
2019-06-09, 10:28:00 PM,C,13
2019-06-09, 11:28:00 PM,C,13
2019-06-10, 12:28:00 AM,C,13
2019-06-10, 1:28:00 AM,C,13
2019-06-10, 2:28:00 AM,C,13
2019-06-10, 3:28:00 AM,C,13
2019-06-10, 4:28:00 AM,C,12.5
2019-06-10, 5:28:00 AM,C,12
2019-06-10, 6:28:00 AM,C,12.5
2019-06-10, 7:28:00 AM,C,12.5
2019-06-10, 8:28:00 AM,C,11.5
2019-06-10, 9:28:00 AM,C,12.5
2019-06-10, 10:28:00 AM,C,13
2019-06-10, 11:28:00 AM,C,13
2019-06-10, 12:28:00 PM,C,14.5
2019-06-10, 1:28:00 PM,C,17.5
2019-06-10, 2:28:00 PM,C,16
2019-06-10, 3:28:00 PM,C,16
2019-06-10, 4:28:00 PM,C,14
2019-06-10, 5:28:00 PM,C,13
2019-06-10, 6:28:00 PM,C,12.5
2019-06-10, 7:28:00 PM,C,12
2019-06-10, 8:28:00 PM,C,11.5
2019-06-10, 9:28:00 PM,C,11.5
2019-06-10, 10:28:00 PM,C,11
2019-06-10, 11:28:00 PM,C,11
2019-06-11, 12:28:00 AM,C,12.5
2019-06-11, 1:28:00 AM,C,12.5
2019-06-11, 2:28:00 AM,C,12.5
2019-06-11, 3:28:00 AM,C,12.5
2019-06-11, 4:28:00 AM,C,12.5
2019-06-11, 5:28:00 AM,C,12.5
2019-06-11, 6:28:00 AM,C,12.5
2019-06-11, 7:28:00 AM,C,12.5
2019-06-11, 8:28:00 AM,C,12.5
2019-06-11, 9:28:00 AM,C,12.5
2019-06-11, 10:28:00 AM,C,12.5
2019-06-11, 11:28:00 AM,C,13
2019-06-11, 12:28:00 PM,C,13
2019-06-11, 1:28:00 PM,C,20.5
2019-06-11, 2:28:00 PM,C,23.5
2019-06-11, 3:28:00 PM,C,26
2019-06-11, 4:28:00 PM,C,17
2019-06-11, 5:28:00 PM,C,13
2019-06-11, 6:28:00 PM,C,13
2019-06-11, 7:28:00 PM,C,12.5
2019-06-11, 8:28:00 PM,C,11.5
2019-06-11, 9:28:00 PM,C,11
2019-06-11, 10:28:00 PM,C,11.5
2019-06-11, 11:28:00 PM,C,12
2019-06-12, 12:28:00 AM,C,12.5
2019-06-12, 1:28:00 AM,C,12.5
2019-06-12, 2:28:00 AM,C,12.5
2019-06-12, 3:28:00 AM,C,12
2019-06-12, 4:28:00 AM,C,12
2019-06-12, 5:28:00 AM,C,12.5
2019-06-12, 6:28:00 AM,C,12.5
2019-06-12, 7:28:00 AM,C,12.5
2019-06-12, 8:28:00 AM,C,11.5
2019-06-12, 9:28:00 AM,C,11
2019-06-12, 10:28:00 AM,C,11
2019-06-12, 11:28:00 AM,C,11.5
2019-06-12, 12:28:00 PM,C,12
2019-06-12, 1:28:00 PM,C,13
2019-06-12, 2:28:00 PM,C,13.5
2019-06-12, 3:28:00 PM,C,16.5
2019-06-12, 4:28:00 PM,C,17.5
2019-06-12, 5:28:00 PM,C,14
2019-06-12, 6:28:00 PM,C,14
2019-06-12, 7:28:00 PM,C,13
2019-06-12, 8:28:00 PM,C,12.5
2019-06-12, 9:28:00 PM,C,12
2019-06-12, 10:28:00 PM,C,12
2019-06-12, 11:28:00 PM,C,12
2019-06-13, 12:28:00 AM,C,12
2019-06-13, 1:28:00 AM,C,12.5
2019-06-13, 2:28:00 AM,C,12.5
2019-06-13, 3:28:00 AM,C,12.5
2019-06-13, 4:28:00 AM,C,12
2019-06-13, 5:28:00 AM,C,12
2019-06-13, 6:28:00 AM,C,12
2019-06-13, 7:28:00 AM,C,13
2019-06-13, 8:28:00 AM,C,13
2019-06-13, 9:28:00 AM,C,13.5
2019-06-13, 10:28:00 AM,C,13.5
2019-06-13, 11:28:00 AM,C,13.5
2019-06-13, 12:28:00 PM,C,13
2019-06-13, 1:28:00 PM,C,13.5
2019-06-13, 2:28:00 PM,C,13.5
2019-06-13, 3:28:00 PM,C,14.5
2019-06-13, 4:28:00 PM,C,15.5
2019-06-13, 5:28:00 PM,C,16
2019-06-13, 6:28:00 PM,C,14
2019-06-13, 7:28:00 PM,C,13.5
2019-06-13, 8:28:00 PM,C,13.5
2019-06-13, 9:28:00 PM,C,13
2019-06-13, 10:28:00 PM,C,13
2019-06-13, 11:28:00 PM,C,13.5
2019-06-14, 12:28:00 AM,C,13
2019-06-14, 1:28:00 AM,C,13.5
2019-06-14, 2:28:00 AM,C,13.5
2019-06-14, 3:28:00 AM,C,13.5
2019-06-14, 4:28:00 AM,C,12
2019-06-14, 5:28:00 AM,C,12
2019-06-14, 6:28:00 AM,C,11.5
2019-06-14, 7:28:00 AM,C,12
2019-06-14, 8:28:00 AM,C,13
2019-06-14, 9:28:00 AM,C,13
2019-06-14, 10:28:00 AM,C,12.5
2019-06-14, 11:28:00 AM,C,13
2019-06-14, 12:28:00 PM,C,13.5
2019-06-14, 1:28:00 PM,C,14
2019-06-14, 2:28:00 PM,C,14.5
2019-06-14, 3:28:00 PM,C,15
2019-06-14, 4:28:00 PM,C,14
2019-06-14, 5:28:00 PM,C,15.5
2019-06-14, 6:28:00 PM,C,15
2019-06-14, 7:28:00 PM,C,14.5
2019-06-14, 8:28:00 PM,C,14
2019-06-14, 9:28:00 PM,C,14.5
