1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 40000000432F9421
Is Mission Active?  true
Mission Start:  Thu Apr 04 15:38:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1769
Total Samples:  9087
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
04/04/19 3:38:00 PM,C,24.5
04/04/19 4:38:00 PM,C,23.5
04/04/19 5:38:00 PM,C,23
04/04/19 6:38:00 PM,C,22.5
04/04/19 7:38:00 PM,C,23.5
04/04/19 8:38:00 PM,C,22.5
04/04/19 9:38:00 PM,C,22.5
04/04/19 10:38:00 PM,C,22.5
04/04/19 11:38:00 PM,C,22.5
05/04/19 12:38:00 AM,C,22.5
05/04/19 1:38:00 AM,C,22.5
05/04/19 2:38:00 AM,C,22.5
05/04/19 3:38:00 AM,C,22.5
05/04/19 4:38:00 AM,C,22.5
05/04/19 5:38:00 AM,C,22.5
05/04/19 6:38:00 AM,C,22.5
05/04/19 7:38:00 AM,C,22.5
05/04/19 8:38:00 AM,C,22.5
05/04/19 9:38:00 AM,C,22.5
05/04/19 10:38:00 AM,C,23
05/04/19 11:38:00 AM,C,23
05/04/19 12:38:00 PM,C,23
05/04/19 1:38:00 PM,C,23.5
05/04/19 2:38:00 PM,C,23.5
05/04/19 3:38:00 PM,C,23.5
05/04/19 4:38:00 PM,C,23.5
05/04/19 5:38:00 PM,C,23
05/04/19 6:38:00 PM,C,23
05/04/19 7:38:00 PM,C,22.5
05/04/19 8:38:00 PM,C,22.5
05/04/19 9:38:00 PM,C,22.5
05/04/19 10:38:00 PM,C,22.5
05/04/19 11:38:00 PM,C,22.5
06/04/19 12:38:00 AM,C,22.5
06/04/19 1:38:00 AM,C,22.5
06/04/19 2:38:00 AM,C,22.5
06/04/19 3:38:00 AM,C,22
06/04/19 4:38:00 AM,C,22
06/04/19 5:38:00 AM,C,22
06/04/19 6:38:00 AM,C,22
06/04/19 7:38:00 AM,C,22
06/04/19 8:38:00 AM,C,22
06/04/19 9:38:00 AM,C,22
06/04/19 10:38:00 AM,C,22
06/04/19 11:38:00 AM,C,22
06/04/19 12:38:00 PM,C,22.5
06/04/19 1:38:00 PM,C,22.5
06/04/19 2:38:00 PM,C,22.5
06/04/19 3:38:00 PM,C,22.5
06/04/19 4:38:00 PM,C,22.5
06/04/19 5:38:00 PM,C,22.5
06/04/19 6:38:00 PM,C,22.5
06/04/19 7:38:00 PM,C,22.5
06/04/19 8:38:00 PM,C,22
06/04/19 9:38:00 PM,C,22
06/04/19 10:38:00 PM,C,22
06/04/19 11:38:00 PM,C,22
07/04/19 12:38:00 AM,C,22
07/04/19 1:38:00 AM,C,22
07/04/19 2:38:00 AM,C,22
07/04/19 3:38:00 AM,C,22
07/04/19 4:38:00 AM,C,22
07/04/19 5:38:00 AM,C,22
07/04/19 6:38:00 AM,C,22
07/04/19 7:38:00 AM,C,22
07/04/19 8:38:00 AM,C,22
07/04/19 9:38:00 AM,C,22
07/04/19 10:38:00 AM,C,22.5
07/04/19 11:38:00 AM,C,22.5
07/04/19 12:38:00 PM,C,22.5
07/04/19 1:38:00 PM,C,22.5
07/04/19 2:38:00 PM,C,22.5
07/04/19 3:38:00 PM,C,22.5
07/04/19 4:38:00 PM,C,22.5
07/04/19 5:38:00 PM,C,22.5
