1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F00000002A0F1C21
Is Mission Active?  true
Mission Start:  Wed Mar 20 13:57:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1850
Total Samples:  153091
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2019-03-20, 1:57:00 PM,C,20.5
2019-03-20, 2:57:00 PM,C,19.5
2019-03-20, 3:57:00 PM,C,18
2019-03-20, 4:57:00 PM,C,19
2019-03-20, 5:57:00 PM,C,19
2019-03-20, 6:57:00 PM,C,17
2019-03-20, 7:57:00 PM,C,7
2019-03-20, 8:57:00 PM,C,6.5
2019-03-20, 9:57:00 PM,C,8
2019-03-20, 10:57:00 PM,C,8
2019-03-20, 11:57:00 PM,C,8
2019-03-21, 12:57:00 AM,C,8
2019-03-21, 1:57:00 AM,C,8
2019-03-21, 2:57:00 AM,C,8
2019-03-21, 3:57:00 AM,C,8
2019-03-21, 4:57:00 AM,C,8
2019-03-21, 5:57:00 AM,C,8
2019-03-21, 6:57:00 AM,C,6
2019-03-21, 7:57:00 AM,C,5
2019-03-21, 8:57:00 AM,C,8.5
2019-03-21, 9:57:00 AM,C,8
2019-03-21, 10:57:00 AM,C,8
2019-03-21, 11:57:00 AM,C,8
2019-03-21, 12:57:00 PM,C,7.5
2019-03-21, 1:57:00 PM,C,8
2019-03-21, 2:57:00 PM,C,8
2019-03-21, 3:57:00 PM,C,8
2019-03-21, 4:57:00 PM,C,8
2019-03-21, 5:57:00 PM,C,8
2019-03-21, 6:57:00 PM,C,7.5
2019-03-21, 7:57:00 PM,C,7
2019-03-21, 8:57:00 PM,C,6
2019-03-21, 9:57:00 PM,C,6.5
2019-03-21, 10:57:00 PM,C,8
2019-03-21, 11:57:00 PM,C,8
2019-03-22, 12:57:00 AM,C,8
2019-03-22, 1:57:00 AM,C,8
2019-03-22, 2:57:00 AM,C,8
2019-03-22, 3:57:00 AM,C,8
2019-03-22, 4:57:00 AM,C,8
2019-03-22, 5:57:00 AM,C,8
2019-03-22, 6:57:00 AM,C,8
2019-03-22, 7:57:00 AM,C,7.5
2019-03-22, 8:57:00 AM,C,8.5
2019-03-22, 9:57:00 AM,C,10
2019-03-22, 10:57:00 AM,C,8
2019-03-22, 11:57:00 AM,C,8
2019-03-22, 12:57:00 PM,C,8
2019-03-22, 1:57:00 PM,C,8
2019-03-22, 2:57:00 PM,C,8
2019-03-22, 3:57:00 PM,C,8
2019-03-22, 4:57:00 PM,C,8
2019-03-22, 5:57:00 PM,C,8
2019-03-22, 6:57:00 PM,C,8
2019-03-22, 7:57:00 PM,C,8
2019-03-22, 8:57:00 PM,C,8
2019-03-22, 9:57:00 PM,C,7
2019-03-22, 10:57:00 PM,C,8
2019-03-22, 11:57:00 PM,C,8.5
2019-03-23, 12:57:00 AM,C,8
2019-03-23, 1:57:00 AM,C,8
2019-03-23, 2:57:00 AM,C,8
2019-03-23, 3:57:00 AM,C,8
2019-03-23, 4:57:00 AM,C,8
2019-03-23, 5:57:00 AM,C,8
2019-03-23, 6:57:00 AM,C,8
2019-03-23, 7:57:00 AM,C,7
2019-03-23, 8:57:00 AM,C,11
2019-03-23, 9:57:00 AM,C,17
2019-03-23, 10:57:00 AM,C,23
2019-03-23, 11:57:00 AM,C,8.5
2019-03-23, 12:57:00 PM,C,8
2019-03-23, 1:57:00 PM,C,8
2019-03-23, 2:57:00 PM,C,8
2019-03-23, 3:57:00 PM,C,8
2019-03-23, 4:57:00 PM,C,8
2019-03-23, 5:57:00 PM,C,8
2019-03-23, 6:57:00 PM,C,8
2019-03-23, 7:57:00 PM,C,8
2019-03-23, 8:57:00 PM,C,6.5
2019-03-23, 9:57:00 PM,C,5.5
2019-03-23, 10:57:00 PM,C,6.5
2019-03-23, 11:57:00 PM,C,8
2019-03-24, 12:57:00 AM,C,8
2019-03-24, 1:57:00 AM,C,8
2019-03-24, 2:57:00 AM,C,8
2019-03-24, 3:57:00 AM,C,8
2019-03-24, 4:57:00 AM,C,7.5
2019-03-24, 5:57:00 AM,C,7.5
2019-03-24, 6:57:00 AM,C,8
2019-03-24, 7:57:00 AM,C,8
2019-03-24, 8:57:00 AM,C,10.5
2019-03-24, 9:57:00 AM,C,18
2019-03-24, 10:57:00 AM,C,23.5
2019-03-24, 11:57:00 AM,C,25
2019-03-24, 12:57:00 PM,C,8
2019-03-24, 1:57:00 PM,C,8
2019-03-24, 2:57:00 PM,C,8
2019-03-24, 3:57:00 PM,C,8
