1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2F0000002BB0FF21
Is Mission Active?  true
Mission Start:  Thu Mar 21 10:46:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1804
Total Samples:  41525
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Jun 09 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2019-03-21, 10:46:00 AM,C,18.5
2019-03-21, 11:46:00 AM,C,15
2019-03-21, 12:46:00 PM,C,15
2019-03-21, 1:46:00 PM,C,15.5
2019-03-21, 2:46:00 PM,C,16
2019-03-21, 3:46:00 PM,C,16
2019-03-21, 4:46:00 PM,C,16.5
2019-03-21, 5:46:00 PM,C,17
2019-03-21, 6:46:00 PM,C,17
2019-03-21, 7:46:00 PM,C,9
2019-03-21, 8:46:00 PM,C,6
2019-03-21, 9:46:00 PM,C,7
2019-03-21, 10:46:00 PM,C,7.5
2019-03-21, 11:46:00 PM,C,8
2019-03-22, 12:46:00 AM,C,7.5
2019-03-22, 1:46:00 AM,C,7.5
2019-03-22, 2:46:00 AM,C,7.5
2019-03-22, 3:46:00 AM,C,7.5
2019-03-22, 4:46:00 AM,C,7.5
2019-03-22, 5:46:00 AM,C,8
2019-03-22, 6:46:00 AM,C,7.5
2019-03-22, 7:46:00 AM,C,7.5
2019-03-22, 8:46:00 AM,C,7.5
2019-03-22, 9:46:00 AM,C,8
2019-03-22, 10:46:00 AM,C,8
2019-03-22, 11:46:00 AM,C,7.5
2019-03-22, 12:46:00 PM,C,7.5
2019-03-22, 1:46:00 PM,C,8
2019-03-22, 2:46:00 PM,C,7.5
2019-03-22, 3:46:00 PM,C,7.5
2019-03-22, 4:46:00 PM,C,7.5
2019-03-22, 5:46:00 PM,C,8
2019-03-22, 6:46:00 PM,C,8
2019-03-22, 7:46:00 PM,C,8
2019-03-22, 8:46:00 PM,C,7.5
2019-03-22, 9:46:00 PM,C,7
2019-03-22, 10:46:00 PM,C,6.5
2019-03-22, 11:46:00 PM,C,8
2019-03-23, 12:46:00 AM,C,8
2019-03-23, 1:46:00 AM,C,8
2019-03-23, 2:46:00 AM,C,7.5
2019-03-23, 3:46:00 AM,C,7.5
