1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: CC0000002225C421
Is Mission Active?  true
Mission Start:  Mon Jun 17 07:43:00 PDT 2019
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  3185
Total Samples:  2762441
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Aug 25 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
17/06/19 7:43:00 AM,C,19
17/06/19 8:13:00 AM,C,21.5
17/06/19 8:43:00 AM,C,18
17/06/19 9:13:00 AM,C,18.5
17/06/19 9:43:00 AM,C,18.5
17/06/19 10:13:00 AM,C,33.5
17/06/19 10:43:00 AM,C,27
17/06/19 11:13:00 AM,C,28
17/06/19 11:43:00 AM,C,30.5
17/06/19 12:13:00 PM,C,32.5
17/06/19 12:43:00 PM,C,34.5
17/06/19 1:13:00 PM,C,33.5
17/06/19 1:43:00 PM,C,32
17/06/19 2:13:00 PM,C,33.5
17/06/19 2:43:00 PM,C,34
17/06/19 3:13:00 PM,C,24.5
17/06/19 3:43:00 PM,C,22
17/06/19 4:13:00 PM,C,20.5
17/06/19 4:43:00 PM,C,19.5
17/06/19 5:13:00 PM,C,19
17/06/19 5:43:00 PM,C,18
17/06/19 6:13:00 PM,C,18
17/06/19 6:43:00 PM,C,18
17/06/19 7:13:00 PM,C,18.5
17/06/19 7:43:00 PM,C,19
17/06/19 8:13:00 PM,C,19
17/06/19 8:43:00 PM,C,19
17/06/19 9:13:00 PM,C,19
17/06/19 9:43:00 PM,C,19
17/06/19 10:13:00 PM,C,19
17/06/19 10:43:00 PM,C,18.5
17/06/19 11:13:00 PM,C,18.5
17/06/19 11:43:00 PM,C,18.5
18/06/19 12:13:00 AM,C,18.5
18/06/19 12:43:00 AM,C,18.5
18/06/19 1:13:00 AM,C,18.5
18/06/19 1:43:00 AM,C,18.5
18/06/19 2:13:00 AM,C,18.5
18/06/19 2:43:00 AM,C,18.5
18/06/19 3:13:00 AM,C,18.5
18/06/19 3:43:00 AM,C,18.5
18/06/19 4:13:00 AM,C,18
18/06/19 4:43:00 AM,C,17
18/06/19 5:13:00 AM,C,16.5
18/06/19 5:43:00 AM,C,16
18/06/19 6:13:00 AM,C,16
18/06/19 6:43:00 AM,C,16.5
18/06/19 7:13:00 AM,C,16.5
18/06/19 7:43:00 AM,C,16.5
18/06/19 8:13:00 AM,C,16.5
18/06/19 8:43:00 AM,C,16.5
18/06/19 9:13:00 AM,C,17
