1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2F0000002BB0FF21
Is Mission Active?  true
Mission Start:  Thu Mar 21 10:46:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  3191
Total Samples:  42912
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Aug 04 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2019-05-08, 1:46:00 AM,C,10
2019-05-08, 2:46:00 AM,C,9
2019-05-08, 3:46:00 AM,C,9.5
2019-05-08, 4:46:00 AM,C,10
2019-05-08, 5:46:00 AM,C,9.5
2019-05-08, 6:46:00 AM,C,10
2019-05-08, 7:46:00 AM,C,10
2019-05-08, 8:46:00 AM,C,10.5
2019-05-08, 9:46:00 AM,C,16
2019-05-08, 10:46:00 AM,C,24
2019-05-08, 11:46:00 AM,C,29
2019-05-08, 12:46:00 PM,C,28
2019-05-08, 1:46:00 PM,C,11
2019-05-08, 2:46:00 PM,C,9.5
2019-05-08, 3:46:00 PM,C,9.5
2019-05-08, 4:46:00 PM,C,10
2019-05-08, 5:46:00 PM,C,10.5
2019-05-08, 6:46:00 PM,C,10
2019-05-08, 7:46:00 PM,C,10
2019-05-08, 8:46:00 PM,C,11
2019-05-08, 9:46:00 PM,C,9.5
2019-05-08, 10:46:00 PM,C,10
2019-05-08, 11:46:00 PM,C,10
2019-05-09, 12:46:00 AM,C,10
2019-05-09, 1:46:00 AM,C,10
2019-05-09, 2:46:00 AM,C,9
2019-05-09, 3:46:00 AM,C,9
2019-05-09, 4:46:00 AM,C,10
2019-05-09, 5:46:00 AM,C,10
2019-05-09, 6:46:00 AM,C,10
2019-05-09, 7:46:00 AM,C,10
2019-05-09, 8:46:00 AM,C,10
2019-05-09, 9:46:00 AM,C,19
2019-05-09, 10:46:00 AM,C,30
2019-05-09, 11:46:00 AM,C,34
2019-05-09, 12:46:00 PM,C,34.5
2019-05-09, 1:46:00 PM,C,14.5
2019-05-09, 2:46:00 PM,C,11
2019-05-09, 3:46:00 PM,C,9.5
2019-05-09, 4:46:00 PM,C,10.5
2019-05-09, 5:46:00 PM,C,11
2019-05-09, 6:46:00 PM,C,10.5
2019-05-09, 7:46:00 PM,C,10.5
2019-05-09, 8:46:00 PM,C,11
2019-05-09, 9:46:00 PM,C,11.5
2019-05-09, 10:46:00 PM,C,10
2019-05-09, 11:46:00 PM,C,11
2019-05-10, 12:46:00 AM,C,11
2019-05-10, 1:46:00 AM,C,11
2019-05-10, 2:46:00 AM,C,10
2019-05-10, 3:46:00 AM,C,9.5
2019-05-10, 4:46:00 AM,C,9.5
2019-05-10, 5:46:00 AM,C,10.5
2019-05-10, 6:46:00 AM,C,10.5
2019-05-10, 7:46:00 AM,C,10.5
2019-05-10, 8:46:00 AM,C,10.5
2019-05-10, 9:46:00 AM,C,11
