1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6C000000297D0421
Is Mission Active?  true
Mission Start:  Thu Mar 21 10:34:00 PDT 2019
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  3191
Total Samples:  72732
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2019-03-21, 10:34:00 AM,C,18
2019-03-21, 11:34:00 AM,C,15
2019-03-21, 12:34:00 PM,C,15
2019-03-21, 1:34:00 PM,C,15.5
2019-03-21, 2:34:00 PM,C,15.5
2019-03-21, 3:34:00 PM,C,16
2019-03-21, 4:34:00 PM,C,16.5
2019-03-21, 5:34:00 PM,C,17
2019-03-21, 6:34:00 PM,C,17
2019-03-21, 7:34:00 PM,C,9
2019-03-21, 8:34:00 PM,C,6
2019-03-21, 9:34:00 PM,C,7.5
2019-03-21, 10:34:00 PM,C,7.5
2019-03-21, 11:34:00 PM,C,8
2019-03-22, 12:34:00 AM,C,7.5
2019-03-22, 1:34:00 AM,C,7.5
2019-03-22, 2:34:00 AM,C,7.5
2019-03-22, 3:34:00 AM,C,7.5
2019-03-22, 4:34:00 AM,C,7.5
2019-03-22, 5:34:00 AM,C,7.5
2019-03-22, 6:34:00 AM,C,7.5
2019-03-22, 7:34:00 AM,C,7.5
2019-03-22, 8:34:00 AM,C,7.5
2019-03-22, 9:34:00 AM,C,8
2019-03-22, 10:34:00 AM,C,8
2019-03-22, 11:34:00 AM,C,7.5
2019-03-22, 12:34:00 PM,C,7.5
2019-03-22, 1:34:00 PM,C,7.5
2019-03-22, 2:34:00 PM,C,7.5
2019-03-22, 3:34:00 PM,C,7.5
2019-03-22, 4:34:00 PM,C,7.5
2019-03-22, 5:34:00 PM,C,8
2019-03-22, 6:34:00 PM,C,8
2019-03-22, 7:34:00 PM,C,8
2019-03-22, 8:34:00 PM,C,7.5
2019-03-22, 9:34:00 PM,C,7
2019-03-22, 10:34:00 PM,C,7
