1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: BE0000002B716521
Is Mission Active?  true
Mission Start:  Thu Jun 14 21:10:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  6689
Total Samples:  55005
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-06-14, 9:10:00 PM,C,22
2018-06-14, 10:10:00 PM,C,20
2018-06-14, 11:10:00 PM,C,20
2018-06-15, 12:10:00 AM,C,20
2018-06-15, 1:10:00 AM,C,20
2018-06-15, 2:10:00 AM,C,20
2018-06-15, 3:10:00 AM,C,20
2018-06-15, 4:10:00 AM,C,20
2018-06-15, 5:10:00 AM,C,20
2018-06-15, 6:10:00 AM,C,20.5
2018-06-15, 7:10:00 AM,C,17.5
2018-06-15, 8:10:00 AM,C,16.5
2018-06-15, 9:10:00 AM,C,20
2018-06-15, 10:10:00 AM,C,22.5
2018-06-15, 11:10:00 AM,C,23
2018-06-15, 12:10:00 PM,C,13.5
2018-06-15, 1:10:00 PM,C,13.5
2018-06-15, 2:10:00 PM,C,13
2018-06-15, 3:10:00 PM,C,13.5
2018-06-15, 4:10:00 PM,C,13.5
2018-06-15, 5:10:00 PM,C,14
2018-06-15, 6:10:00 PM,C,14
2018-06-15, 7:10:00 PM,C,14
2018-06-15, 8:10:00 PM,C,14
2018-06-15, 9:10:00 PM,C,14
2018-06-15, 10:10:00 PM,C,14
2018-06-15, 11:10:00 PM,C,14
2018-06-16, 12:10:00 AM,C,13.5
2018-06-16, 1:10:00 AM,C,12.5
2018-06-16, 2:10:00 AM,C,13
2018-06-16, 3:10:00 AM,C,13
2018-06-16, 4:10:00 AM,C,13
2018-06-16, 5:10:00 AM,C,13
2018-06-16, 6:10:00 AM,C,13
2018-06-16, 7:10:00 AM,C,13.5
2018-06-16, 8:10:00 AM,C,17
2018-06-16, 9:10:00 AM,C,22.5
2018-06-16, 10:10:00 AM,C,26.5
2018-06-16, 11:10:00 AM,C,31.5
2018-06-16, 12:10:00 PM,C,30
2018-06-16, 1:10:00 PM,C,15
2018-06-16, 2:10:00 PM,C,15
2018-06-16, 3:10:00 PM,C,15
2018-06-16, 4:10:00 PM,C,15
2018-06-16, 5:10:00 PM,C,15
2018-06-16, 6:10:00 PM,C,15
2018-06-16, 7:10:00 PM,C,14.5
2018-06-16, 8:10:00 PM,C,15
2018-06-16, 9:10:00 PM,C,15
2018-06-16, 10:10:00 PM,C,14.5
2018-06-16, 11:10:00 PM,C,14.5
2018-06-17, 12:10:00 AM,C,14.5
2018-06-17, 1:10:00 AM,C,14.5
2018-06-17, 2:10:00 AM,C,13
2018-06-17, 3:10:00 AM,C,13
2018-06-17, 4:10:00 AM,C,13.5
2018-06-17, 5:10:00 AM,C,14
2018-06-17, 6:10:00 AM,C,14
2018-06-17, 7:10:00 AM,C,13.5
2018-06-17, 8:10:00 AM,C,14
2018-06-17, 9:10:00 AM,C,18.5
2018-06-17, 10:10:00 AM,C,24
2018-06-17, 11:10:00 AM,C,29
2018-06-17, 12:10:00 PM,C,32.5
2018-06-17, 1:10:00 PM,C,17.5
2018-06-17, 2:10:00 PM,C,14.5
2018-06-17, 3:10:00 PM,C,14
2018-06-17, 4:10:00 PM,C,13.5
2018-06-17, 5:10:00 PM,C,13.5
2018-06-17, 6:10:00 PM,C,13
2018-06-17, 7:10:00 PM,C,13.5
2018-06-17, 8:10:00 PM,C,13.5
2018-06-17, 9:10:00 PM,C,13.5
2018-06-17, 10:10:00 PM,C,13.5
2018-06-17, 11:10:00 PM,C,13.5
2018-06-18, 12:10:00 AM,C,13.5
2018-06-18, 1:10:00 AM,C,13.5
2018-06-18, 2:10:00 AM,C,13.5
2018-06-18, 3:10:00 AM,C,13.5
2018-06-18, 4:10:00 AM,C,13
2018-06-18, 5:10:00 AM,C,13
2018-06-18, 6:10:00 AM,C,13
2018-06-18, 7:10:00 AM,C,13
2018-06-18, 8:10:00 AM,C,13.5
2018-06-18, 9:10:00 AM,C,13.5
2018-06-18, 10:10:00 AM,C,23.5
2018-06-18, 11:10:00 AM,C,26.5
2018-06-18, 12:10:00 PM,C,29
2018-06-18, 1:10:00 PM,C,31
2018-06-18, 2:10:00 PM,C,15
2018-06-18, 3:10:00 PM,C,14.5
2018-06-18, 4:10:00 PM,C,14.5
2018-06-18, 5:10:00 PM,C,14
2018-06-18, 6:10:00 PM,C,13.5
2018-06-18, 7:10:00 PM,C,13.5
2018-06-18, 8:10:00 PM,C,14
2018-06-18, 9:10:00 PM,C,14
2018-06-18, 10:10:00 PM,C,15
2018-06-18, 11:10:00 PM,C,15.5
2018-06-19, 12:10:00 AM,C,15
2018-06-19, 1:10:00 AM,C,15
2018-06-19, 2:10:00 AM,C,14.5
2018-06-19, 3:10:00 AM,C,14
2018-06-19, 4:10:00 AM,C,14
2018-06-19, 5:10:00 AM,C,14
2018-06-19, 6:10:00 AM,C,13.5
2018-06-19, 7:10:00 AM,C,14
2018-06-19, 8:10:00 AM,C,14.5
2018-06-19, 9:10:00 AM,C,15
2018-06-19, 10:10:00 AM,C,15
2018-06-19, 11:10:00 AM,C,21
2018-06-19, 12:10:00 PM,C,26
2018-06-19, 1:10:00 PM,C,30.5
2018-06-19, 2:10:00 PM,C,19.5
2018-06-19, 3:10:00 PM,C,15
2018-06-19, 4:10:00 PM,C,15
2018-06-19, 5:10:00 PM,C,15
2018-06-19, 6:10:00 PM,C,15
2018-06-19, 7:10:00 PM,C,14.5
2018-06-19, 8:10:00 PM,C,14.5
2018-06-19, 9:10:00 PM,C,14.5
2018-06-19, 10:10:00 PM,C,14.5
2018-06-19, 11:10:00 PM,C,14.5
2018-06-20, 12:10:00 AM,C,14.5
2018-06-20, 1:10:00 AM,C,14.5
2018-06-20, 2:10:00 AM,C,14.5
2018-06-20, 3:10:00 AM,C,14
2018-06-20, 4:10:00 AM,C,14
2018-06-20, 5:10:00 AM,C,14
2018-06-20, 6:10:00 AM,C,14
2018-06-20, 7:10:00 AM,C,14
2018-06-20, 8:10:00 AM,C,14
2018-06-20, 9:10:00 AM,C,13.5
2018-06-20, 10:10:00 AM,C,14.5
2018-06-20, 11:10:00 AM,C,14.5
2018-06-20, 12:10:00 PM,C,15.5
2018-06-20, 1:10:00 PM,C,23
2018-06-20, 2:10:00 PM,C,16.5
2018-06-20, 3:10:00 PM,C,14.5
2018-06-20, 4:10:00 PM,C,15
2018-06-20, 5:10:00 PM,C,14.5
2018-06-20, 6:10:00 PM,C,14.5
2018-06-20, 7:10:00 PM,C,14.5
2018-06-20, 8:10:00 PM,C,14.5
2018-06-20, 9:10:00 PM,C,14
2018-06-20, 10:10:00 PM,C,14
2018-06-20, 11:10:00 PM,C,14.5
2018-06-21, 12:10:00 AM,C,14.5
2018-06-21, 1:10:00 AM,C,14.5
2018-06-21, 2:10:00 AM,C,14.5
2018-06-21, 3:10:00 AM,C,14.5
2018-06-21, 4:10:00 AM,C,14.5
2018-06-21, 5:10:00 AM,C,14
2018-06-21, 6:10:00 AM,C,14
2018-06-21, 7:10:00 AM,C,14
2018-06-21, 8:10:00 AM,C,14
2018-06-21, 9:10:00 AM,C,14
2018-06-21, 10:10:00 AM,C,14
2018-06-21, 11:10:00 AM,C,14
2018-06-21, 12:10:00 PM,C,14.5
2018-06-21, 1:10:00 PM,C,14.5
2018-06-21, 2:10:00 PM,C,16.5
2018-06-21, 3:10:00 PM,C,15
2018-06-21, 4:10:00 PM,C,15
2018-06-21, 5:10:00 PM,C,15
2018-06-21, 6:10:00 PM,C,15
2018-06-21, 7:10:00 PM,C,15
2018-06-21, 8:10:00 PM,C,14.5
2018-06-21, 9:10:00 PM,C,14.5
2018-06-21, 10:10:00 PM,C,14
2018-06-21, 11:10:00 PM,C,14
2018-06-22, 12:10:00 AM,C,14
2018-06-22, 1:10:00 AM,C,14
2018-06-22, 2:10:00 AM,C,14.5
2018-06-22, 3:10:00 AM,C,14.5
2018-06-22, 4:10:00 AM,C,14.5
2018-06-22, 5:10:00 AM,C,14.5
2018-06-22, 6:10:00 AM,C,14
2018-06-22, 7:10:00 AM,C,13.5
2018-06-22, 8:10:00 AM,C,13.5
2018-06-22, 9:10:00 AM,C,13.5
2018-06-22, 10:10:00 AM,C,14
2018-06-22, 11:10:00 AM,C,13.5
2018-06-22, 12:10:00 PM,C,14
2018-06-22, 1:10:00 PM,C,14
2018-06-22, 2:10:00 PM,C,14
2018-06-22, 3:10:00 PM,C,14.5
2018-06-22, 4:10:00 PM,C,14
2018-06-22, 5:10:00 PM,C,14.5
2018-06-22, 6:10:00 PM,C,14.5
2018-06-22, 7:10:00 PM,C,14.5
2018-06-22, 8:10:00 PM,C,14
