1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F40000001AAD3121
Is Mission Active?  true
Mission Start:  Thu Jun 14 21:16:00 PDT 2018
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  6689
Total Samples:  111308
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Mar 24 00:00:00 PDT 2019
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2018-12-25, 5:16:00 AM,C,8
2018-12-25, 6:16:00 AM,C,8
2018-12-25, 7:16:00 AM,C,8
2018-12-25, 8:16:00 AM,C,8
2018-12-25, 9:16:00 AM,C,8
2018-12-25, 10:16:00 AM,C,8
2018-12-25, 11:16:00 AM,C,8
2018-12-25, 12:16:00 PM,C,8
2018-12-25, 1:16:00 PM,C,8
2018-12-25, 2:16:00 PM,C,8
2018-12-25, 3:16:00 PM,C,8
2018-12-25, 4:16:00 PM,C,8
2018-12-25, 5:16:00 PM,C,8
2018-12-25, 6:16:00 PM,C,8
2018-12-25, 7:16:00 PM,C,6.5
2018-12-25, 8:16:00 PM,C,5
2018-12-25, 9:16:00 PM,C,3.5
2018-12-25, 10:16:00 PM,C,3.5
2018-12-25, 11:16:00 PM,C,6
2018-12-26, 12:16:00 AM,C,7.5
2018-12-26, 1:16:00 AM,C,8
2018-12-26, 2:16:00 AM,C,8
2018-12-26, 3:16:00 AM,C,8
2018-12-26, 4:16:00 AM,C,8
2018-12-26, 5:16:00 AM,C,8
2018-12-26, 6:16:00 AM,C,8
2018-12-26, 7:16:00 AM,C,8
2018-12-26, 8:16:00 AM,C,8
2018-12-26, 9:16:00 AM,C,8
2018-12-26, 10:16:00 AM,C,8
2018-12-26, 11:16:00 AM,C,8
2018-12-26, 12:16:00 PM,C,8
2018-12-26, 1:16:00 PM,C,8
2018-12-26, 2:16:00 PM,C,8
2018-12-26, 3:16:00 PM,C,8
2018-12-26, 4:16:00 PM,C,8
2018-12-26, 5:16:00 PM,C,8
2018-12-26, 6:16:00 PM,C,8
2018-12-26, 7:16:00 PM,C,8
2018-12-26, 8:16:00 PM,C,6
2018-12-26, 9:16:00 PM,C,5
2018-12-26, 10:16:00 PM,C,3.5
2018-12-26, 11:16:00 PM,C,2.5
2018-12-27, 12:16:00 AM,C,5.5
2018-12-27, 1:16:00 AM,C,7.5
2018-12-27, 2:16:00 AM,C,8
2018-12-27, 3:16:00 AM,C,8
2018-12-27, 4:16:00 AM,C,8
2018-12-27, 5:16:00 AM,C,7.5
2018-12-27, 6:16:00 AM,C,7.5
2018-12-27, 7:16:00 AM,C,7.5
2018-12-27, 8:16:00 AM,C,8
2018-12-27, 9:16:00 AM,C,7.5
2018-12-27, 10:16:00 AM,C,8
2018-12-27, 11:16:00 AM,C,8
2018-12-27, 12:16:00 PM,C,8
2018-12-27, 1:16:00 PM,C,8
2018-12-27, 2:16:00 PM,C,8
2018-12-27, 3:16:00 PM,C,8
2018-12-27, 4:16:00 PM,C,8
2018-12-27, 5:16:00 PM,C,8
2018-12-27, 6:16:00 PM,C,8
2018-12-27, 7:16:00 PM,C,8
2018-12-27, 8:16:00 PM,C,8
2018-12-27, 9:16:00 PM,C,7.5
2018-12-27, 10:16:00 PM,C,6.5
2018-12-27, 11:16:00 PM,C,6
2018-12-28, 12:16:00 AM,C,6
2018-12-28, 1:16:00 AM,C,7.5
2018-12-28, 2:16:00 AM,C,8
2018-12-28, 3:16:00 AM,C,8
2018-12-28, 4:16:00 AM,C,8
2018-12-28, 5:16:00 AM,C,8
2018-12-28, 6:16:00 AM,C,8
2018-12-28, 7:16:00 AM,C,8
2018-12-28, 8:16:00 AM,C,8
2018-12-28, 9:16:00 AM,C,8
2018-12-28, 10:16:00 AM,C,8
2018-12-28, 11:16:00 AM,C,8
2018-12-28, 12:16:00 PM,C,8
