Date,Time,slev_m
01/03/2019,0:00,2.662
01/03/2019,1:00,3.106
01/03/2019,2:00,3.384
01/03/2019,3:00,3.472
01/03/2019,4:00,3.436
01/03/2019,5:00,3.318
01/03/2019,6:00,3.13
01/03/2019,7:00,2.937
01/03/2019,8:00,2.825
01/03/2019,9:00,2.831
01/03/2019,10:00,2.92
01/03/2019,11:00,3.028
01/03/2019,12:00,3.097
01/03/2019,13:00,3.091
01/03/2019,14:00,2.964
01/03/2019,15:00,2.682
01/03/2019,16:00,2.288
01/03/2019,17:00,1.88
01/03/2019,18:00,1.509
01/03/2019,19:00,1.208
01/03/2019,20:00,1.07
01/03/2019,21:00,1.157
01/03/2019,22:00,1.421
01/03/2019,23:00,1.792
02/03/2019,0:00,2.256
02/03/2019,1:00,2.775
02/03/2019,2:00,3.215
02/03/2019,3:00,3.458
02/03/2019,4:00,3.514
02/03/2019,5:00,3.456
02/03/2019,6:00,3.302
02/03/2019,7:00,3.065
02/03/2019,8:00,2.835
02/03/2019,9:00,2.723
02/03/2019,10:00,2.753
02/03/2019,11:00,2.863
02/03/2019,12:00,2.977
02/03/2019,13:00,3.052
02/03/2019,14:00,3.054
02/03/2019,15:00,2.92
02/03/2019,16:00,2.615
02/03/2019,17:00,2.21
02/03/2019,18:00,1.802
02/03/2019,19:00,1.429
02/03/2019,20:00,1.141
02/03/2019,21:00,1.047
02/03/2019,22:00,1.187
02/03/2019,23:00,1.489
03/03/2019,0:00,1.896
03/03/2019,1:00,2.399
03/03/2019,2:00,2.923
03/03/2019,3:00,3.315
03/03/2019,4:00,3.49
03/03/2019,5:00,3.496
03/03/2019,6:00,3.394
03/03/2019,7:00,3.182
03/03/2019,8:00,2.897
03/03/2019,9:00,2.671
03/03/2019,10:00,2.608
03/03/2019,11:00,2.685
03/03/2019,12:00,2.817
03/03/2019,13:00,2.942
03/03/2019,14:00,3.031
03/03/2019,15:00,3.029
03/03/2019,16:00,2.86
03/03/2019,17:00,2.517
03/03/2019,18:00,2.099
03/03/2019,19:00,1.69
03/03/2019,20:00,1.323
03/03/2019,21:00,1.075
03/03/2019,22:00,1.058
03/03/2019,23:00,1.269
04/03/2019,0:00,1.616
04/03/2019,1:00,2.065
04/03/2019,2:00,2.593
04/03/2019,3:00,3.084
04/03/2019,4:00,3.387
04/03/2019,5:00,3.475
04/03/2019,6:00,3.419
04/03/2019,7:00,3.25
04/03/2019,8:00,2.97
04/03/2019,9:00,2.67
04/03/2019,10:00,2.5
04/03/2019,11:00,2.511
04/03/2019,12:00,2.63
04/03/2019,13:00,2.779
04/03/2019,14:00,2.926
04/03/2019,15:00,3.024
04/03/2019,16:00,2.99
04/03/2019,17:00,2.761
04/03/2019,18:00,2.382
04/03/2019,19:00,1.962
04/03/2019,20:00,1.558
04/03/2019,21:00,1.215
04/03/2019,22:00,1.045
04/03/2019,23:00,1.132
05/03/2019,0:00,1.415
05/03/2019,1:00,1.806
05/03/2019,2:00,2.291
05/03/2019,3:00,2.817
05/03/2019,4:00,3.229
05/03/2019,5:00,3.415
05/03/2019,6:00,3.407
05/03/2019,7:00,3.275
05/03/2019,8:00,3.027
05/03/2019,9:00,2.701
05/03/2019,10:00,2.438
05/03/2019,11:00,2.359
05/03/2019,12:00,2.439
05/03/2019,13:00,2.586
05/03/2019,14:00,2.76
05/03/2019,15:00,2.932
05/03/2019,16:00,3.016
05/03/2019,17:00,2.917
05/03/2019,18:00,2.627
05/03/2019,19:00,2.232
05/03/2019,20:00,1.818
05/03/2019,21:00,1.428
05/03/2019,22:00,1.143
05/03/2019,23:00,1.089
06/03/2019,0:00,1.286
06/03/2019,1:00,1.627
06/03/2019,2:00,2.051
06/03/2019,3:00,2.557
06/03/2019,4:00,3.041
06/03/2019,5:00,3.332
06/03/2019,6:00,3.384
06/03/2019,7:00,3.277
06/03/2019,8:00,3.061
06/03/2019,9:00,2.744
06/03/2019,10:00,2.418
06/03/2019,11:00,2.239
06/03/2019,12:00,2.256
06/03/2019,13:00,2.386
06/03/2019,14:00,2.561
06/03/2019,15:00,2.772
06/03/2019,16:00,2.954
06/03/2019,17:00,2.988
06/03/2019,18:00,2.813
06/03/2019,19:00,2.484
06/03/2019,20:00,2.093
06/03/2019,21:00,1.692
06/03/2019,22:00,1.335
06/03/2019,23:00,1.149
07/03/2019,0:00,1.23
07/03/2019,1:00,1.516
07/03/2019,2:00,1.889
07/03/2019,3:00,2.335
07/03/2019,4:00,2.836
07/03/2019,5:00,3.23
07/03/2019,6:00,3.366
07/03/2019,7:00,3.281
07/03/2019,8:00,3.079
07/03/2019,9:00,2.787
07/03/2019,10:00,2.435
07/03/2019,11:00,2.157
07/03/2019,12:00,2.082
07/03/2019,13:00,2.181
07/03/2019,14:00,2.354
07/03/2019,15:00,2.57
07/03/2019,16:00,2.813
07/03/2019,17:00,2.977
07/03/2019,18:00,2.94
07/03/2019,19:00,2.706
07/03/2019,20:00,2.366
07/03/2019,21:00,1.987
07/03/2019,22:00,1.608
07/03/2019,23:00,1.319
08/03/2019,0:00,1.262
08/03/2019,1:00,1.463
08/03/2019,2:00,1.799
08/03/2019,3:00,2.185
08/03/2019,4:00,2.64
08/03/2019,5:00,3.095
08/03/2019,6:00,3.348
08/03/2019,7:00,3.315
08/03/2019,8:00,3.107
08/03/2019,9:00,2.825
08/03/2019,10:00,2.479
08/03/2019,11:00,2.129
08/03/2019,12:00,1.932
08/03/2019,13:00,1.96
08/03/2019,14:00,2.129
08/03/2019,15:00,2.348
08/03/2019,16:00,2.609
08/03/2019,17:00,2.867
08/03/2019,18:00,2.987
08/03/2019,19:00,2.888
08/03/2019,20:00,2.627
08/03/2019,21:00,2.296
08/03/2019,22:00,1.936
08/03/2019,23:00,1.601
09/03/2019,0:00,1.413
09/03/2019,1:00,1.481
09/03/2019,2:00,1.759
09/03/2019,3:00,2.11
09/03/2019,4:00,2.498
09/03/2019,5:00,2.936
09/03/2019,6:00,3.291
09/03/2019,7:00,3.371
09/03/2019,8:00,3.182
09/03/2019,9:00,2.881
09/03/2019,10:00,2.54
09/03/2019,11:00,2.163
09/03/2019,12:00,1.848
09/03/2019,13:00,1.744
09/03/2019,14:00,1.863
09/03/2019,15:00,2.093
09/03/2019,16:00,2.36
09/03/2019,17:00,2.657
09/03/2019,18:00,2.909
09/03/2019,19:00,2.987
09/03/2019,20:00,2.857
09/03/2019,21:00,2.598
09/03/2019,22:00,2.288
09/03/2019,23:00,1.965
10/03/2019,0:00,1.701
10/03/2019,1:00,1.62
10/03/2019,2:00,1.779
10/03/2019,3:00,2.087
10/03/2019,4:00,2.431
10/03/2019,5:00,2.803
10/03/2019,6:00,3.181
10/03/2019,7:00,3.392
10/03/2019,8:00,3.3
10/03/2019,9:00,2.994
10/03/2019,10:00,2.632
10/03/2019,11:00,2.248
10/03/2019,12:00,1.862
10/03/2019,13:00,1.602
10/03/2019,14:00,1.587
10/03/2019,15:00,1.781
10/03/2019,16:00,2.061
10/03/2019,17:00,2.37
10/03/2019,18:00,2.689
10/03/2019,19:00,2.931
10/03/2019,20:00,2.989
10/03/2019,21:00,2.86
10/03/2019,22:00,2.627
10/03/2019,23:00,2.357
11/03/2019,0:00,2.093
11/03/2019,1:00,1.913
11/03/2019,2:00,1.913
11/03/2019,3:00,2.115
11/03/2019,4:00,2.419
11/03/2019,5:00,2.737
11/03/2019,6:00,3.062
11/03/2019,7:00,3.335
11/03/2019,8:00,3.389
11/03/2019,9:00,3.164
11/03/2019,10:00,2.787
11/03/2019,11:00,2.384
11/03/2019,12:00,1.97
11/03/2019,13:00,1.595
11/03/2019,14:00,1.397
11/03/2019,15:00,1.456
11/03/2019,16:00,1.699
11/03/2019,17:00,2.014
11/03/2019,18:00,2.353
11/03/2019,19:00,2.687
11/03/2019,20:00,2.93
11/03/2019,21:00,2.999
11/03/2019,22:00,2.903
11/03/2019,23:00,2.719
12/03/2019,0:00,2.51
12/03/2019,1:00,2.317
12/03/2019,2:00,2.204
12/03/2019,3:00,2.247
12/03/2019,4:00,2.452
12/03/2019,5:00,2.726
12/03/2019,6:00,2.993
12/03/2019,7:00,3.236
12/03/2019,8:00,3.386
12/03/2019,9:00,3.313
12/03/2019,10:00,3.006
12/03/2019,11:00,2.592
12/03/2019,12:00,2.159
12/03/2019,13:00,1.729
12/03/2019,14:00,1.38
12/03/2019,15:00,1.236
12/03/2019,16:00,1.336
12/03/2019,17:00,1.603
12/03/2019,18:00,1.938
12/03/2019,19:00,2.298
12/03/2019,20:00,2.648
12/03/2019,21:00,2.913
12/03/2019,22:00,3.022
12/03/2019,23:00,2.986
13/03/2019,0:00,2.872
13/03/2019,1:00,2.733
13/03/2019,2:00,2.599
13/03/2019,3:00,2.521
13/03/2019,4:00,2.571
13/03/2019,5:00,2.75
13/03/2019,6:00,2.969
13/03/2019,7:00,3.159
13/03/2019,8:00,3.309
13/03/2019,9:00,3.358
13/03/2019,10:00,3.207
13/03/2019,11:00,2.863
13/03/2019,12:00,2.431
13/03/2019,13:00,1.98
13/03/2019,14:00,1.549
13/03/2019,15:00,1.225
13/03/2019,16:00,1.108
13/03/2019,17:00,1.216
13/03/2019,18:00,1.484
13/03/2019,19:00,1.83
13/03/2019,20:00,2.208
13/03/2019,21:00,2.583
13/03/2019,22:00,2.89
13/03/2019,23:00,3.065
14/03/2019,0:00,3.106
14/03/2019,1:00,3.064
14/03/2019,2:00,2.981
14/03/2019,3:00,2.88
14/03/2019,4:00,2.809
14/03/2019,5:00,2.837
