Date,Time,slev_m
01/03/2019,0:00,3.213
01/03/2019,1:00,2.917
01/03/2019,2:00,2.668
01/03/2019,3:00,2.565
01/03/2019,4:00,2.657
01/03/2019,5:00,2.924
01/03/2019,6:00,3.297
01/03/2019,7:00,3.69
01/03/2019,8:00,4.005
01/03/2019,9:00,4.148
01/03/2019,10:00,4.055
01/03/2019,11:00,3.726
01/03/2019,12:00,3.219
01/03/2019,13:00,2.633
01/03/2019,14:00,2.083
01/03/2019,15:00,1.679
01/03/2019,16:00,1.504
01/03/2019,17:00,1.587
01/03/2019,18:00,1.905
01/03/2019,19:00,2.389
01/03/2019,20:00,2.932
01/03/2019,21:00,3.405
01/03/2019,22:00,3.698
01/03/2019,23:00,3.761
02/03/2019,0:00,3.605
02/03/2019,1:00,3.292
02/03/2019,2:00,2.916
02/03/2019,3:00,2.602
02/03/2019,4:00,2.462
02/03/2019,5:00,2.552
02/03/2019,6:00,2.849
02/03/2019,7:00,3.274
02/03/2019,8:00,3.728
02/03/2019,9:00,4.091
02/03/2019,10:00,4.251
02/03/2019,11:00,4.138
02/03/2019,12:00,3.759
02/03/2019,13:00,3.187
02/03/2019,14:00,2.535
02/03/2019,15:00,1.934
02/03/2019,16:00,1.512
02/03/2019,17:00,1.359
02/03/2019,18:00,1.506
02/03/2019,19:00,1.919
02/03/2019,20:00,2.506
02/03/2019,21:00,3.13
02/03/2019,22:00,3.638
02/03/2019,23:00,3.911
03/03/2019,0:00,3.904
03/03/2019,1:00,3.649
03/03/2019,2:00,3.23
03/03/2019,3:00,2.772
03/03/2019,4:00,2.424
03/03/2019,5:00,2.303
03/03/2019,6:00,2.453
03/03/2019,7:00,2.831
03/03/2019,8:00,3.342
03/03/2019,9:00,3.857
03/03/2019,10:00,4.239
03/03/2019,11:00,4.364
03/03/2019,12:00,4.173
03/03/2019,13:00,3.695
03/03/2019,14:00,3.031
03/03/2019,15:00,2.316
03/03/2019,16:00,1.699
03/03/2019,17:00,1.316
03/03/2019,18:00,1.256
03/03/2019,19:00,1.531
03/03/2019,20:00,2.078
03/03/2019,21:00,2.769
03/03/2019,22:00,3.436
03/03/2019,23:00,3.911
04/03/2019,0:00,4.088
04/03/2019,1:00,3.947
04/03/2019,2:00,3.554
04/03/2019,3:00,3.027
04/03/2019,4:00,2.52
04/03/2019,5:00,2.192
04/03/2019,6:00,2.151
04/03/2019,7:00,2.413
04/03/2019,8:00,2.905
04/03/2019,9:00,3.501
04/03/2019,10:00,4.05
04/03/2019,11:00,4.397
04/03/2019,12:00,4.426
04/03/2019,13:00,4.106
04/03/2019,14:00,3.503
04/03/2019,15:00,2.75
04/03/2019,16:00,2.007
04/03/2019,17:00,1.433
04/03/2019,18:00,1.161
04/03/2019,19:00,1.259
04/03/2019,20:00,1.703
04/03/2019,21:00,2.386
04/03/2019,22:00,3.143
04/03/2019,23:00,3.785
05/03/2019,0:00,4.151
05/03/2019,1:00,4.166
05/03/2019,2:00,3.853
05/03/2019,3:00,3.318
05/03/2019,4:00,2.715
05/03/2019,5:00,2.213
05/03/2019,6:00,1.968
05/03/2019,7:00,2.06
05/03/2019,8:00,2.465
05/03/2019,9:00,3.072
05/03/2019,10:00,3.725
05/03/2019,11:00,4.255
05/03/2019,12:00,4.507
05/03/2019,13:00,4.389
05/03/2019,14:00,3.913
05/03/2019,15:00,3.189
05/03/2019,16:00,2.383
05/03/2019,17:00,1.671
05/03/2019,18:00,1.21
05/03/2019,19:00,1.114
05/03/2019,20:00,1.409
05/03/2019,21:00,2.025
05/03/2019,22:00,2.808
05/03/2019,23:00,3.564
06/03/2019,0:00,4.103
06/03/2019,1:00,4.294
06/03/2019,2:00,4.108
06/03/2019,3:00,3.62
06/03/2019,4:00,2.975
06/03/2019,5:00,2.348
06/03/2019,6:00,1.914
06/03/2019,7:00,1.804
06/03/2019,8:00,2.059
06/03/2019,9:00,2.608
06/03/2019,10:00,3.303
06/03/2019,11:00,3.964
06/03/2019,12:00,4.416
06/03/2019,13:00,4.521
06/03/2019,14:00,4.228
06/03/2019,15:00,3.601
06/03/2019,16:00,2.794
06/03/2019,17:00,1.996
06/03/2019,18:00,1.384
06/03/2019,19:00,1.099
06/03/2019,20:00,1.218
06/03/2019,21:00,1.715
06/03/2019,22:00,2.466
06/03/2019,23:00,3.282
07/03/2019,0:00,3.958
07/03/2019,1:00,4.326
07/03/2019,2:00,4.302
07/03/2019,3:00,3.913
07/03/2019,4:00,3.28
07/03/2019,5:00,2.577
07/03/2019,6:00,1.988
07/03/2019,7:00,1.674
07/03/2019,8:00,1.73
07/03/2019,9:00,2.149
07/03/2019,10:00,2.815
07/03/2019,11:00,3.549
07/03/2019,12:00,4.16
07/03/2019,13:00,4.483
07/03/2019,14:00,4.414
07/03/2019,15:00,3.951
07/03/2019,16:00,3.212
07/03/2019,17:00,2.385
07/03/2019,18:00,1.665
07/03/2019,19:00,1.216
07/03/2019,20:00,1.146
07/03/2019,21:00,1.482
07/03/2019,22:00,2.144
07/03/2019,23:00,2.964
08/03/2019,0:00,3.733
08/03/2019,1:00,4.26
08/03/2019,2:00,4.416
08/03/2019,3:00,4.174
08/03/2019,4:00,3.612
08/03/2019,5:00,2.887
08/03/2019,6:00,2.188
08/03/2019,7:00,1.69
08/03/2019,8:00,1.526
08/03/2019,9:00,1.75
08/03/2019,10:00,2.306
08/03/2019,11:00,3.039
08/03/2019,12:00,3.754
08/03/2019,13:00,4.265
08/03/2019,14:00,4.43
08/03/2019,15:00,4.19
08/03/2019,16:00,3.598
08/03/2019,17:00,2.812
08/03/2019,18:00,2.038
08/03/2019,19:00,1.46
08/03/2019,20:00,1.212
08/03/2019,21:00,1.359
08/03/2019,22:00,1.876
08/03/2019,23:00,2.636
09/03/2019,0:00,3.444
09/03/2019,1:00,4.094
09/03/2019,2:00,4.428
09/03/2019,3:00,4.368
09/03/2019,4:00,3.939
09/03/2019,5:00,3.259
09/03/2019,6:00,2.506
09/03/2019,7:00,1.864
09/03/2019,8:00,1.488
09/03/2019,9:00,1.479
09/03/2019,10:00,1.844
09/03/2019,11:00,2.486
09/03/2019,12:00,3.227
09/03/2019,13:00,3.871
09/03/2019,14:00,4.251
09/03/2019,15:00,4.261
09/03/2019,16:00,3.888
09/03/2019,17:00,3.231
09/03/2019,18:00,2.474
09/03/2019,19:00,1.818
09/03/2019,20:00,1.421
09/03/2019,21:00,1.376
09/03/2019,22:00,1.704
09/03/2019,23:00,2.335
10/03/2019,0:00,3.113
10/03/2019,1:00,3.836
10/03/2019,2:00,4.321
10/03/2019,3:00,4.455
10/03/2019,4:00,4.209
10/03/2019,5:00,3.649
10/03/2019,6:00,2.917
10/03/2019,7:00,2.191
10/03/2019,8:00,1.641
10/03/2019,9:00,1.394
10/03/2019,10:00,1.514
10/03/2019,11:00,1.971
10/03/2019,12:00,2.64
10/03/2019,13:00,3.336
10/03/2019,14:00,3.875
10/03/2019,15:00,4.122
10/03/2019,16:00,4.009
10/03/2019,17:00,3.566
10/03/2019,18:00,2.921
10/03/2019,19:00,2.261
10/03/2019,20:00,1.763
10/03/2019,21:00,1.549
10/03/2019,22:00,1.671
10/03/2019,23:00,2.115
11/03/2019,0:00,2.782
11/03/2019,1:00,3.503
11/03/2019,2:00,4.092
11/03/2019,3:00,4.404
11/03/2019,4:00,4.367
11/03/2019,5:00,3.993
11/03/2019,6:00,3.368
11/03/2019,7:00,2.642
11/03/2019,8:00,1.98
11/03/2019,9:00,1.529
11/03/2019,10:00,1.389
11/03/2019,11:00,1.593
11/03/2019,12:00,2.084
11/03/2019,13:00,2.725
11/03/2019,14:00,3.338
11/03/2019,15:00,3.768
11/03/2019,16:00,3.912
11/03/2019,17:00,3.736
11/03/2019,18:00,3.296
11/03/2019,19:00,2.728
11/03/2019,20:00,2.204
11/03/2019,21:00,1.868
11/03/2019,22:00,1.8
11/03/2019,23:00,2.026
12/03/2019,0:00,2.509
12/03/2019,1:00,3.14
12/03/2019,2:00,3.758
12/03/2019,3:00,4.203
12/03/2019,4:00,4.368
12/03/2019,5:00,4.218
12/03/2019,6:00,3.781
12/03/2019,7:00,3.153
12/03/2019,8:00,2.47
12/03/2019,9:00,1.882
12/03/2019,10:00,1.512
12/03/2019,11:00,1.437
12/03/2019,12:00,1.669
12/03/2019,13:00,2.139
12/03/2019,14:00,2.713
12/03/2019,15:00,3.237
12/03/2019,16:00,3.583
12/03/2019,17:00,3.678
12/03/2019,18:00,3.508
12/03/2019,19:00,3.134
12/03/2019,20:00,2.684
12/03/2019,21:00,2.299
12/03/2019,22:00,2.086
12/03/2019,23:00,2.102
13/03/2019,0:00,2.357
13/03/2019,1:00,2.81
13/03/2019,2:00,3.359
13/03/2019,3:00,3.863
13/03/2019,4:00,4.192
13/03/2019,5:00,4.268
13/03/2019,6:00,4.072
13/03/2019,7:00,3.637
13/03/2019,8:00,3.044
13/03/2019,9:00,2.416
13/03/2019,10:00,1.884
13/03/2019,11:00,1.553
13/03/2019,12:00,1.488
13/03/2019,13:00,1.693
13/03/2019,14:00,2.103
13/03/2019,15:00,2.602
13/03/2019,16:00,3.06
13/03/2019,17:00,3.376
13/03/2019,18:00,3.487
13/03/2019,19:00,3.383
13/03/2019,20:00,3.113
13/03/2019,21:00,2.781
13/03/2019,22:00,2.497
13/03/2019,23:00,2.343
14/03/2019,0:00,2.367
14/03/2019,1:00,2.583
14/03/2019,2:00,2.964
14/03/2019,3:00,3.424
14/03/2019,4:00,3.842
14/03/2019,5:00,4.112
14/03/2019,6:00,4.17
14/03/2019,7:00,3.994
14/03/2019,8:00,3.601
14/03/2019,9:00,3.056
14/03/2019,10:00,2.465
14/03/2019,11:00,1.946
14/03/2019,12:00,1.6
14/03/2019,13:00,1.492
14/03/2019,14:00,1.632
14/03/2019,15:00,1.973
14/03/2019,16:00,2.418
14/03/2019,17:00,2.862
14/03/2019,18:00,3.211
14/03/2019,19:00,3.398
14/03/2019,20:00,3.395
14/03/2019,21:00,3.229
14/03/2019,22:00,2.976
14/03/2019,23:00,2.726
15/03/2019,0:00,2.554
15/03/2019,1:00,2.518
15/03/2019,2:00,2.655
15/03/2019,3:00,2.958
15/03/2019,4:00,3.356
15/03/2019,5:00,3.745
15/03/2019,6:00,4.028
15/03/2019,7:00,4.135
15/03/2019,8:00,4.023
15/03/2019,9:00,3.685
15/03/2019,10:00,3.169
15/03/2019,11:00,2.573
15/03/2019,12:00,2.015
15/03/2019,13:00,1.603
15/03/2019,14:00,1.414
15/03/2019,15:00,1.48
15/03/2019,16:00,1.774
15/03/2019,17:00,2.217
15/03/2019,18:00,2.71
15/03/2019,19:00,3.151
15/03/2019,20:00,3.448
