Obs_date,SLEV(metres)
2019-04-01 0:00,2.79
2019-04-01 1:00,3.38
2019-04-01 2:00,3.89
2019-04-01 3:00,4.25
2019-04-01 4:00,4.37
2019-04-01 5:00,4.24
2019-04-01 6:00,3.97
2019-04-01 7:00,3.58
2019-04-01 8:00,3.18
2019-04-01 9:00,2.86
2019-04-01 10:00,2.7
2019-04-01 11:00,2.77
2019-04-01 12:00,2.95
2019-04-01 13:00,3.2
2019-04-01 14:00,3.44
2019-04-01 15:00,3.59
2019-04-01 16:00,3.52
2019-04-01 17:00,3.27
2019-04-01 18:00,2.89
2019-04-01 19:00,2.45
2019-04-01 20:00,2.05
2019-04-01 21:00,1.77
2019-04-01 22:00,1.77
2019-04-01 23:00,2.05
2019-04-02 0:00,2.49
2019-04-02 1:00,3.07
2019-04-02 2:00,3.66
2019-04-02 3:00,4.15
2019-04-02 4:00,4.42
2019-04-02 5:00,4.4
2019-04-02 6:00,4.17
2019-04-02 7:00,3.79
2019-04-02 8:00,3.33
2019-04-02 9:00,2.91
2019-04-02 10:00,2.64
2019-04-02 11:00,2.59
2019-04-02 12:00,2.75
2019-04-02 13:00,3.04
2019-04-02 14:00,3.4
2019-04-02 15:00,3.67
2019-04-02 16:00,3.79
2019-04-02 17:00,3.68
2019-04-02 18:00,3.37
2019-04-02 19:00,2.94
2019-04-02 20:00,2.47
2019-04-02 21:00,2.05
2019-04-02 22:00,1.84
2019-04-02 23:00,1.94
2019-04-03 0:00,2.29
2019-04-03 1:00,2.79
2019-04-03 2:00,3.39
2019-04-03 3:00,3.95
2019-04-03 4:00,4.35
2019-04-03 5:00,4.45
2019-04-03 6:00,4.28
2019-04-03 7:00,3.94
2019-04-03 8:00,3.46
2019-04-03 9:00,2.98
2019-04-03 10:00,2.6
2019-04-03 11:00,2.43
2019-04-03 12:00,2.56
2019-04-03 13:00,2.85
2019-04-03 14:00,3.25
2019-04-03 15:00,3.66
2019-04-03 16:00,3.93
2019-04-03 17:00,3.98
2019-04-03 18:00,3.76
2019-04-03 19:00,3.37
2019-04-03 20:00,2.89
2019-04-03 21:00,2.39
2019-04-03 22:00,2.02
2019-04-03 23:00,1.89
2019-04-04 0:00,2.09
2019-04-04 1:00,2.51
2019-04-04 2:00,3.06
2019-04-04 3:00,3.66
