"","Date","Time","SP","Temp"
"1",2019-04-04,"16:36:00","Cedar",23.5
"2",2019-04-04,"17:36:00","Cedar",23
"3",2019-04-04,"18:36:00","Cedar",22
"4",2019-04-04,"19:36:00","Cedar",23.5
"5",2019-04-04,"20:36:00","Cedar",22.5
"6",2019-04-04,"21:36:00","Cedar",22.5
"7",2019-04-04,"22:36:00","Cedar",22.5
"8",2019-04-04,"23:36:00","Cedar",22.5
"9",2019-04-05,"00:36:00","Cedar",22.5
"10",2019-04-05,"01:36:00","Cedar",22
"11",2019-04-05,"02:36:00","Cedar",22
"12",2019-04-05,"03:36:00","Cedar",22.5
"13",2019-04-05,"04:36:00","Cedar",22.5
"14",2019-04-05,"05:36:00","Cedar",22
"15",2019-04-05,"06:36:00","Cedar",22
"16",2019-04-05,"07:36:00","Cedar",22
"17",2019-04-05,"09:36:00","Cedar",22.5
"18",2019-04-05,"10:36:00","Cedar",22.5
"19",2019-04-05,"11:36:00","Cedar",23
"20",2019-04-05,"12:36:00","Cedar",23
"21",2019-04-05,"13:36:00","Cedar",23
"22",2019-04-05,"14:36:00","Cedar",23
"23",2019-04-05,"15:36:00","Cedar",23
"24",2019-04-05,"16:36:00","Cedar",23
"25",2019-04-05,"17:36:00","Cedar",23
"26",2019-04-05,"18:36:00","Cedar",22.5
"27",2019-04-05,"19:36:00","Cedar",22.5
"28",2019-04-05,"20:36:00","Cedar",22.5
"29",2019-04-05,"21:36:00","Cedar",22.5
"30",2019-04-05,"22:36:00","Cedar",22.5
"31",2019-04-05,"23:36:00","Cedar",22
"32",2019-04-06,"00:36:00","Cedar",22
"33",2019-04-06,"02:36:00","Cedar",22
"34",2019-04-06,"03:36:00","Cedar",22
"35",2019-04-06,"04:36:00","Cedar",22
"36",2019-04-06,"05:36:00","Cedar",22
"37",2019-04-06,"06:36:00","Cedar",22
"38",2019-04-06,"07:36:00","Cedar",22
"39",2019-04-06,"08:36:00","Cedar",22
"40",2019-04-06,"09:36:00","Cedar",22
"41",2019-04-06,"10:36:00","Cedar",22
"42",2019-04-06,"11:36:00","Cedar",22
"43",2019-04-06,"12:36:00","Cedar",22
"44",2019-04-06,"13:36:00","Cedar",22
"45",2019-04-06,"14:36:00","Cedar",22
"46",2019-04-06,"15:36:00","Cedar",22
"47",2019-04-06,"16:36:00","Cedar",22.5
"48",2019-04-06,"18:36:00","Cedar",22.5
"49",2019-04-06,"19:36:00","Cedar",22
"50",2019-04-06,"20:36:00","Cedar",22
"51",2019-04-06,"21:36:00","Cedar",22
"52",2019-04-06,"22:36:00","Cedar",22
"53",2019-04-06,"23:36:00","Cedar",22
"54",2019-04-07,"00:36:00","Cedar",22
"55",2019-04-07,"01:36:00","Cedar",22
"56",2019-04-07,"02:36:00","Cedar",22
"57",2019-04-07,"03:36:00","Cedar",22
"58",2019-04-07,"04:36:00","Cedar",22
"59",2019-04-07,"05:36:00","Cedar",22
"60",2019-04-07,"06:36:00","Cedar",22
"61",2019-04-07,"07:36:00","Cedar",22
"62",2019-04-07,"08:36:00","Cedar",22
"63",2019-04-07,"09:36:00","Cedar",22
"64",2019-04-07,"11:36:00","Cedar",22.5
"65",2019-04-07,"12:36:00","Cedar",22.5
"66",2019-04-07,"13:36:00","Cedar",22.5
"67",2019-04-07,"14:36:00","Cedar",22.5
"68",2019-04-07,"15:36:00","Cedar",22.5
"69",2019-04-07,"16:36:00","Cedar",22.5
"70",2019-04-07,"17:36:00","Cedar",22.5
"71",2019-04-07,"18:36:00","Cedar",22.5
"72",2019-04-07,"19:36:00","Cedar",22.5
"73",2019-04-07,"20:36:00","Cedar",22.5
"74",2019-04-07,"21:36:00","Cedar",22.5
"75",2019-04-07,"22:36:00","Cedar",22
"76",2019-04-07,"23:36:00","Cedar",22
"77",2019-04-08,"00:36:00","Cedar",22
"78",2019-04-08,"01:36:00","Cedar",22
"79",2019-04-08,"02:36:00","Cedar",22
"80",2019-04-08,"04:36:00","Cedar",22
"81",2019-04-08,"05:36:00","Cedar",22
"82",2019-04-08,"06:36:00","Cedar",22
"83",2019-04-08,"07:36:00","Cedar",22
"84",2019-04-08,"08:36:00","Cedar",22
"85",2019-04-08,"09:36:00","Cedar",22.5
"86",2019-04-08,"10:36:00","Cedar",22.5
"87",2019-04-08,"11:36:00","Cedar",22.5
"88",2019-04-08,"12:36:00","Cedar",23
"89",2019-04-08,"13:36:00","Cedar",23
"90",2019-04-08,"14:36:00","Cedar",23
"91",2019-04-08,"15:36:00","Cedar",23
"92",2019-04-08,"16:36:00","Cedar",23
"93",2019-04-08,"17:36:00","Cedar",23
"94",2019-04-08,"18:36:00","Cedar",23
"95",2019-04-08,"20:36:00","Cedar",23
"96",2019-04-08,"21:36:00","Cedar",22.5
"97",2019-04-08,"22:36:00","Cedar",22.5
"98",2019-04-08,"23:36:00","Cedar",22.5
"99",2019-04-09,"00:36:00","Cedar",22
"100",2019-04-09,"01:36:00","Cedar",22
"101",2019-04-09,"02:36:00","Cedar",22
"102",2019-04-09,"03:36:00","Cedar",22
"103",2019-04-09,"04:36:00","Cedar",22
"104",2019-04-09,"05:36:00","Cedar",22
"105",2019-04-09,"06:36:00","Cedar",22
"106",2019-04-09,"07:36:00","Cedar",22
"107",2019-04-09,"08:36:00","Cedar",22
"108",2019-04-09,"09:36:00","Cedar",20.5
"109",2019-04-09,"10:36:00","Cedar",18.5
"110",2019-04-09,"11:36:00","Cedar",18
"111",2019-04-09,"13:36:00","Cedar",19
"112",2019-04-09,"14:36:00","Cedar",22.5
"113",2019-04-09,"15:36:00","Cedar",19
"114",2019-04-09,"16:36:00","Cedar",18
"115",2019-04-09,"17:36:00","Cedar",18
"116",2019-04-09,"18:36:00","Cedar",17.5
"117",2019-04-09,"19:36:00","Cedar",17
"118",2019-04-09,"20:36:00","Cedar",15.5
"119",2019-04-09,"21:36:00","Cedar",14.5
"120",2019-04-09,"22:36:00","Cedar",13.5
"121",2019-04-09,"23:36:00","Cedar",12.5
"122",2019-04-10,"00:36:00","Cedar",11.5
"123",2019-04-10,"01:36:00","Cedar",10.5
"124",2019-04-10,"02:36:00","Cedar",10
"125",2019-04-10,"03:36:00","Cedar",10
"126",2019-04-10,"04:36:00","Cedar",9.5
"127",2019-04-10,"05:36:00","Cedar",9.5
"128",2019-04-10,"06:36:00","Cedar",9
"129",2019-04-10,"07:36:00","Cedar",9
"130",2019-04-10,"08:36:00","Cedar",9
"131",2019-04-10,"09:36:00","Cedar",9
"132",2019-04-10,"10:36:00","Cedar",9
"133",2019-04-10,"11:36:00","Cedar",9
"134",2019-04-10,"12:36:00","Cedar",9
"135",2019-04-10,"13:36:00","Cedar",11
"136",2019-04-10,"14:36:00","Cedar",17
"137",2019-04-10,"15:36:00","Cedar",12.5
"138",2019-04-10,"16:36:00","Cedar",13
"139",2019-04-10,"17:36:00","Cedar",12.5
"140",2019-04-10,"18:36:00","Cedar",13
"141",2019-04-10,"19:36:00","Cedar",13.5
"142",2019-04-10,"20:36:00","Cedar",13.5
"143",2019-04-10,"21:36:00","Cedar",13
"144",2019-04-10,"22:36:00","Cedar",13
"145",2019-04-10,"23:36:00","Cedar",12.5
"146",2019-04-11,"00:36:00","Cedar",11
"147",2019-04-11,"01:36:00","Cedar",10
"148",2019-04-11,"02:36:00","Cedar",9.5
"149",2019-04-11,"03:36:00","Cedar",9
"150",2019-04-11,"04:36:00","Cedar",8.5
"151",2019-04-11,"05:36:00","Cedar",8
"152",2019-04-11,"06:36:00","Cedar",7.5
"153",2019-04-11,"07:36:00","Cedar",7
"154",2019-04-11,"08:36:00","Cedar",7
"155",2019-04-11,"09:36:00","Cedar",7
"156",2019-04-11,"10:36:00","Cedar",7.5
"157",2019-04-11,"11:36:00","Cedar",8.5
"158",2019-04-11,"12:36:00","Cedar",9.5
"159",2019-04-11,"13:36:00","Cedar",10
"160",2019-04-11,"14:36:00","Cedar",9.5
"161",2019-04-11,"15:36:00","Cedar",8.5
"162",2019-04-11,"16:36:00","Cedar",8.5
"163",2019-04-11,"17:36:00","Cedar",9
"164",2019-04-11,"18:36:00","Cedar",8.5
"165",2019-04-11,"19:36:00","Cedar",9.5
"166",2019-04-11,"20:36:00","Cedar",9.5
"167",2019-04-11,"21:36:00","Cedar",9.5
"168",2019-04-11,"22:36:00","Cedar",9.5
"169",2019-04-11,"23:36:00","Cedar",9
"170",2019-04-12,"00:36:00","Cedar",9
"171",2019-04-12,"01:36:00","Cedar",9
"172",2019-04-12,"02:36:00","Cedar",9
"173",2019-04-12,"03:36:00","Cedar",9
"174",2019-04-12,"04:36:00","Cedar",9
"175",2019-04-12,"05:36:00","Cedar",9
"176",2019-04-12,"06:36:00","Cedar",9
"177",2019-04-12,"07:36:00","Cedar",9
"178",2019-04-12,"08:36:00","Cedar",9
"179",2019-04-12,"09:36:00","Cedar",9.5
"180",2019-04-12,"10:36:00","Cedar",9.5
"181",2019-04-12,"11:36:00","Cedar",9.5
"182",2019-04-12,"12:36:00","Cedar",10
"183",2019-04-12,"13:36:00","Cedar",11
"184",2019-04-12,"14:36:00","Cedar",10
"185",2019-04-12,"15:36:00","Cedar",11.5
"186",2019-04-12,"16:36:00","Cedar",14
"187",2019-04-12,"17:36:00","Cedar",17
"188",2019-04-12,"18:36:00","Cedar",14
"189",2019-04-12,"19:36:00","Cedar",12
"190",2019-04-12,"20:36:00","Cedar",12.5
"191",2019-04-12,"21:36:00","Cedar",11
"192",2019-04-12,"22:36:00","Cedar",10
"193",2019-04-12,"23:36:00","Cedar",9
"194",2019-04-13,"00:36:00","Cedar",9.5
"195",2019-04-13,"01:36:00","Cedar",9.5
"196",2019-04-13,"02:36:00","Cedar",9.5
"197",2019-04-13,"03:36:00","Cedar",9.5
"198",2019-04-13,"04:36:00","Cedar",9.5
"199",2019-04-13,"05:36:00","Cedar",9.5
