date,stage,tank,treatment,pH,sal,temp,TA,TCO2,fCO2,pCO2,omega_Ca,omega_arag,notes
08-02-2018,init,1,19A,7.84,30.5,19.5,1350.870972,1250.687134,404.1723633,405.556427,1.620729144,1.041213421,
08-02-2018,init,2,22A,7.79,30.5,21.3,1276.809448,1185.667114,435.5971069,437.0557861,1.471309401,0.949614773,
08-02-2018,init,3,22A,7.88,30.7,21.7,1417.800293,1293.533936,382.8175049,384.0930786,1.992309565,1.288023736,
08-02-2018,init,4,15A,7.7,29.3,14.9,1132.987305,1087.509155,481.0507813,482.7963867,0.844536685,0.534779486,
08-02-2018,init,5,19A,7.97,30.3,20.3,1738.83313,1575.579102,373.4147034,374.6807556,2.783153167,1.790536827,
08-02-2018,init,6,12A,7.83,29.2,15.7,1472.786255,1389.842773,455.1276245,456.7624817,1.488860047,0.94408924,
08-02-2018,init,7,15A,7.82,29.5,15.8,1409.233154,1329.237305,445.0544434,446.6510925,1.405981721,0.892621357,
08-02-2018,init,8,22A,7.8,30.5,21.9,1401.665894,1300.936768,467.9430237,469.4984131,1.687701694,1.091026026,
08-02-2018,init,9,12A,7.8,29.6,13,1436.772827,1370.06189,472.9076233,474.665863,1.245747887,0.786551291,
08-02-2018,init,10,19A,7.83,29.7,19.6,1422.782837,1325.091309,441.233429,442.7425232,1.661794281,1.065191714,
08-02-2018,init,11,15A,7.82,30.8,16,1443.888184,1357.671021,451.241394,452.8561401,1.482835268,0.945604867,
08-02-2018,init,12,12A,7.81,30.1,12.1,1408.180908,1341.306274,448.3219299,450.0081787,1.21615946,0.767747795,
08-02-2018,init,13,19A,7.82,30.2,19,1397.676514,1303.958984,441.8659668,443.3885803,1.57810039,1.011643682,
08-02-2018,init,14,15A,7.84,30.3,15.9,1488.60022,1397.938477,444.2029724,445.7945557,1.575645404,1.003085433,
08-02-2018,init,15,22A,7.91,30.1,22.2,1618.794067,1474.80249,408.357605,409.7098999,2.444293769,1.579448988,
08-02-2018,init,16,12A,7.82,30.7,13.4,1475.63147,1398.346436,458.3397217,460.0350952,1.379677793,0.874747192,
08-02-2018,init,17,15L,7.7,30.3,15.5,1351.556519,1298.516357,572.8519897,574.914917,1.052502238,0.669454755,
08-02-2018,init,18,22L,7.84,30.1,21.8,1702.213379,1579.183472,517.1765137,518.897644,2.213551856,1.4288073,
08-02-2018,init,19,22L,7.87,30.7,21.6,1749.988281,1612.993286,488.8588562,490.4897766,2.421783492,1.565258446,
08-02-2018,init,20,15L,7.69,30,15.6,1335.971069,1285.7854,582.0783081,584.171875,1.016926086,0.646370775,
08-02-2018,init,21,15L,7.63,30.2,15.4,1422.945435,1384.294434,718.9082031,721.5004272,0.951338927,0.604793241,
08-02-2018,init,22,22L,7.77,30.7,22.2,1452.77002,1356.333618,524.2093506,525.9453125,1.670827503,1.081646323,
08-02-2018,init,23,22L,7.81,30.5,22.7,1704.100708,1584.693848,558.4932251,560.3314209,2.164837241,1.402528058,
08-02-2018,init,24,15L,7.77,30.3,16.1,1551.386719,1476.113525,554.3291016,556.3102417,1.43380822,0.913194467,
09-02-2018,final,1,19A,7.62,30.3,19.3,952.0107422,909.9622803,494.8399048,496.5386963,0.712261121,0.457075782,
09-02-2018,final,2,22A,7.8,30.6,22.5,1390.110474,1287.131348,463.9227295,465.4533691,1.710294388,1.107771498,
09-02-2018,final,3,22A,7.84,29.3,21.8,1402.401001,1295.790283,426.8568726,428.2774353,1.790671782,1.152809094,
09-02-2018,final,4,15A,7.55,29.3,15.2,811.7647095,791.105835,496.3304443,498.1246948,0.441051856,0.279462784,
09-02-2018,final,5,19A,7.86,30.5,20,1777.249146,1651.14917,509.7368164,511.4715271,2.278088195,1.465372912,
09-02-2018,final,6,12A,7.74,29.9,12.8,1435.730469,1382.160278,547.5106812,549.5515137,1.095412208,0.692021496,
09-02-2018,final,7,15A,7.52,29.8,15.4,883.0321655,865.4436035,580.6889038,582.7827148,0.458325517,0.291007105,
09-02-2018,final,8,22A,7.83,29.9,21.4,1349.166748,1246.715454,418.0783997,419.4766541,1.678380375,1.081519992,
09-02-2018,final,9,12A,7.51,29,13.3,902.5601196,891.7052002,606.3468628,608.5925903,0.417592878,0.263293831,
09-02-2018,final,10,19A,7.64,30.3,19.3,1026.96228,980.4093018,508.815979,510.5627441,0.803036376,0.515328534,
09-02-2018,final,11,15A,7.53,29.5,15.7,845.3939819,826.2598267,543.8851929,545.8388672,0.450449436,0.285915967,
09-02-2018,final,12,12A,7.52,28.8,13.1,837.0012817,824.9247437,548.1896973,550.2252197,0.39060899,0.246012996,
09-02-2018,final,13,19A,7.62,30.1,18.4,960.1077881,920.4295044,498.542511,500.2734375,0.693338452,0.443678522,
09-02-2018,final,14,15A,7.54,29.7,15.3,934.7015991,914.7722168,586.2079468,588.3244019,0.504352523,0.320059679,
