SP,ID,Tank,Treat,Stage,Length,Thickness,Linear_shell_growth,Total_weight,Submerged_weight,Died,Notes
Cedar,CB07,1,19A,Init,22.34,2.37,,2.3,,,
Cedar,CB18,1,19A,Init,25.73,3.98,,7.7,,,
Cedar,CB26,1,19A,Init,29.56,3.06,,5,,,
Cedar,CB55,1,22A,Init,29.34,2.51,,3.5,,,
Cedar,CB62,1,15L,Init,35.64,3.73,,7.2,,,
Cedar,CO11,1,15A,Init,26.67,2.51,,2.6,,,
Cedar,CO97,1,15A,Init,27.43,3.12,,3.5,,,
Cedar,CB13,2,22A,Init,28.77,3.41,,3.9,,,
Cedar,CB16,2,22A,Init,23.24,2.99,,2,,,
Cedar,CB60,2,15A,Init,32.7,2.98,,5.6,,,
Cedar,CB89,2,22L,Init,28.41,3.16,,3.9,,,
Cedar,CO17,2,22L,Init,32.42,3.48,,6.4,,,
Cedar,CO42,2,22L,Init,18.1,2.7,,1.3,,,
Cedar,CO48,2,22L,Init,24.44,2.82,,2.3,,,
Cedar,CB01,3,22A,Init,25.9,2.81,,2.9,,,
Cedar,CB12,3,22A,Init,31.02,3.53,,5.3,,,
Cedar,CO13,3,15L,Init,22.15,2.79,,2.4,,,
Cedar,CO20,3,19A,Init,27.48,3.02,,3.2,,,
Cedar,CO33,3,12A,Init,16.01,1.07,,1.3,,,
Cedar,CO54,3,22A,Init,32.25,3.36,,4.9,,,
Cedar,CO86,3,22A,Init,37.44,4.23,,9.3,,,
Cedar,CB10,4,15A,Init,31.87,2.15,,4.5,,,
Cedar,CB11,4,15A,Init,22.39,2.71,,2.7,,,
Cedar,CB21,4,15A,Init,24.9,2.63,,2.9,,,
Cedar,CB34,4,15A,Init,26.31,2.96,,2.8,,,
Cedar,CB36,4,15A,Init,27.77,3.24,,3.9,,,
Cedar,CB71,4,15L,Init,28.4,3.03,,4.5,,,
Cedar,CO26,4,22L,Init,35.02,2.47,,6.2,,,
Cedar,CB17,5,19A,Init,28.34,3.22,,4,,,
Cedar,CB19,5,19A,Init,31.18,3.29,,4.2,,,
Cedar,CB28,5,19A,Init,21.27,2.28,,1.8,,,
Cedar,CB51,5,12A,Init,22.62,2.93,,2.1,,,
Cedar,CO40,5,15L,Init,16.73,1.81,,0.8,,,
Cedar,CO89,5,15L,Init,39.4,4.14,,9.3,,,
Cedar,CY38,5,19A,Init,34.51,3.47,,5.3,,,
Cedar,CB23,6,12A,Init,32.46,3.11,,5.2,,,
Cedar,CB35,6,12A,Init,25.57,3.3,,3.3,,,
Cedar,CB63,6,19A,Init,25.31,2.97,,3.6,,,
Cedar,CB83,6,12A,Init,33.02,3.17,,5.7,,,
Cedar,CB97,6,15L,Init,22.4,2.07,,2.1,,,
Cedar,CO27,6,15A,Init,36.82,3.57,,7.5,,,
Cedar,CO49,6,22A,Init,22.57,2.51,,2.3,,,
Cedar,CB48,7,22L,Init,34.59,3.38,,5.5,,,
Cedar,CB84,7,12A,Init,24.05,2.97,,2.6,,,
Cedar,CO22,7,19A,Init,22.96,2.68,,2.3,,,
Cedar,CO36,7,22L,Init,18.87,2.37,,1.6,,,
Cedar,CO90,7,19A,Init,28.98,3.84,,4.9,,,
Cedar,CO96,7,19A,Init,31.4,3.03,,5.3,,,
Cedar,CO98,7,19A,Init,26.63,3.34,,4.1,,,
Cedar,CB40,8,22A,Init,28.64,3.37,,4.2,,,
Cedar,CB49,8,15A,Init,25.83,3.26,,2.9,,,
Cedar,CB53,8,15L,Init,23.71,3.05,,2.5,,,
Cedar,CB54,8,22A,Init,29.94,3.36,,4.8,,,
Cedar,CB93,8,15L,Init,22.51,2.16,,2.2,,,
Cedar,CO14,8,22A,Init,28.79,3.62,,4,,,
Cedar,CO34,8,22A,Init,18.74,2.01,,1.5,,,
Cedar,CB03,9,12A,Init,24.39,2.56,,2.6,,,
Cedar,CB25,9,12A,Init,28.44,2.78,,3.7,,,
Cedar,CB57,9,22L,Init,29.46,2.7,,4.5,,,
Cedar,CB69,9,19A,Init,34.2,3.38,,6.1,,,
Cedar,CB79,9,22L,Init,32.02,3.12,,5.6,,,
Cedar,CO32,9,22L,Init,24.34,3.23,,3.2,,,
Cedar,CO44,9,15L,Init,19.79,2.38,,1.6,,,
Cedar,CB39,10,19A,Init,32.43,3.48,,6.2,,,
Cedar,CB41,10,19A,Init,34.05,4.38,,7,,,
Cedar,CB94,10,22A,Init,33.55,3.22,,5.8,,,
Cedar,CB98,10,12A,Init,27.66,3.48,,3.5,,,
Cedar,CO15,10,22A,Init,22.6,2.8,,2.3,,,
Cedar,CO19,10,12A,Init,24.77,3.01,,3.3,,,
Cedar,CO94,10,15L,Init,26.63,3.41,,3.9,,,
Cedar,CB42,11,15A,Init,25.05,3.89,,3,,,
Cedar,CB45,11,19A,Init,33.02,2.56,,5.4,,,
Cedar,CB66,11,22A,Init,29.68,2.14,,2,,,
Cedar,CB77,11,22L,Init,23.55,3.29,,2.8,,,
Cedar,CB81,11,12A,Init,24.26,2.56,,2.6,,,
Cedar,CO06,11,12A,Init,38.69,4.09,,8.4,,,
Cedar,CO38,11,15L,Init,18.93,2.52,,1.4,,,
Cedar,CB24,12,12A,Init,34.88,3.09,,6.5,,,
Cedar,CB75,12,19A,Init,25.34,2.99,,3.1,,,
Cedar,CB80,12,12A,Init,22.83,2.48,,2.2,,,
Cedar,CB82,12,15A,Init,30.98,3.4,,4.4,,,
Cedar,CO18,12,22A,Init,26.51,3.61,,3.9,,,
Cedar,CO99,12,15A,Init,22.22,3,,2.5,,,
