SP,SR,ID,Tank,Treat,Date,Dead,
Cedar,Nanaimo,CB23,6,12A,2018-07-16,0,
Cedar,Nanaimo,CB23,6,12A,2018-08-01,1,
Cedar,Nanaimo,CB35,6,12A,2018-07-16,0,
Cedar,Nanaimo,CB35,6,12A,2018-08-01,1,
Cedar,Nanaimo,CB63,6,12A,2018-07-16,0,
Cedar,Nanaimo,CB63,6,12A,2018-08-01,1,
Cedar,Nanaimo,CB83,6,12A,2018-07-16,0,
Cedar,Nanaimo,CB83,6,12A,2018-08-01,1,
Cedar,Nanaimo,CB97,6,12A,2018-07-16,0,
Cedar,Nanaimo,CB97,6,12A,2018-08-01,1,
Cedar,Nanaimo,CO27,6,12A,2018-07-16,0,
Cedar,Nanaimo,CO27,6,12A,2018-08-01,1,
Cedar,Nanaimo,CO49,6,12A,2018-07-16,0,
Cedar,Nanaimo,CO49,6,12A,2018-08-01,1,
Heron,Nanaimo,HG36,6,12A,2018-07-16,0,
Heron,Nanaimo,HG36,6,12A,2018-08-01,1,
Heron,Nanaimo,HG38,6,12A,2018-07-16,0,
Heron,Nanaimo,HG38,6,12A,2018-08-01,1,
Heron,Nanaimo,HG40,6,12A,2018-07-16,0,
Heron,Nanaimo,HG40,6,12A,2018-08-01,1,
Heron,Nanaimo,HG59,6,12A,2018-07-16,0,
Heron,Nanaimo,HG59,6,12A,2018-08-01,1,
Heron,Nanaimo,HW43,6,12A,2018-07-16,0,
Heron,Nanaimo,HW43,6,12A,2018-08-01,1,
Heron,Nanaimo,HW77,6,12A,2018-07-16,0,
Heron,Nanaimo,HW77,6,12A,2018-08-01,1,
Heron,Nanaimo,HW78,6,12A,2018-07-16,0,
Heron,Nanaimo,HW78,6,12A,2018-08-01,1,
Kwak,Calvert,KB25,6,12A,2018-07-16,0,
Kwak,Calvert,KB25,6,12A,2018-08-01,1,
Kwak,Calvert,KB46,6,12A,2018-07-16,0,
Kwak,Calvert,KB46,6,12A,2018-08-01,1,
Kwak,Calvert,KB60,6,12A,2018-07-16,0,
Kwak,Calvert,KB60,6,12A,2018-08-01,1,
Kwak,Calvert,KB77,6,12A,2018-07-16,0,
Kwak,Calvert,KB77,6,12A,2018-08-01,1,
Kwak,Calvert,KB92,6,12A,2018-07-16,0,
Kwak,Calvert,KB92,6,12A,2018-08-01,1,
Kwak,Calvert,KG12,6,12A,2018-07-16,0,
Kwak,Calvert,KG12,6,12A,2018-08-01,1,
Kwak,Calvert,KG88,6,12A,2018-07-16,0,
Kwak,Calvert,KG88,6,12A,2018-08-01,1,
Pruth,Calvert,PO11,6,12A,2018-07-16,0,
Pruth,Calvert,PO11,6,12A,2018-08-01,1,
Pruth,Calvert,PO64,6,12A,2018-07-16,0,
Pruth,Calvert,PO64,6,12A,2018-08-01,1,
Pruth,Calvert,PO66,6,12A,2018-07-16,0,
Pruth,Calvert,PO66,6,12A,2018-08-01,1,
Pruth,Calvert,PO72,6,12A,2018-07-16,0,
Pruth,Calvert,PO72,6,12A,2018-08-01,1,
Pruth,Calvert,PO74,6,12A,2018-07-16,0,
Pruth,Calvert,PO74,6,12A,2018-08-01,1,
Pruth,Calvert,PO85,6,12A,2018-07-16,0,
Pruth,Calvert,PO85,6,12A,2018-08-01,1,
Pruth,Calvert,PO92,6,12A,2018-07-16,0,
Pruth,Calvert,PO92,6,12A,2018-08-01,1,
Cedar,Nanaimo,CB03,9,12A,2018-07-16,0,
Cedar,Nanaimo,CB03,9,12A,2018-09-03,0,
Cedar,Nanaimo,CB25,9,12A,2018-07-16,0,
Cedar,Nanaimo,CB25,9,12A,2018-09-03,0,
Cedar,Nanaimo,CB57,9,12A,2018-07-16,0,
Cedar,Nanaimo,CB57,9,12A,2018-09-03,0,
Cedar,Nanaimo,CB69,9,12A,2018-07-16,0,
Cedar,Nanaimo,CB69,9,12A,2018-09-03,0,
Cedar,Nanaimo,CB79,9,12A,2018-07-16,0,
Cedar,Nanaimo,CB79,9,12A,2018-09-03,0,
Cedar,Nanaimo,CO32,9,12A,2018-07-16,0,
Cedar,Nanaimo,CO32,9,12A,2018-09-03,0,
Cedar,Nanaimo,CO44,9,12A,2018-07-16,0,
Cedar,Nanaimo,CO44,9,12A,2018-09-03,0,
Heron,Nanaimo,HG53,9,12A,2018-07-16,0,
Heron,Nanaimo,HG53,9,12A,2018-09-03,0,
Heron,Nanaimo,HG63,9,12A,2018-07-16,0,
Heron,Nanaimo,HG63,9,12A,2018-09-03,0,
Heron,Nanaimo,HG66,9,12A,2018-07-16,0,
Heron,Nanaimo,HG66,9,12A,2018-09-03,0,
Heron,Nanaimo,HG91,9,12A,2018-07-16,0,
Heron,Nanaimo,HG91,9,12A,2018-09-03,0,
