Date,Tank,SP,Treatment,No_eaten_mussel,Init_snails,Final_snails,Per_cap,Notes
07-18-2018,1,C,19A,4,7,7,0.571428571,
07-18-2018,1,H,19A,8,7,7,1.142857143,
07-18-2018,1,K,19A,7,8,8,0.875,
07-18-2018,1,P,19A,6,7,7,0.857142857,
07-18-2018,2,C,22A,5,7,7,0.714285714,
07-18-2018,2,H,22A,4,7,7,0.571428571,
07-18-2018,2,K,22A,5,7,7,0.714285714,
07-18-2018,2,P,22A,10,7,7,1.428571429,they were small Mt
07-18-2018,3,C,22A,5,7,2,1.111111111,5 died
07-18-2018,3,H,22A,6,7,5,1,2 died
07-18-2018,3,K,22A,7,7,6,1.076923077,1 died
07-18-2018,3,P,22A,8,7,2,1.777777778,5 died
07-18-2018,4,C,15A,2,7,7,0.285714286,
07-18-2018,4,H,15A,2,7,7,0.285714286,
07-18-2018,4,K,15A,5,7,7,0.714285714,
07-18-2018,4,P,15A,6,7,7,0.857142857,
07-18-2018,5,C,19A,6,7,0,1.714285714,""""
07-18-2018,5,H,19A,5,7,0,1.428571429,""""
07-18-2018,5,K,19A,7,7,0,2,""""
07-18-2018,5,P,19A,7,7,0,2,all died
07-18-2018,6,C,12A,0,7,7,0,
07-18-2018,6,H,12A,3,7,7,0.428571429,
07-18-2018,6,K,12A,5,7,7,0.714285714,
07-18-2018,6,P,12A,6,7,7,0.857142857,
07-18-2018,7,C,15A,3,7,7,0.428571429,
07-18-2018,7,H,15A,6,7,7,0.857142857,
07-18-2018,7,K,15A,6,8,8,0.75,
07-18-2018,7,P,15A,6,7,7,0.857142857,
07-18-2018,8,C,22A,3,7,7,0.428571429,
07-18-2018,8,H,22A,4,7,7,0.571428571,
07-18-2018,8,K,22A,8,7,7,1.142857143,
07-18-2018,8,P,22A,8,7,7,1.142857143,
07-18-2018,9,C,12A,4,9,9,0.444444444,
07-18-2018,9,H,12A,1,7,7,0.142857143,
07-18-2018,9,K,12A,6,7,7,0.857142857,
07-18-2018,9,P,12A,5,7,7,0.714285714,
07-18-2018,10,C,19A,2,7,7,0.285714286,
07-18-2018,10,H,19A,1,7,7,0.142857143,
07-18-2018,10,K,19A,4,7,7,0.571428571,
07-18-2018,10,P,19A,4,7,7,0.571428571,
07-18-2018,11,C,15A,4,7,7,0.571428571,
07-18-2018,11,H,15A,6,7,7,0.857142857,
07-18-2018,11,K,15A,7,7,7,1,
07-18-2018,11,P,15A,7,7,7,1,
07-18-2018,12,C,12A,2,7,7,0.285714286,
07-18-2018,12,H,12A,5,8,8,0.625,
07-18-2018,12,K,12A,8,7,7,1.142857143,
07-18-2018,12,P,12A,6,7,7,0.857142857,
07-18-2018,13,C,19A,2,7,7,0.285714286,
07-18-2018,13,H,19A,4,7,7,0.571428571,
07-18-2018,13,K,19A,5,7,7,0.714285714,
07-18-2018,13,P,19A,4,6,6,0.666666667,
07-18-2018,14,C,15A,2,7,7,0.285714286,
07-18-2018,14,H,15A,2,7,7,0.285714286,
07-18-2018,14,K,15A,7,7,7,1,
07-18-2018,14,P,15A,5,7,7,0.714285714,
07-18-2018,15,C,22A,1,7,7,0.142857143,
07-18-2018,15,H,22A,2,7,7,0.285714286,
07-18-2018,15,K,22A,7,7,7,1,
07-18-2018,15,P,22A,5,7,7,0.714285714,
07-18-2018,16,C,12A,4,7,7,0.571428571,
07-18-2018,16,H,12A,4,7,7,0.571428571,
07-18-2018,16,K,12A,7,7,7,1,
07-18-2018,16,P,12A,6,7,7,0.857142857,
07-18-2018,17,C,15L,3,7,7,0.428571429,
07-18-2018,17,H,15L,4,7,7,0.571428571,
07-18-2018,17,K,15L,7,7,7,1,
07-18-2018,17,P,15L,7,7,7,1,
07-18-2018,18,C,22L,3,7,7,0.428571429,
07-18-2018,18,H,22L,6,7,7,0.857142857,
07-18-2018,18,K,22L,0,7,7,0,didn't have food :(
07-18-2018,18,P,22L,2,7,7,0.285714286,
07-18-2018,19,C,22L,1,7,7,0.142857143,
07-18-2018,19,H,22L,1,7,7,0.142857143,
07-18-2018,19,K,22L,4,7,7,0.571428571,
07-18-2018,19,P,22L,4,7,7,0.571428571,
07-18-2018,20,C,15L,3,7,7,0.428571429,
07-18-2018,20,H,15L,3,7,7,0.428571429,
07-18-2018,20,K,15L,6,7,7,0.857142857,
07-18-2018,20,P,15L,3,7,7,0.428571429,
07-18-2018,21,C,15L,3,7,7,0.428571429,
07-18-2018,21,H,15L,3,7,7,0.428571429,
07-18-2018,21,K,15L,5,7,7,0.714285714,
07-18-2018,21,P,15L,3,7,7,0.428571429,
