Date,Stage,Days_diff,SR,SP,OR,OS,Block,ID,L,Th,TW,SW,SG,DIED,OSTRINA,Notes,,,Legend,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG81,18.04,2.05,10.2,0.6,,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,R,CG04,51.83,4.71,17.56,8.96,51,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,O,CG10,40.95,3.79,13.25,7.02,14,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,R,CG04,47.42,3.93,13.18,6.55,32,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,O,CG10,40.79,3.5,13.04,6.86,14,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,B,CG26,41.81,4.78,12.91,6.89,28,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,B,CG32,43.03,4.85,12.6,6.58,21,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,Y,CG13,45.03,2.99,12.37,6.49,40,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,B,CG17,43.12,4.34,12.28,6.29,36,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,R,CG43,44.85,3.96,12.21,6.36,32,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,O,CG05,44.19,3.39,11.57,5.93,41,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,B,CG26,38.71,4.21,11.2,5.85,19,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,B,CG34,42.2,4.37,10.94,5.45,8,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,B,CG34,42.19,4.27,10.86,5.57,8,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,O,CG10,38.37,1.82,10.6,5.47,,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,Y,CG09,38.74,4.33,10.34,5.41,18,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,R,CG19,40.34,4.04,10.26,5.51,31,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,R,CG43,43.05,3.51,10.25,5.4,22,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,R,CG12,39.62,4.25,10.17,5.38,18,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,B,CG17,39.32,3.63,9.98,4.99,25,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,B,CG32,39.2,4.19,9.93,5.17,11,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,O,CG71,38.78,2.3,9.55,5.12,38,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,R,CG12,38.75,2.99,9.38,4.88,13,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,Y,CG22,37.42,3.47,9.34,4.92,12,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,Y,CG28,39,3.21,9.32,5.02,36,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,Y,CG09,38.41,3.54,9.16,4.72,11,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,Y,CG23,39.86,2.39,8.89,4.74,5,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,Y,CG22,36.85,3.42,8.87,4.6,8,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,Y,CG23,40.03,2.44,8.87,4.67,6,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,Y,CG25,38.56,2.74,8.87,4.55,39,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,B,CG34,41.02,1.62,8.85,4.23,,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,O,CG02,37.5,3.93,8.65,4.51,15,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,Y,CG13,38.54,3.76,8.54,4.49,14,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,O,CG05,39.18,3.72,8.37,4.2,21,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,O,CG06,36.98,3.29,8.18,4.32,15,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,B,CG32,38.31,1.87,8.14,4.18,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,R,CG19,37.42,3.88,8.09,4.18,17,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,B,CG26,35.93,2.29,8.07,4.31,,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,B,CG21,37.36,3.77,8.02,4.25,31,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,Y,CG23,39.46,1.75,7.93,4.12,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,R,CG04,39.83,1.44,7.76,3.86,,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,O,CG02,36.29,3.67,7.6,3.91,10,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,B,CG24,36.43,2.76,7.59,3.96,10,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,O,CG71,35.78,3.27,7.44,,21,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,O,CG16,34.82,3.86,7.42,3.93,8,0,0,,,,,
